Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,14200,14550,14150,14350,973157,0.02499999999999991,0.02499999999999991,15.034460359230422,51.183733454908065,13980.0,14147.5,14531.666666666666,14651.955151624004,13643.044848375996,1
2021-04-02,14500,14500,14100,14100,574018,-0.017421602787456414,-0.017421602787456414,21.85642297874091,47.177122208809706,14020.0,14107.5,14561.666666666666,14475.297498632057,13739.702501367943,0
2021-04-05,14200,14500,14150,14450,550367,0.024822695035461084,0.024822695035461084,48.955530058511215,52.753217674403324,14150.0,14120.0,14604.166666666666,14515.474398665701,13724.525601334299,1
2021-04-06,14550,14850,14300,14350,806406,-0.00692041522491349,-0.00692041522491349,58.51385020649363,51.09366205289379,14250.0,14115.0,14642.5,14495.919939094816,13734.080060905184,0
2021-04-07,14400,14500,14250,14350,447716,0.0,0.0,62.82528347162358,51.09366205289379,14320.0,14135.0,14673.333333333334,14521.134691526153,13748.865308473847,0
2021-04-08,14450,14500,14200,14200,396223,-0.010452961672473893,-0.010452961672473893,53.90621612968205,48.442536132272984,14290.0,14150.0,14685.0,14521.48351242013,13778.51648757987,0
2021-04-09,14300,14350,14150,14200,342285,0.0,0.0,46.611865974723756,48.442536132272984,14310.0,14155.0,14655.833333333334,14526.34889255254,13783.65110744746,0
2021-04-12,14150,14400,14150,14250,354132,0.0035211267605634866,0.0035211267605634866,43.80288428474688,49.45639533708195,14270.0,14155.0,14633.333333333334,14526.34889255254,13783.65110744746,1
2021-04-13,14250,14300,14100,14300,458850,0.0035087719298245723,0.0035087719298245723,43.85266048070467,50.50457527026339,14260.0,14152.5,14620.0,14519.208330966176,13785.791669033824,1
2021-04-14,14300,14350,14150,14200,350020,-0.006993006993006978,-0.006993006993006978,36.01904272941165,48.34515456336297,14230.0,14160.0,14614.166666666666,14524.14282912066,13795.85717087934,0
2021-04-15,14150,14350,14100,14250,710893,0.0035211267605634866,0.0035211267605634866,33.14547245403425,49.507638365299776,14240.0,14165.0,14614.166666666666,14531.196668472008,13798.803331527992,1
2021-04-16,14350,14350,14150,14350,571886,0.007017543859649145,0.007017543859649145,36.64673910117546,51.841952980746825,14270.0,14167.5,14607.5,14538.006410200955,13796.993589799045,1
2021-04-19,15050,17900,15000,16200,26001243,0.12891986062717775,0.12891986062717775,155.55747419665556,74.93158447562207,14660.0,14260.0,14626.666666666666,15220.520692124848,13299.479307875152,1
2021-04-20,16400,17800,16200,16550,12564056,0.021604938271605034,0.021604938271605034,244.49008836199198,77.16247458619176,15110.0,14385.0,14655.833333333334,15763.441148544252,13006.558851455748,1
2021-04-21,16450,16450,15950,16150,2462084,-0.024169184290030232,-0.024169184290030232,261.5505122824178,69.54527156210798,15500.0,14487.5,14676.666666666666,16057.492038196371,12917.507961803629,0
2021-04-22,16300,16350,15550,15600,2139911,-0.034055727554179516,-0.034055727554179516,222.4997280437513,60.67589744132725,15770.0,14570.0,14688.333333333334,16190.925661466312,12949.074338533688,0
2021-04-23,15500,16150,15300,16100,2216841,0.03205128205128216,0.03205128205128216,216.8280573451297,65.040838402399,16120.0,14680.0,14705.833333333334,16399.70927775598,12960.290722244019,1
2021-04-26,16200,16450,15900,16200,1247212,0.006211180124223503,0.006211180124223503,206.35382617297103,65.85710968132771,16120.0,14800.0,14730.833333333334,16590.809872655387,13009.190127344615,1
2021-04-27,16250,16400,15650,15750,1072991,-0.02777777777777779,-0.02777777777777779,157.84848243229726,59.162611329357254,15960.0,14895.0,14755.0,16675.70210872004,13114.297891279959,0
2021-04-28,15900,16300,15200,15350,1797044,-0.025396825396825418,-0.025396825396825418,90.87981895888697,53.91615076963869,15800.0,14962.5,14785.833333333334,16704.30222757924,13220.69777242076,0
2021-04-29,15750,16150,15350,15750,1293181,0.026058631921824116,0.026058631921824116,66.69630993431343,57.933504675872335,15830.0,15032.5,14818.333333333334,16782.721414564454,13282.278585435546,1
2021-04-30,15750,15800,15200,15300,868931,-0.02857142857142858,-0.02857142857142858,16.20041770987558,52.399313607514955,15670.0,15092.5,14844.166666666666,16792.286751330885,13392.713248669117,0
2021-05-03,15050,15600,14950,15000,770305,-0.019607843137254943,-0.019607843137254943,-38.604762894070575,49.03625043004991,15430.0,15120.0,14842.5,16794.932834474264,13445.067165525734,0
2021-05-04,15000,15150,14500,15050,838014,0.0033333333333334103,0.0033333333333334103,-70.8137734412187,49.61665372487345,15290.0,15155.0,14831.666666666666,16792.956043366245,13517.043956633757,1
2021-05-06,14900,15350,14850,15000,629067,-0.0033222591362126463,-0.0033222591362126463,-93.3918602695203,49.01549853094749,15220.0,15187.5,14820.0,16785.584791242316,13589.415208757684,0
2021-05-07,15100,15200,14950,15150,457214,0.010000000000000009,0.010000000000000009,-95.7734983684677,50.93605693490602,15100.0,15235.0,14822.5,16768.003587732266,13701.996412267734,1
