Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,,전날 종가와 오늘 시가의 오차
2020-12-30,381.21,390.04,379.14,389.29,236858021,0.021,1,8.02,1.28E+13,1.74E+15,0.021034962,0.168263732,77.22974777,380.198,371.623,340.9548333,385.1790202,358.0669798,10.59,0.21
2021-01-04,389.5,400.78,388.88,399.88,361886757,0.0272,1,10.59,2.08E+13,1.78E+15,0.02720337,1.10876241,81.63337306,385.91,373.684,342.3786667,390.7971101,356.5708899,6.15,0.09
2021-01-05,399.79,406.03,396.43,406.03,470868837,0.0154,1,6.15,2.08E+13,1.81E+15,0.015379614,1.943120162,83.6151258,391.28,375.9025,343.8566667,397.1982506,354.6067494,3.95,0.3
2021-01-06,406.33,411.21,401.06,402.08,429077337,-0.0097,0,-3.95,2.27E+13,1.80E+15,-0.009728345,2.018225259,77.80812762,395.71,377.625,345.2668333,401.3948637,353.8551363,8.73,1.92
2021-01-07,404,414.65,403.99,410.81,460331917,0.0217,1,8.73,2.09E+13,1.84E+15,0.021712097,2.4181164,80.95606052,401.618,379.6725,346.7945,407.1757215,352.1692785,19.41,1.25
2021-01-08,412.06,431.99,412.06,430.22,499112018,0.0472,1,19.41,3.48E+13,1.92E+15,0.04724812,3.676675461,85.78435761,409.804,383.011,348.6385,417.2194919,348.8025081,0.91,1.47
2021-01-11,431.69,449.04,424.16,431.13,545782057,0.0021,1,0.91,3.74E+13,1.92E+15,0.002115197,4.218448525,85.96402952,416.054,385.994,350.5478333,425.6308068,346.3571932,3.26,0.33
2021-01-12,430.8,432.04,416.29,427.87,362364717,-0.0076,0,-3.26,2.46E+13,1.90E+15,-0.007561524,4.006819018,81.96720829,420.422,388.919,352.447,431.724401,346.113599,2.51,0.11
2021-01-13,427.98,433.27,424.97,430.38,303667329,0.0059,1,2.51,1.91E+13,1.91E+15,0.005866268,3.693160912,82.63658991,426.082,391.826,354.4228333,437.5060269,346.1459731,0.53,0.05
2021-01-14,430.43,431.54,427.13,429.85,284702447,-0.0012,0,-0.53,1.85E+13,1.91E+15,-0.00123147,3.129572576,81.94488714,429.89,394.7405,356.3771667,442.2769111,347.2040889,9.42,0.52
2021-01-15,430.37,436.35,420.33,420.43,279520880,-0.0219,0,-9.42,1.74E+13,1.87E+15,-0.021914621,1.864405084,70.62897098,427.932,397.218,358.1391667,444.686766,349.749234,9.93,0.73
