Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2010-03-31,222.76,223.2,221.06,221.58,111845205,-0.004,2,-0.9,3943957089683,774697800629405,-0.00404530744336562,0.3417736261632722,59.9213175264287,221.796,218.58199999999997,216.16066666666666,224.17854393353605,212.98545606646388,225.47
2010-04-01,221.98,225.58,221.98,225.47,111807574,0.0176,1,3.89,5154990200019,788563643225115,0.01755573607726313,0.48345594708859907,66.89785904051607,222.67600000000002,219.26,216.2045,224.74346240982825,213.77653759017173,226.69
2010-04-02,226.03,226.78,225.28,226.69,125157273,0.0054,1,1.22,5444076746325,791764123482265,0.005410919412782267,0.6070701753167653,68.73594958766128,223.56400000000002,219.892,216.23816666666667,225.73004967433468,214.0539503256653,227.48
2010-04-05,227.37,228.02,225.61,227.48,113489512,0.0034999999999999996,1,0.79,4629423681475,793234772145065,0.0034849353742996136,0.6840543798041505,69.90143941828222,224.74,220.3795,216.341,226.99107311084128,213.76792688915873,227.51
2010-04-06,228.62,228.64,226.49,227.51,91862442,0.0001,1,0.03,3937299329438,793546271822065,0.00013187972569017603,0.6777156267718607,69.9472563729561,225.746,220.86400000000003,216.42183333333335,228.04957833441398,213.6784216655861,227.31
2010-04-07,227.33,227.82,226.62,227.31,109790294,-0.0009,2,-0.2,4761089549524,793156884676760,-0.0008790822381433694,0.6032612324292388,69.19107840998116,226.892,221.33849999999998,216.5065,228.9008363453366,213.77616365466338,228.27
2010-04-08,226.66,228.27,226.22,228.27,84630151,0.0042,1,0.96,3852993724844,796884687275090,0.004223307377590135,0.5626698317665997,70.82165039612752,227.452,221.914,216.59366666666668,229.74220132597512,214.08579867402486,226.81
2010-04-09,228.34,228.76,224.82,226.81,164943092,-0.0064,2,-1.46,5180546970515,792428790444940,-0.006395934638804945,0.38970978300248005,65.17236797286682,227.47600000000003,222.387,216.721,230.19814357824762,214.57585642175238,224.59
2010-04-12,227.56,227.94,224.14,224.59,111511379,-0.0098,2,-2.22,4905049498621,785043775477690,-0.009787928221859699,0.09346082964728408,57.64299848568165,226.898,222.842,216.77766666666668,230.02829139403622,215.6557086059638,224.69
2010-04-13,225.21,225.48,222.93,224.69,83805220,0.0004,1,0.1,3548562571983,785203844388495,0.0004452557994567563,-0.11668939701851322,57.879059828957146,226.334,223.31400000000002,216.80233333333337,229.63119684670338,216.99680315329667,228.08
2010-04-14,226.01,228.08,226.01,228.08,109970957,0.0151,1,3.39,4739473260555,796678831859010,0.015087453825270547,-0.05163211496655595,65.00020102779656,226.488,223.704,216.864,230.18477896552557,217.22322103447445,229.17
2010-04-15,229.52,229.84,227.13,229.17,136429536,0.0048,1,1.09,5645555147490,800634468677090,0.004779024903542428,0.03584654492052186,66.93582383201056,226.66800000000003,224.21150000000003,216.948,230.73512866815693,217.68787133184313,227.69
2010-04-16,228.83,229.11,226.21,227.69,93003350,-0.006500000000000001,2,-1.48,4090822305082,795560948103095,-0.006458087882358021,-0.031300383380797214,61.92786032115117,226.844,224.57199999999997,216.99566666666666,231.02746775996894,218.116532240031,223.65
2010-04-19,224.17,225.76,223.04,223.65,89081236,-0.0177,2,-4.04,3435845951114,781702509153355,-0.0177434230752338,-0.35514556129469543,50.76298183506573,226.656,224.8285,216.95383333333334,230.681240469216,218.975759530784,225.13
2010-04-20,224.98,225.69,224.15,225.13,86755985,0.0066,1,1.48,3637940272355,786968556648410,0.006617482673820563,-0.46982477679293133,54.03250063030132,226.744,225.08049999999997,217.028,230.5144726719959,219.64652732800405,229.09
2010-04-21,226.82,229.24,226.72,229.09,110513738,0.0176,1,3.96,4721203239587,800872060329515,0.01758983698307648,-0.28805251332237125,61.415361498242014,226.946,225.5305,217.1906666666667,230.72205651033468,220.3389434896653,227.76
2010-04-22,227.6,228.02,226.19,227.76,99465035,-0.0058,2,-1.33,4516540351753,796476762939840,-0.0058055785935658966,-0.26693792011980255,58.043508741294765,226.664,225.865,217.4051666666667,230.71470308369476,221.01529691630526,227.36
2010-04-23,228.99,229.08,226.66,227.36,93337337,-0.0018,2,-0.4,4293436699425,795249780185405,-0.0017562346329468292,-0.28766847118445327,57.02940252614955,226.598,226.1205,217.64416666666665,230.71308739709963,221.52791260290036,229.64
2010-04-26,228.5,230.54,228.47,229.64,91555054,0.01,1,2.28,4038859620045,802904038549045,0.0100281491907106,-0.16185302459169293,61.19153406553148,227.796,226.52249999999998,217.877,230.86252707364804,222.18247292635192,229.28
2010-04-27,229.06,230.1,228.16,229.28,97141012,-0.0016,2,-0.36,4217157296162,801782526343370,-0.0015676711374323915,-0.1188905760416672,60.20003234773691,228.62600000000003,226.8625,218.19266666666667,230.93997900055882,222.7850209994412,226.98
2010-04-28,224.81,226.98,224.61,226.98,119430013,-0.01,2,-2.3,5330361069980,794031423430685,-0.010031402651779486,-0.2536462362150269,54.161857324958575,228.204,227.13250000000002,218.46300000000002,230.41213946189185,223.8528605381082,226.11
2010-04-29,227.58,227.58,224.98,226.11,122786181,-0.0038,2,-0.87,5270099282088,792474436104495,-0.0038329368226274196,-0.4008906792458511,52.03574196914053,227.87399999999997,227.1645,218.74366666666666,230.39068334878817,223.93831665121184,227.95
2010-04-30,227.94,229.14,227.59,227.95,113667616,0.008100000000000001,1,1.84,5551376133641,798812929254180,0.008137632125956307,-0.3743844725144667,55.97218243295471,227.99200000000002,227.22750000000002,219.01183333333336,230.46335460118314,223.9916453988169,225.1
2010-05-03,227.04,227.72,223.67,225.1,109194354,-0.0125,2,-2.85,4580665205740,788992187529940,-0.012502741829348518,-0.5388157691397077,49.232361680240736,227.084,227.1085,219.23483333333334,230.47103044595852,223.74596955404147,224.76
2010-05-04,226.29,227.0,224.22,224.76,122125587,-0.0015,2,-0.34,4349111678422,787306163278125,-0.0015104398045313605,-0.6528928272043615,48.482332174336435,226.18,226.971,219.5631666666667,230.47839732565305,223.46360267434696,220.21
