Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans,,
2010-03-31,222.76,223.2,221.06,221.58,111845205,-0.004,2,-0.9,3.94396E+12,7.74698E+14,-0.004045307,0.341773626,59.92131753,221.796,218.582,216.1606667,224.1785439,212.9854561,225.47,3.89,0.4
2010-04-01,221.98,225.58,221.98,225.47,111807574,0.0176,1,3.89,5.15499E+12,7.88564E+14,0.017555736,0.483455947,66.89785904,222.676,219.26,216.2045,224.7434624,213.7765376,226.69,1.22,0.56
2010-04-02,226.03,226.78,225.28,226.69,125157273,0.0054,1,1.22,5.44408E+12,7.91764E+14,0.005410919,0.607070175,68.73594959,223.564,219.892,216.2381667,225.7300497,214.0539503,227.48,0.79,0.68
2010-04-05,227.37,228.02,225.61,227.48,113489512,0.0035,1,0.79,4.62942E+12,7.93235E+14,0.003484935,0.68405438,69.90143942,224.74,220.3795,216.341,226.9910731,213.7679269,227.51,0.03,1.14
2010-04-06,228.62,228.64,226.49,227.51,91862442,0.0001,1,0.03,3.9373E+12,7.93546E+14,0.00013188,0.677715627,69.94725637,225.746,220.864,216.4218333,228.0495783,213.6784217,227.31,0.2,0.18
2010-04-07,227.33,227.82,226.62,227.31,109790294,-0.0009,2,-0.2,4.76109E+12,7.93157E+14,-0.000879082,0.603261232,69.19107841,226.892,221.3385,216.5065,228.9008363,213.7761637,228.27,0.96,0.65
2010-04-08,226.66,228.27,226.22,228.27,84630151,0.0042,1,0.96,3.85299E+12,7.96885E+14,0.004223307,0.562669832,70.8216504,227.452,221.914,216.5936667,229.7422013,214.0857987,226.81,1.46,0.07
2010-04-09,228.34,228.76,224.82,226.81,164943092,-0.0064,2,-1.46,5.18055E+12,7.92429E+14,-0.006395935,0.389709783,65.17236797,227.476,222.387,216.721,230.1981436,214.5758564,224.59,2.22,0.75
2010-04-12,227.56,227.94,224.14,224.59,111511379,-0.0098,2,-2.22,4.90505E+12,7.85044E+14,-0.009787928,0.09346083,57.64299849,226.898,222.842,216.7776667,230.0282914,215.6557086,224.69,0.1,0.62
2010-04-13,225.21,225.48,222.93,224.69,83805220,0.0004,1,0.1,3.54856E+12,7.85204E+14,0.000445256,-0.116689397,57.87905983,226.334,223.314,216.8023333,229.6311968,216.9968032,228.08,3.39,1.32
