Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans,<-다음날종가,,전날 종가와 다음날 시가 오차,
2024-01-02,356.43,361.53,355.96,360.55,106708510,0.0072,1,2.56,7.23E+12,1.88E+15,0.007151038,1.399399398,78.19288082,354.116,343.1565,330.8846667,359.5020649,326.8109351,351.2,,,3.81,2.15
2024-01-03,356.74,356.82,351.2,351.2,117690135,-0.0259,2,-9.35,7.24E+12,1.83E+15,-0.025932603,0.834878269,60.41104431,354.526,343.9765,331.4283333,360.2079895,327.7450105,348.07,,,2.1,2.159634146
2024-01-04,349.1,350.76,347.13,348.07,103140948,-0.0089,2,-3.13,5.82E+12,1.81E+15,-0.008912301,0.18854857,55.83360613,354.054,344.573,331.9138333,360.4823433,328.6636567,347.22,,,0.15,2.159634146
2024-01-05,348.22,348.87,346.32,347.22,82152940,-0.0024,2,-0.85,5.72E+12,1.81E+15,-0.002442038,-0.330100953,54.6231688,353.006,345.2915,332.3823333,360.2900936,330.2929064,345.58,,,0.95,2.159634146
2024-01-08,348.17,349.39,345.48,345.58,78230008,-0.0047,2,-1.64,4.96E+12,1.80E+15,-0.00472323,-0.791198137,52.2686741,350.524,345.898,332.7296667,359.8786604,331.9173396,343.81,,,4.43,2.159634146
2024-01-09,350.01,350.2,343,343.81,94875502,-0.0051,2,-1.77,6.03E+12,1.80E+15,-0.005121824,-1.198544149,49.77496444,347.176,346.455,332.979,359.1078187,333.8021813,340.66,,,0.4,2.159634146
2024-01-10,344.21,345.06,340.26,340.66,95489835,-0.0092,2,-3.15,6.22E+12,1.78E+15,-0.009162037,-1.636182869,45.60494297,345.068,346.658,333.2271667,358.7914737,334.5245263,340.28,,,0.34,2.159634146
2024-01-11,340.32,342.79,339.93,340.28,163528542,-0.0011,2,-0.38,1.08E+13,1.78E+15,-0.001115482,-1.889362606,45.11392692,343.51,346.7755,333.5103333,358.6104541,334.9405459,338.22,,,0.49,2.159634146
2024-01-12,339.79,341.05,337.22,338.22,86833009,-0.0061,2,-2.06,5.17E+12,1.78E+15,-0.006053838,-2.116562361,42.44591376,341.71,346.698,333.6915,358.7340302,334.6619698,339.24,,,0.39,2.159634146
2024-01-15,338.61,340.54,337.66,339.24,86541302,0.003,1,1.02,5.15E+12,1.78E+15,0.003015789,-2.114185702,44.20540496,340.442,346.826,333.8651667,358.4815899,335.1704101,334.73,,,1.48,2.159634146
2024-01-16,337.76,338.74,334.22,334.73,94324487,-0.0133,2,-4.51,5.91E+12,1.76E+15,-0.013294423,-2.316132607,38.58812954,338.626,346.496,334.0646667,359.0911823,333.9008177,326.11,,,0.78,2.159634146
2024-01-17,335.51,336.06,326.06,326.11,134916196,-0.0258,2,-8.62,7.40E+12,1.72E+15,-0.025752099,-2.892570836,30.58771066,335.716,345.602,334.2005,361.0066572,330.1973428,327.13,,,0.77,2.159634146
2024-01-18,326.88,328.78,325.1,327.13,98178523,0.0031,1,1.02,5.76E+12,1.72E+15,0.003127779,-3.051720094,32.37439468,333.086,344.7835,334.3943333,362.1611572,327.4058428,332.99,,,4.47,2.159634146
2024-01-19,331.6,333.27,330.63,332.99,102425098,0.0179,1,5.86,6.53E+12,1.75E+15,0.017913368,-2.625144863,41.66460701,332.04,344.2355,334.637,362.3589693,326.1120307,332.63,,,2.77,2.159634146
2024-01-22,335.76,336.15,332.63,332.63,92552304,-0.0011,2,-0.36,6.07E+12,1.74E+15,-0.001081114,-2.24477328,41.28933863,330.718,343.3615,334.906,361.9475219,324.7754781,334.97,,,2.24,2.159634146
2024-01-23,334.87,335.12,332.23,334.97,95068403,0.007,1,2.34,5.40E+12,1.75E+15,0.007034844,-1.735876971,44.77140251,330.766,342.671,335.3596667,361.4258521,323.9161479,333.27,,,0.52,2.159634146
2024-01-24,334.45,334.66,331.01,333.27,100933985,-0.0051,2,-1.7,5.12E+12,1.75E+15,-0.005075081,-1.426967986,42.78604094,332.198,341.877,335.772,360.8111756,322.9428244,333.8,,,0.07,2.159634146
2024-01-25,333.2,334.19,331.37,333.8,101107324,0.0016,1,0.53,5.98E+12,1.75E+15,0.001590302,-1.114034962,43.62537379,333.532,341.0455,336.1861667,359.8644867,322.2265133,334.21,,,1.81,2.159634146
2024-01-26,331.99,337.67,331.28,334.21,86543245,0.0012,1,0.41,5.28E+12,1.75E+15,0.00122828,-0.820103222,44.30603813,333.776,340.133,336.6636667,358.4116839,321.8543161,337.84,,,1.47,2.159634146
2024-01-29,335.68,340.51,334.66,337.84,114356545,0.0109,1,3.63,6.65E+12,1.77E+15,0.010861434,-0.34612745,50.05570479,334.818,339.1255,337.1325,355.4756419,322.7753581,337.48,,,3.12,2.159634146
2024-01-30,340.96,341.62,337.08,337.48,128282118,-0.0011,2,-0.36,6.51E+12,1.77E+15,-0.001065593,-0.037993742,49.50981321,335.32,337.972,337.5045,351.0389271,324.9050729,336.24,,,1.98,2.159634146
2024-01-31,335.5,337.2,335.15,336.24,126917894,-0.0037,2,-1.24,6.81E+12,1.77E+15,-0.003674292,0.093967546,47.58483739,335.914,337.224,337.8045,348.8046103,325.6433897,342.41,,,0.35,2.159634146
2024-02-01,335.89,342.48,335.89,342.41,243069263,0.0183,1,6.17,1.04E+13,1.80E+15,0.018349988,0.581264463,56.62233718,337.636,336.941,337.942,347.694695,326.187305,353.43,,,2.69,2.159634146
