Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,202000,202500,199800,200500,373050,-0.014742014742014753,-0.014742014742014753,1134.5328978364532,70.52156914293029,200060.0,190615.0,184788.33333333334,205507.31681102712,175722.68318897288
2024-01-03,199100,199500,193800,193800,548675,-0.033416458852867814,-0.033416458852867814,471.90971309098904,54.68241557242316,199020.0,191165.0,184843.33333333334,205669.65787255947,176660.34212744053
2024-01-04,192000,192800,189100,190000,505979,-0.019607843137254943,-0.019607843137254943,-245.80635922645888,48.0858113539349,197260.0,191585.0,184806.66666666666,205428.88312577078,177741.11687422922
2024-01-05,190100,190500,187200,187300,440219,-0.014210526315789451,-0.014210526315789451,-889.6700510533469,44.02222428118051,195020.0,191880.0,184788.33333333334,205079.63635862753,178680.36364137247
2024-01-08,187600,188900,185500,185700,323498,-0.008542445274959953,-0.008542445274959953,-1381.2649346797543,41.76957500454701,191460.0,192020.0,184726.66666666666,204890.9906378647,179149.0093621353
2024-01-09,187800,187800,185500,185600,349068,-0.000538502961766274,-0.000538502961766274,-1652.7757852275618,41.62620670468128,188480.0,192170.0,184686.66666666666,204662.7338881448,179677.2661118552
2024-01-10,185600,187300,185200,186700,330767,0.00592672413793105,0.00592672413793105,-1691.7609732239457,43.90696562061945,187060.0,192250.0,184680.0,204580.0446065698,179919.9553934302
2024-01-11,187200,189000,187000,187000,538799,0.0016068559185860032,0.0016068559185860032,-1630.1581783171239,44.54336280480209,186460.0,192330.0,184683.33333333334,204500.96545061242,180159.03454938758
2024-01-12,186600,187400,185800,186000,240690,-0.005347593582887722,-0.005347593582887722,-1587.9856074698937,42.80023628356561,186200.0,192350.0,184641.66666666666,204477.9017146414,180222.0982853586
2024-01-15,186000,188600,185800,187500,251099,0.008064516129032251,0.008064516129032251,-1397.0387805278901,46.201144333291204,186560.0,192475.0,184570.0,204346.12041889902,180603.87958110098
2024-01-16,186600,188100,185700,186200,225780,-0.006933333333333347,-0.006933333333333347,-1298.3582050117216,43.77210332086689,186680.0,192545.0,184525.0,204249.61020282184,180840.38979717816
2024-01-17,186300,186400,181000,181800,481127,-0.023630504833512367,-0.023630504833512367,-1457.5568640800393,36.732793503204874,185700.0,191995.0,184496.66666666666,204599.2016803922,179390.7983196078
2024-01-18,180000,182500,179900,180200,433597,-0.008800880088008833,-0.008800880088008833,-1588.0322490471344,34.55651443716327,184340.0,191405.0,184410.0,205017.41712555126,177792.58287444874
2024-01-19,183000,183000,180100,181700,288166,0.008324084350721517,0.008324084350721517,-1492.210502433338,38.250137568379444,183480.0,190880.0,184391.66666666666,205124.52175399376,176635.47824600624
2024-01-22,182300,182400,179800,180100,391914,-0.008805723720418324,-0.008805723720418324,-1454.0069404005612,35.92123748782065,182000.0,189930.0,184360.0,204387.67616181803,175472.32383818197
2024-01-23,181200,184800,180900,184800,376671,0.026096612992781765,0.026096612992781765,-1048.5547760797772,46.27017648892203,181720.0,189235.0,184448.33333333334,203269.71054208104,175200.28945791896
2024-01-24,185300,185400,182100,185000,345726,0.0010822510822510178,0.0010822510822510178,-718.9623938082477,46.66491682709558,182360.0,188535.0,184605.0,201933.84696531759,175136.15303468241
2024-01-25,184400,190500,183500,188700,778658,0.020000000000000018,0.020000000000000018,-229.19474649278845,53.474814962539774,184060.0,188030.0,184875.0,200577.52565249422,175482.47434750578
2024-01-26,189300,189600,186500,187300,468376,-0.007419183889772141,-0.007419183889772141,10.345520185230043,50.83021156655941,185180.0,187470.0,185168.33333333334,199061.7384373527,175878.2615626473
2024-01-29,187300,197300,186600,195600,1199045,0.04431393486385482,0.04431393486385482,699.4987752870044,62.629894234927654,188280.0,187075.0,185590.0,196851.0677166231,177298.9322833769
2024-01-30,196000,196600,189300,190000,955999,-0.02862985685071573,-0.02862985685071573,745.6743624090426,53.330726048704435,189320.0,186550.0,185890.0,194304.61153121162,178795.38846878838
2024-01-31,189300,195400,188500,194600,1053355,0.02421052631578946,0.02421052631578946,1035.6640314441854,58.74889451011582,191240.0,186590.0,186243.33333333334,194500.47406923253,178679.52593076747
2024-02-01,193900,209000,193500,208000,2855056,0.06885919835560128,0.06885919835560128,2022.5048596971978,69.7619325812476,195100.0,187490.0,186745.0,199683.75249871836,175296.24750128164
2024-02-02,221500,228000,214000,227000,5844398,0.09134615384615374,0.09134615384615374,3747.155887096428,78.5190119843001,203040.0,189475.0,187593.33333333334,210573.0449331212,168376.9550668788
2024-02-05,233500,239500,226000,238000,5742710,0.048458149779735615,0.048458149779735615,5324.761160074994,81.80445598343542,211520.0,192090.0,188646.66666666666,221853.3936237117,162326.6063762883
2024-02-06,234000,240000,230500,235500,3293825,-0.010504201680672232,-0.010504201680672232,5853.82565834301,78.8526479851079,220620.0,194585.0,189660.0,229648.10168824205,159521.89831175795
2024-02-07,239000,246500,238000,245000,2711612,0.04033970276008492,0.04033970276008492,6450.420590425426,81.57359473765727,230700.0,197500.0,190848.33333333334,238625.8069829639,156374.1930170361
2024-02-08,243000,250500,241500,250000,3017429,0.020408163265306145,0.020408163265306145,6756.186497483698,82.82605834093916,239100.0,200650.0,192126.66666666666,247349.4860785427,153950.5139214573
2024-02-13,251000,261000,247500,249000,2690468,-0.0040000000000000036,-0.0040000000000000036,6465.332953279352,81.6309859412198,243500.0,203800.0,193356.66666666666,254453.45003057545,153146.54996942455
2024-02-14,245000,251000,244500,245500,1702299,-0.014056224899598346,-0.014056224899598346,5641.496957715934,77.42046597485466,245000.0,206700.0,194406.66666666666,259867.39602425537,153532.60397574463
2024-02-15,250000,250500,237000,240000,2103428,-0.022403258655804503,-0.022403258655804503,4386.291291078982,71.20504192147915,245900.0,209390.0,195326.66666666666,263570.76780555997,155209.23219444003
2024-02-16,241500,253000,235500,252500,2261790,0.05208333333333326,0.05208333333333326,4065.232130416638,75.93386748282293,247400.0,212925.0,196461.66666666666,268647.73772886617,157202.26227113383
2024-02-19,253500,257000,248500,252500,1801441,0.0,0.0,3539.5220699430884,75.93386748282293,247900.0,216540.0,197610.0,272680.9084358278,160399.09156417215
2024-02-20,250000,253000,238500,242000,1944653,-0.04158415841584162,-0.04158415841584162,2234.94662342475,65.46094754456527,246500.0,219555.0,198573.33333333334,274348.41110024095,164761.58889975905
2024-02-21,242000,246000,237500,239500,1149137,-0.010330578512396715,-0.010330578512396715,1016.0288577820975,63.225025441152845,245300.0,222525.0,199515.0,274824.6701710442,170225.32982895582
2024-02-22,239000,245500,237500,243500,1475580,0.016701461377870652,0.016701461377870652,327.19643001478835,65.26909267678894,246000.0,225460.0,200493.33333333334,275501.5187619242,175418.48123807582
2024-02-23,244000,249500,242000,244000,1660625,0.002053388090349051,0.002053388090349051,-217.38661353749376,65.5270311821318,244300.0,228410.0,201493.33333333334,275427.94976389344,181392.05023610653
2024-02-26,237500,241000,231500,239000,1751340,-0.020491803278688492,-0.020491803278688492,-993.5106775470504,60.67426613033085,241600.0,230925.0,202395.0,274427.17810638924,187422.8218936108
2024-02-27,239000,244500,237500,238500,1265434,-0.0020920502092049986,-0.0020920502092049986,-1584.6305625844761,60.1941922828181,240900.0,233485.0,203275.0,272177.02889485133,194792.97110514867
2024-02-28,234000,250000,231500,248000,1911431,0.0398322851153039,0.0398322851153039,-1387.0175994491492,65.7407072945581,242600.0,236105.0,204328.33333333334,271100.68401960464,201109.31598039536
2024-02-29,246500,253500,243500,250500,2056620,0.010080645161290258,0.010080645161290258,-1148.963718490868,67.04217495984844,244000.0,239130.0,205431.66666666666,267492.02390521544,210767.97609478456
2024-03-04,255500,260000,253000,255500,1854280,0.019960079840319445,0.019960079840319445,-735.8785512470567,69.53488886236275,246300.0,242175.0,206643.33333333334,262774.21114994487,221575.78885005513
2024-03-05,251500,254500,247500,249000,1436614,-0.025440313111546042,-0.025440313111546042,-966.967689568708,62.87703883366322,248300.0,244225.0,207766.66666666666,257761.89403075952,230688.10596924048
2024-03-06,247000,254000,246000,251000,1103072,0.008032128514056325,0.008032128514056325,-1045.0446709889984,64.01862913741249,250800.0,245425.0,208926.66666666666,256708.94877691375,234141.05122308625
2024-03-07,252500,258000,247500,250000,988457,-0.003984063745019917,-0.003984063745019917,-1212.1947956764761,62.97584042863867,251200.0,246025.0,210045.0,256935.8890563516,235114.1109436484
2024-03-08,251500,255000,249500,253000,1210240,0.01200000000000001,0.01200000000000001,-1168.3784627798705,64.82684387653066,251700.0,246900.0,211218.33333333334,257076.4433865675,236723.5566134325
2024-03-11,251000,252500,242000,243500,1178615,-0.03754940711462451,-0.03754940711462451,-1789.6871928079836,55.38417531937142,249300.0,246825.0,212191.66666666666,257078.17024144306,236571.82975855694
2024-03-12,244000,247000,240000,241500,1096802,-0.008213552361396315,-0.008213552361396315,-2312.6018586101163,53.61363352533233,247800.0,246400.0,213126.66666666666,256795.1911959335,236004.8088040665
2024-03-13,243500,250000,241000,248500,1413782,0.02898550724637672,0.02898550724637672,-2166.80311852233,58.601940807272804,247300.0,246375.0,214175.0,256747.4394430632,236002.5605569368
2024-03-14,248000,255000,246000,251500,1574794,0.012072434607645954,0.012072434607645954,-1859.8428542949441,60.55949248710603,247600.0,246675.0,215283.33333333334,257273.4668702607,236076.5331297393
2024-03-15,250000,254500,243500,243500,1175933,-0.031809145129224614,-0.031809145129224614,-2165.7163771548694,53.31899179185857,245700.0,246850.0,216261.66666666666,257112.06606878038,236587.93393121962
2024-03-18,244000,247500,241000,242500,723835,-0.004106776180698102,-0.004106776180698102,-2388.0080972707856,52.47443503570754,245500.0,246350.0,217090.0,256435.13757962742,236264.86242037258
2024-03-19,241000,244000,236000,237500,944727,-0.020618556701030966,-0.020618556701030966,-2796.087365159875,48.35058089888257,244700.0,245600.0,217848.33333333334,255971.11372997196,235228.88627002804
2024-03-20,240000,246000,237500,241000,1230314,0.01473684210526316,0.01473684210526316,-2750.399488002826,51.23931799756889,243200.0,245550.0,218661.66666666666,255999.40189676007,235100.59810323993
2024-03-21,247000,254000,246000,252000,1578378,0.045643153526971014,0.045643153526971014,-1937.792993863236,59.00053898116407,243300.0,246175.0,219543.33333333334,256597.45172692172,235752.54827307828
