Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2024-01-02,68500,68800,67700,68200,183987,-0.013024602026049159,-0.013024602026049159,-173.5860884521458,40.08165451875202,70100.0,70035.0,70638.33333333333,72383.85078282976,67686.14921717024,67000.0
2024-01-03,67800,68300,67000,67000,339935,-0.017595307917888547,-0.017595307917888547,-329.04558455003973,35.70467176552965,69200.0,69915.0,70556.66666666667,72602.21044951823,67227.78955048177,66200.0
2024-01-04,66800,67000,66000,66200,172867,-0.011940298507462699,-0.011940298507462699,-460.3884251082197,33.1088951936335,67820.0,69750.0,70460.0,72886.55862371485,66613.44137628515,65500.0
2024-01-05,66100,66200,65100,65500,159939,-0.010574018126888185,-0.010574018126888185,-562.2991197259396,30.986128259719038,67200.0,69565.0,70340.0,73205.4807374851,65924.5192625149,65100.0
2024-01-08,65000,65700,65000,65100,179583,-0.006106870229007688,-0.006106870229007688,-619.9930958717478,29.809969906665316,66400.0,69350.0,70228.33333333333,73479.16456441251,65220.83543558748,65600.0
2024-01-09,65800,66200,65300,65600,171088,0.007680491551459223,0.007680491551459223,-588.0994888220935,33.222102659963056,65880.0,69190.0,70118.33333333333,73628.42314341478,64751.57685658521,64900.0
2024-01-10,65600,66000,64800,64900,158694,-0.010670731707317027,-0.010670731707317027,-576.9668346945352,30.953429252467416,65460.0,68975.0,69981.66666666667,73791.17067803873,64158.829321961275,62800.0
2024-01-11,64600,65300,62500,62800,3143615,-0.03235747303543912,-0.03235747303543912,-667.4600409973375,25.358713571137514,64780.0,68655.0,69820.0,74168.79179875337,63141.20820124663,63200.0
2024-01-12,63200,63900,62800,63200,288415,0.006369426751592355,0.006369426751592355,-655.8411283995739,28.027188332299673,64320.0,68300.0,69660.0,74242.05351709323,62357.94648290677,63500.0
2024-01-15,63600,63800,63300,63500,206701,0.004746835443038,0.004746835443038,-585.7163723002827,30.04711481006545,64000.0,67955.0,69490.0,74164.50078508731,61745.499214912685,62400.0
2024-01-16,63000,63500,62400,62400,267038,-0.017322834645669305,-0.017322834645669305,-570.6071057851786,27.049458847710596,63360.0,67560.0,69300.0,74117.86550639765,61002.13449360236,61100.0
2024-01-17,62300,62500,61100,61100,281694,-0.02083333333333337,-0.02083333333333337,-602.2355387793837,24.00185091207858,62600.0,67070.0,69090.0,74009.76944862003,60130.230551379966,60100.0
2024-01-18,61300,61400,60100,60100,331914,-0.016366612111292977,-0.016366612111292977,-640.9823258873514,21.952890545410085,62060.0,66555.0,68893.33333333333,73944.03917975808,59165.96082024192,60800.0
2024-01-19,60500,61000,60000,60800,401304,0.011647254575707144,0.011647254575707144,-572.2086319740515,26.671809469696626,61580.0,66075.0,68721.66666666667,73647.54910845746,58502.45089154253,61000.0
2024-01-22,61000,61700,60400,61000,230762,0.00328947368421062,0.00328947368421062,-470.2530669432158,28.011079022751375,61080.0,65560.0,68531.66666666667,73041.55064141117,58078.44935858883,62100.0
2024-01-23,61200,62100,61100,62100,295282,0.0180327868852459,0.0180327868852459,-294.33672783019665,35.03856532795787,61020.0,65090.0,68356.66666666667,72191.23932845528,57988.76067154472,62600.0
2024-01-24,61700,62800,61700,62600,193608,0.008051529790660261,0.008051529790660261,-118.904778914713,38.0012099547451,61320.0,64645.0,68210.0,71176.30155482044,58113.69844517955,63800.0
2024-01-25,62700,63900,62300,63800,262609,0.019169329073482455,0.019169329073482455,91.97050367492102,44.538684949369895,62060.0,64180.0,68078.33333333333,69437.22360186439,58922.77639813561,63800.0
2024-01-26,63400,64600,62800,63800,203229,0.0,0.0,237.21573442901672,44.538684949369895,62660.0,63940.0,67936.66666666667,68790.73190353786,59089.26809646215,65700.0
2024-01-29,64000,66500,63800,65700,375824,0.029780564263322873,0.029780564263322873,454.42422376647573,53.53551776878122,63600.0,63770.0,67820.0,68095.32079735133,59444.679202648666,65800.0
2024-01-30,65600,66800,65500,65800,363573,0.0015220700152207556,0.0015220700152207556,589.443941894589,53.95884555411993,64340.0,63650.0,67748.33333333333,67593.34883062607,59706.65116937393,69300.0
2024-01-31,65800,69300,65800,69300,683521,0.05319148936170204,0.05319148936170204,881.5079687602276,65.72805219155278,65680.0,63765.0,67736.66666666667,68196.37676123346,59333.62323876654,76000.0
2024-02-01,69300,76800,68900,76000,1833912,0.0966810966810967,0.0966810966810967,1458.90123623247,77.55570189094576,68120.0,64255.0,67851.66666666667,71141.93690983154,57368.06309016846,78400.0
2024-02-02,77000,79200,73600,78400,1438843,0.03157894736842115,0.03157894736842115,1907.1243493542293,80.19267990113153,71040.0,64900.0,68006.66666666667,74145.10681387727,55654.893186122725,77200.0
2024-02-05,78600,79100,74500,77200,789957,-0.015306122448979553,-0.015306122448979553,2016.799204020052,75.42124642896775,73340.0,65505.0,68153.33333333333,76194.14870324105,54815.85129675894,77400.0
2024-02-06,76000,80400,76000,77400,700064,0.002590673575129543,0.002590673575129543,1993.2772679469347,75.6809596225223,75660.0,66095.0,68288.33333333333,77976.15735103277,54213.84264896723,81400.0
2024-02-07,77400,81500,76900,81400,963479,0.05167958656330751,0.05167958656330751,2125.4672630613322,80.18957027297117,78080.0,66920.0,68483.33333333333,80521.55873420395,53318.44126579604,83000.0
2024-02-08,80900,83400,80800,83000,820659,0.019656019656019597,0.019656019656019597,2190.31809903241,81.65466785823928,79480.0,67930.0,68703.33333333333,83070.6869064782,52789.313093521814,83200.0
2024-02-13,83000,85100,82000,83200,719249,0.002409638554216942,0.002409638554216942,2115.2255592980237,81.83550625616601,80440.0,68930.0,68926.66666666667,85282.3820894694,52577.61791053059,80800.0
2024-02-14,82100,83200,80200,80800,551305,-0.028846153846153855,-0.028846153846153855,1785.6087450008736,72.58854396945165,81160.0,69795.0,69115.0,86726.91956040425,52863.08043959575,79400.0
2024-02-15,81400,81500,78600,79400,479733,-0.017326732673267342,-0.017326732673267342,1373.4880047301026,67.77744817907576,81560.0,70645.0,69280.0,87712.92020136022,53577.07979863979,80300.0
2024-02-16,79700,80300,77600,80300,531149,0.01133501259445846,0.01133501259445846,1074.9096220177403,69.19112742403455,81340.0,71605.0,69466.66666666667,88577.03287764904,54632.96712235096,85000.0
2024-02-19,80300,86000,80000,85000,903962,0.05853051058530512,0.05853051058530512,1103.2065475878494,75.28835763763794,81740.0,72850.0,69730.0,89916.3997374959,55783.6002625041,81700.0
2024-02-20,85000,85700,80600,81700,671463,-0.0388235294117647,-0.0388235294117647,821.843470746489,65.4884444779774,81440.0,73895.0,69933.33333333333,90433.37658296606,57356.623417033945,88300.0
2024-02-21,82500,88500,82500,88300,1483219,0.08078335373317014,0.08078335373317014,991.0627452064518,73.04533351867252,82940.0,75260.0,70245.0,91822.29452702735,58697.70547297265,92100.0
2024-02-22,87800,93200,87100,92100,1397509,0.04303510758776907,0.04303510758776907,1252.8792630854068,76.26748934811489,85480.0,76760.0,70608.33333333333,93712.56912683148,59807.430873168516,95600.0
2024-02-23,94500,97300,93900,95600,1265607,0.03800217155266017,0.03800217155266017,1537.008220316894,78.78320467287806,88540.0,78410.0,71038.33333333333,95942.47272919596,60877.52727080404,92200.0
2024-02-26,93600,94900,87500,92200,1479932,-0.03556485355648531,-0.03556485355648531,1376.3826398510555,70.91865503978832,89980.0,79830.0,71413.33333333333,96995.7915634555,62664.208436544504,92100.0
2024-02-27,90500,95200,87600,92100,808288,-0.0010845986984815426,-0.0010845986984815426,1152.8750259814424,70.69512522957305,92060.0,81245.0,71775.0,97535.3007952585,64954.6992047415,102900.0
2024-02-28,91400,102900,89000,102900,1265840,0.11726384364820852,0.11726384364820852,1594.6557104753456,78.55624263006709,94980.0,83105.0,72333.33333333333,100338.51095975512,65871.48904024488,96900.0
2024-02-29,101800,103900,96200,96900,919438,-0.058309037900874605,-0.058309037900874605,1354.496043051582,67.69211898256643,95940.0,84660.0,72781.66666666667,100953.85160114084,68366.14839885916,103900.0
2024-03-04,98100,104300,98000,103900,831903,0.07223942208462342,0.07223942208462342,1526.0414001984082,72.47484256582138,97600.0,86390.0,73356.66666666667,103134.18107881062,69645.81892118938,104500.0
2024-03-05,101600,107800,101100,104500,980345,0.005774783445620768,0.005774783445620768,1534.7315941368615,72.84589913726913,100060.0,87815.0,73940.0,105598.39393929066,70031.60606070934,103400.0
2024-03-06,103500,105600,101800,103400,431226,-0.010526315789473717,-0.010526315789473717,1328.9037802416624,70.95732656456802,102320.0,89065.0,74510.0,107527.09901392579,70602.90098607421,106000.0
2024-03-07,103500,107500,102800,106000,494554,0.025145067698259194,0.025145067698259194,1232.5065846600492,72.75527155414848,102940.0,90505.0,75120.0,109524.93427959202,71485.06572040798,105100.0
2024-03-08,107200,108500,104200,105100,415426,-0.008490566037735903,-0.008490566037735903,983.5807257165088,71.11411702662775,104580.0,91890.0,75725.0,110925.21998822183,72854.78001177817,103100.0
