Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,15900,16040,15720,16010,2109268,0.006918238993710801,0.006918238993710801,-23.93290852882521,59.48757731331517,15696.0,15711.0,14868.666666666666,16117.344681274408,15304.655318725592,1
2024-01-03,15850,15900,15600,15600,2191181,-0.025608994378513383,-0.025608994378513383,-38.25701632477046,51.72597340634096,15714.0,15727.5,14869.833333333334,16084.704423264886,15370.295576735114,0
2024-01-04,15510,15660,15410,15570,1514733,-0.0019230769230769162,-0.0019230769230769162,-49.138116757462114,51.199576121504656,15744.0,15725.5,14872.0,16085.748525326613,15365.251474673387,0
2024-01-05,15690,15780,15550,15560,1539993,-0.0006422607578676631,-0.0006422607578676631,-55.90245262809063,51.01321680573856,15728.0,15708.5,14884.666666666666,16066.286249037046,15350.713750962954,0
2024-01-08,15680,15730,15530,15560,1581709,0.0,0.0,-58.96629292670744,51.01321680573856,15660.0,15689.0,14890.5,16034.305661696995,15343.694338303005,0
2024-01-09,15700,15780,15580,15580,1259097,0.0012853470437017567,0.0012853470437017567,-58.13937333450633,51.42333758726739,15574.0,15673.5,14898.0,16009.016020481884,15337.983979518116,1
2024-01-10,15580,15640,15160,15190,2340544,-0.025032092426187424,-0.025032092426187424,-80.94988008375194,43.73426468798654,15492.0,15647.0,14909.0,16042.074676485345,15251.925323514655,0
2024-01-11,15200,15480,15150,15150,1719484,-0.0026333113890717463,-0.0026333113890717463,-94.85941978703057,43.023703346502145,15408.0,15629.0,14923.333333333334,16076.700792941,15181.299207059,0
2024-01-12,15200,15270,15020,15060,1704650,-0.005940594059405946,-0.005940594059405946,-105.4355241157121,41.39408741910631,15308.0,15592.0,14936.5,16095.849183784196,15088.150816215804,0
2024-01-15,15120,15320,15060,15320,1318881,0.01726427622841964,0.01726427622841964,-90.79138764282274,47.5721848337888,15260.0,15585.5,14951.5,16099.755772937942,15071.244227062058,1
2024-01-16,15320,15360,15090,15230,1531386,-0.005874673629242766,-0.005874673629242766,-83.23661306349956,45.773395540067135,15190.0,15555.0,14971.5,16077.551432875272,15032.448567124728,0
2024-01-17,15270,15270,14560,14570,2935031,-0.04333552199606039,-0.04333552199606039,-116.707702240282,35.24782531059296,15066.0,15488.0,14983.833333333334,16139.109821765884,14836.890178234116,0
2024-01-18,14750,14920,14640,14780,1941646,0.01441317776252582,0.01441317776252582,-118.35103023102215,39.97725121721589,14992.0,15439.5,14999.166666666666,16147.355211183756,14731.644788816244,1
2024-01-19,14870,15130,14870,15130,1636362,0.023680649526387043,0.023680649526387043,-90.7549692754821,46.93396505230315,15006.0,15412.0,15017.166666666666,16123.072429503492,14700.927570496508,1
2024-01-22,15270,15280,15000,15010,1287642,-0.007931262392597449,-0.007931262392597449,-76.06630996660692,45.007883233241564,14944.0,15367.0,15033.0,16059.996392487003,14674.003607512997,0
2024-01-23,15030,15150,14980,15000,1248628,-0.0006662225183211579,-0.0006662225183211579,-63.044450217779186,44.84273155817001,14898.0,15339.5,15055.833333333334,16044.807734255055,14634.192265744945,0
2024-01-24,15010,15020,14800,14860,1197281,-0.009333333333333305,-0.009333333333333305,-59.90254078922254,42.49194230308275,14956.0,15307.0,15077.166666666666,16037.345123896916,14576.654876103084,0
2024-01-25,14840,14870,14300,14870,2985230,0.0006729475100941684,0.0006729475100941684,-53.40871731882383,42.722914230478246,14974.0,15279.5,15095.333333333334,16031.842342288403,14527.157657711597,1
2024-01-26,14870,15280,14790,15170,2122184,0.02017484868863484,0.02017484868863484,-26.525544243850334,49.30148666806436,14982.0,15256.0,15124.5,15990.993877525521,14521.006122474479,1
2024-01-29,15230,15560,15200,15320,2313980,0.009887936717205115,0.009887936717205115,2.215825309247762,52.25432373997568,15044.0,15227.0,15155.5,15901.33226231584,14552.66773768416,1
2024-01-30,15480,15600,15030,15030,1877476,-0.018929503916449097,-0.018929503916449097,2.53038393688351,46.60300730836603,15050.0,15178.0,15174.166666666666,15752.686001221537,14603.313998778463,0
2024-01-31,14900,15440,14890,15440,3684053,0.02727877578176985,0.02727877578176985,29.677675927765847,54.15243770033964,15166.0,15170.0,15198.5,15725.0855789876,14614.9144210124,1
2024-02-01,15440,15580,15210,15380,1935366,-0.0038860103626943143,-0.0038860103626943143,42.15815602845137,52.97212558801172,15268.0,15160.5,15204.833333333334,15693.959464251971,14627.040535748029,0
2024-02-02,15400,16100,15310,16000,5846733,0.04031209362808852,0.04031209362808852,88.09143962053724,62.1521730113945,15434.0,15182.5,15228.5,15808.339436277389,14556.660563722611,1
2024-02-05,15960,15960,15340,15370,3312720,-0.03937500000000005,-0.03937500000000005,72.61153574343926,51.21260887992029,15444.0,15173.0,15242.166666666666,15781.148008300612,14564.851991699388,0
2024-02-06,15290,15450,15230,15320,1409909,-0.003253090435914152,-0.003253090435914152,56.29926650885763,50.453594589543,15502.0,15160.0,15262.333333333334,15743.403805266986,14576.596194733014,0
2024-02-07,15280,15430,15170,15240,1694519,-0.005221932114882533,-0.005221932114882533,38.277555570753535,49.19722243449654,15462.0,15162.5,15285.666666666666,15746.82439620471,14578.17560379529,0
