Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,12850,12920,12630,12840,2075510,-0.012307692307692353,-0.012307692307692353,-24.90012442586746,49.79525409783283,12946.0,12917.5,12599.833333333334,13061.565957116843,12773.434042883157,0
2024-01-03,12810,12900,12660,12690,1715513,-0.011682242990654235,-0.011682242990654235,-39.7891107077219,42.956798491182155,12884.0,12906.5,12611.666666666666,13081.459995427504,12731.540004572496,0
2024-01-04,12620,12650,12470,12470,2206289,-0.01733648542159183,-0.01733648542159183,-61.923857829704346,35.299801919605315,12778.0,12886.5,12614.333333333334,13145.055603304187,12627.944396695813,0
2024-01-05,12440,12550,12380,12490,1436870,0.001603849238171584,0.001603849238171584,-71.98239113835285,36.409514940868995,12698.0,12866.0,12615.5,13176.76679359287,12555.23320640713,1
2024-01-08,12490,12570,12450,12530,952830,0.0032025620496396456,0.0032025620496396456,-72.50408694066796,38.67498040741992,12604.0,12852.0,12616.666666666666,13195.138456020297,12508.861543979703,1
2024-01-09,12610,12640,12510,12590,1180302,0.004788507581803714,0.004788507581803714,-65.57932484067894,42.01214985613687,12554.0,12841.5,12617.833333333334,13202.735380327002,12480.264619672998,1
2024-01-10,12530,12570,12480,12480,976582,-0.008737092930897528,-0.008737092930897528,-65.04980896365447,37.936270548845854,12512.0,12825.0,12616.833333333334,13219.13195759795,12430.86804240205,0
2024-01-11,12540,12680,12470,12470,1485888,-0.0008012820512820484,-0.0008012820512820484,-62.02643956531652,37.579336876727915,12512.0,12807.0,12615.0,13230.372176695628,12383.627823304372,0
2024-01-12,12520,12630,12490,12540,717352,0.005613472333600544,0.005613472333600544,-52.35167720569069,41.713464251593635,12522.0,12787.0,12615.5,13221.009216491993,12352.990783508007,1
2024-01-15,12530,12650,12490,12620,743109,0.006379585326953707,0.006379585326953707,-38.25762092631825,46.106535140502686,12540.0,12771.0,12613.666666666666,13204.86172912576,12337.13827087424,1
2024-01-16,12550,12590,12490,12530,771367,-0.007131537242472286,-0.007131537242472286,-32.894276545676504,42.24864417117023,12528.0,12748.5,12613.333333333334,13183.345949733919,12313.654050266081,0
2024-01-17,12530,12570,12430,12450,1075902,-0.006384676775738174,-0.006384676775738174,-32.571179267853346,39.11557927889006,12522.0,12719.0,12612.0,13150.78235258055,12287.21764741945,0
2024-01-18,12510,12550,12450,12470,1102444,0.0016064257028112205,0.0016064257028112205,-28.96814583366892,40.3073754346815,12522.0,12696.5,12615.0,13130.93181283142,12262.06818716858,1
2024-01-19,12510,12680,12480,12620,1183552,0.012028869286287103,0.012028869286287103,-15.13586836564781,48.456576115614176,12538.0,12682.5,12620.666666666666,13107.746987055752,12257.253012944248,1
2024-01-22,12690,12690,12570,12610,668847,-0.0007923930269413404,-0.0007923930269413404,-5.793538257381215,47.986244122149124,12536.0,12663.5,12624.666666666666,13065.409193724148,12261.590806275852,0
2024-01-23,12680,12800,12610,12800,1396434,0.015067406819984086,0.015067406819984086,13.021576857914809,56.60475487645345,12590.0,12654.5,12634.666666666666,13035.15601269387,12273.84398730613,1
2024-01-24,12780,13030,12750,13000,2736620,0.015625,0.015625,37.39622850295142,63.46692285475222,12700.0,12654.5,12650.5,13035.15601269387,12273.84398730613,1
2024-01-25,12990,13050,12910,13030,1444969,0.002307692307692344,0.002307692307692344,53.043494004032524,64.37689257668966,12812.0,12656.0,12669.666666666666,13042.284868976247,12269.715131023753,1
2024-01-26,13030,13160,12900,13130,1568685,0.007674597083653145,0.007674597083653145,66.74668704900708,67.3006617352533,12914.0,12668.0,12690.166666666666,13095.345293644374,12240.654706355626,1
2024-01-29,13130,13560,12980,13480,2925020,0.026656511805026595,0.026656511805026595,94.31531587173161,75.02647021805035,13088.0,12692.0,12713.833333333334,13230.65016476373,12153.34983523627,1
