Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,144800,144800,139400,141200,145896,-0.026206896551724146,-0.026206896551724146,976.0314661379587,61.583406718295265,139360.0,133150.0,128401.66666666667,143868.67529128483,122431.32470871515,0
2024-01-03,139600,141000,134700,134700,145816,-0.04603399433427757,-0.04603399433427757,463.3009842694669,50.6745435933305,139280.0,133485.0,128628.33333333333,143954.81852755818,123015.18147244184,0
2024-01-04,134200,135100,129600,130400,195951,-0.031922791388270255,-0.031922791388270255,-174.09913684598268,44.996086970447706,137820.0,133645.0,128868.33333333333,143819.37467365933,123470.62532634068,0
2024-01-05,130900,133000,130200,131700,154917,0.009969325153374342,0.009969325153374342,-498.4504804581077,46.93220181896796,136600.0,133665.0,129135.0,143822.41600998995,123507.58399001005,1
2024-01-08,132500,132800,129000,129200,156292,-0.018982536066818545,-0.018982536066818545,-850.9569347324195,43.74337347675124,133440.0,133720.0,129390.0,143767.60668020003,123672.39331979997,0
2024-01-09,131200,133800,129300,132700,103623,0.027089783281733837,0.027089783281733837,-817.7860102011866,48.97084098235621,131740.0,134075.0,129721.66666666667,143427.61995378835,124722.38004621163,1
2024-01-10,132800,135500,130900,131300,106698,-0.010550113036925435,-0.010550113036925435,-855.4615040915867,47.08608590707315,131060.0,134370.0,130008.33333333333,142949.7668966004,125790.2331033996,0
2024-01-11,131300,131400,127000,127000,245461,-0.03274942878903275,-0.03274942878903275,-1118.6886041412754,41.76875168927515,130380.0,134350.0,130288.33333333333,142996.2708724629,125703.72912753711,0
2024-01-12,127500,129000,126000,127000,86293,0.0,0.0,-1232.522609691842,41.76875168927515,129440.0,134350.0,130553.33333333333,142996.2708724629,125703.72912753711,0
2024-01-15,128000,128300,121900,122100,136340,-0.03858267716535435,-0.03858267716535435,-1556.6499355281767,36.34453016176982,128020.0,133855.0,130740.0,143988.40515325428,123721.59484674573,0
2024-01-16,121000,123700,120600,122800,96575,0.005733005733005836,0.005733005733005836,-1634.6669129857844,37.59138842023709,126040.0,133155.0,130975.0,144265.08100780548,122044.9189921945,1
2024-01-17,123900,124600,120900,121300,121870,-0.012214983713355054,-0.012214983713355054,-1691.0100369991565,35.96566251777064,124040.0,132495.0,131211.66666666666,144719.47953902333,120270.52046097667,0
2024-01-18,121100,131500,121100,130600,339855,0.07666941467436117,0.07666941467436117,-1037.7298867413429,50.31317414374776,124760.0,132275.0,131550.0,144469.56846304945,120080.43153695055,1
2024-01-19,130500,132500,129100,131500,104079,0.006891271056661541,0.006891271056661541,-507.6208205738176,51.44694291105094,125660.0,132080.0,131876.66666666666,144192.90221210427,119967.09778789575,1
2024-01-22,132400,133300,129700,132000,127392,0.0038022813688212143,0.0038022813688212143,-106.87229190171547,52.100860657538554,127640.0,131880.0,132096.66666666666,143858.74784775104,119901.25215224896,1
2024-01-23,133300,139300,133000,138900,267970,0.05227272727272725,0.05227272727272725,600.4642899241306,60.0892650046854,130860.0,132000.0,132436.66666666666,144207.37482016507,119792.62517983493,1
2024-01-24,138800,141000,137400,138500,139636,-0.0028797696184305055,-0.0028797696184305055,995.6470459844109,59.47007152547498,134300.0,132170.0,132795.0,144637.2531056364,119702.7468943636,0
2024-01-25,139400,139800,136700,139500,92811,0.0072202166064982976,0.0072202166064982976,1261.5371467264001,60.56414241779019,136080.0,132260.0,133223.33333333334,144910.28062929833,119609.71937070168,1
2024-01-26,138100,143000,135000,140000,121059,0.0035842293906809264,0.0035842293906809264,1397.666587237486,61.1291424032635,137780.0,132370.0,133450.0,145247.28232198083,119492.71767801917,1
2024-01-29,140000,140500,136400,136400,129588,-0.02571428571428569,-0.02571428571428569,1180.4904430590911,55.017281595567795,138660.0,131940.0,133478.33333333334,143620.30821511146,120259.69178488854,0
2024-01-30,136100,137800,133500,135700,98233,-0.00513196480938416,-0.00513196480938416,935.6345839711785,53.8890305480216,138020.0,131665.0,133560.0,142701.53478225844,120628.46521774157,0
2024-01-31,133800,134000,117000,118000,634822,-0.13043478260869568,-0.13043478260869568,-400.767420814903,34.579114240301166,133920.0,130830.0,133305.0,143260.62347591625,118399.37652408374,0
2024-02-01,118600,119700,117000,119600,282895,0.013559322033898313,0.013559322033898313,-1118.678659871284,36.78425678604183,129940.0,130290.0,132910.0,143651.8711264553,116928.12887354467,1
2024-02-02,118700,124900,118500,123100,228091,0.029264214046822667,0.029264214046822667,-1287.4945194773534,41.43469028186219,126560.0,129860.0,132568.33333333334,143561.88308226282,116158.11691773716,1
2024-02-05,122300,122700,118300,120000,169379,-0.025182778229081992,-0.025182778229081992,-1521.560547426989,38.71788713148189,123280.0,129400.0,132188.33333333334,143761.47624723866,115038.52375276134,0
2024-02-06,120000,127500,119000,124900,224254,0.04083333333333328,0.04083333333333328,-1270.2447340187196,44.87097932719718,121120.0,129010.0,131853.33333333334,143415.40176461596,114604.59823538404,1
2024-02-07,126900,128100,123500,127700,126894,0.022417934347477964,0.022417934347477964,-858.9973253989115,48.079084992781965,123060.0,128830.0,131678.33333333334,143206.38341169295,114453.61658830704,1
2024-02-08,128300,129700,126300,129400,323750,0.013312451057165164,0.013312451057165164,-437.3077615419252,49.98221482469814,125020.0,128950.0,131551.66666666666,143303.3271404229,114596.6728595771,1
2024-02-13,131700,133700,124400,125500,204682,-0.030139103554868596,-0.030139103554868596,-387.56112535888747,45.831783727399305,125500.0,128875.0,131411.66666666666,143283.86879668216,114466.13120331784,0
2024-02-14,124200,125200,122700,123500,117013,-0.015936254980079667,-0.015936254980079667,-451.41201992728793,43.822129851520124,126200.0,128945.0,131203.33333333334,143234.6431026111,114655.35689738892,0
2024-02-15,124800,129300,123600,124500,161659,0.00809716599190291,0.00809716599190291,-390.63462586123524,45.1179348120465,126120.0,129030.0,131045.0,143192.07611898766,114867.92388101234,1
2024-02-16,126200,126300,123500,125000,105273,0.004016064257028162,0.004016064257028162,-285.94718293636356,45.79121943195049,125580.0,129215.0,130866.66666666667,143061.48330804615,115368.51669195385,1
2024-02-19,124800,128000,123600,127500,124070,0.020000000000000018,0.020000000000000018,-30.938601705282508,49.1502340549088,125200.0,129060.0,130730.0,142910.4007162248,115209.5992837752,1
2024-02-20,126500,127300,124900,126900,105471,-0.004705882352941226,-0.004705882352941226,107.15614309865623,48.37548068296526,125480.0,128830.0,130603.33333333333,142663.4522083246,114996.5477916754,0
2024-02-21,127200,127500,125100,127000,81096,0.0007880220646176994,0.0007880220646176994,209.1605396608777,48.52112728133015,126180.0,128580.0,130513.33333333333,142355.86294937637,114804.13705062363,1
2024-02-22,128300,128300,126200,127000,75503,0.0,0.0,276.3384805488854,48.521127281330145,126680.0,127985.0,130428.33333333333,140929.38488302942,115040.61511697057,0
2024-02-23,127100,128300,124300,124700,114617,-0.018110236220472475,-0.018110236220472475,170.75583697789943,45.12518337829768,126620.0,127295.0,130340.0,139365.53851325618,115224.46148674382,0
2024-02-26,125900,127000,123100,123200,124720,-0.012028869286287103,-0.012028869286287103,13.089966601063225,43.01093217268165,125760.0,126480.0,130153.33333333333,137278.25911895066,115681.74088104935,0
2024-02-27,124300,124600,120900,122300,111612,-0.007305194805194759,-0.007305194805194759,-130.6947922533634,41.74707049328341,124840.0,125595.0,129971.66666666667,134561.93370110437,116628.06629889565,0
2024-02-28,123000,123900,121600,123300,192659,0.00817661488143906,0.00817661488143906,-136.69026355323558,43.72573734536841,124100.0,124940.0,129811.66666666667,132449.56723120587,117430.43276879413,1
2024-02-29,121600,123700,119600,119600,210576,-0.030008110300081103,-0.030008110300081103,-355.6392615061868,38.513181600638696,122620.0,124135.0,129650.0,130164.02147947751,118105.97852052249,0
2024-03-04,120000,121000,117600,118100,149221,-0.012541806020066937,-0.012541806020066937,-555.3763018868935,36.60788568795054,121300.0,124140.0,129485.0,130148.79355611434,118131.20644388566,0
2024-03-05,116100,118000,113500,113700,241048,-0.03725656223539375,-0.03725656223539375,-916.4065238903754,31.660094665822328,119400.0,123845.0,129260.0,131154.84951965505,116535.15048034495,0
2024-03-06,113700,115200,113600,114500,102167,0.0070360598065084545,0.0070360598065084545,-1025.6658588654627,33.42202715235966,117840.0,123415.0,128980.0,131784.5340372091,115045.46596279093,1
2024-03-07,114800,115700,111700,112700,169994,-0.015720524017467263,-0.015720524017467263,-1134.9807505445742,31.45686866701304,115720.0,123050.0,128723.33333333333,132544.52473797405,113555.47526202594,0
2024-03-08,113800,114900,111600,112000,150524,-0.006211180124223614,-0.006211180124223614,-1165.8137159204189,30.70086207546045,114200.0,122405.0,128496.66666666667,132998.29504922815,111811.70495077186,0
2024-03-11,112000,116800,111100,114800,187813,0.02499999999999991,0.02499999999999991,-919.8204667026284,37.20215193377525,113540.0,121760.0,128320.0,132554.14656191037,110965.85343808963,1
2024-03-12,116200,116500,113000,114900,121072,0.0008710801393727596,0.0008710801393727596,-683.4245172046235,37.42792850961152,113780.0,121035.0,128111.66666666667,131625.04721424798,110444.95278575202,1
2024-03-13,114900,115100,112500,112800,120178,-0.018276762402088753,-0.018276762402088753,-604.2774332204499,34.61353959664466,113440.0,120400.0,127875.0,131359.5620350451,109440.43796495491,0
2024-03-14,112600,115900,112100,114200,255202,0.012411347517730542,0.012411347517730542,-403.100818785495,37.96269037438995,113740.0,119935.0,127578.33333333333,131115.92572196067,108754.07427803933,1
2024-03-15,115000,115500,113100,113100,218401,-0.009632224168126147,-0.009632224168126147,-294.6098805653555,36.38570732100207,113960.0,119365.0,127183.33333333333,130717.93354160068,108012.06645839932,0
2024-03-18,114600,115200,112700,112900,87230,-0.0017683465959328348,-0.0017683465959328348,-191.7924298838443,36.09214203762829,113580.0,118760.0,126823.33333333333,130136.88885416403,107383.11114583597,0
2024-03-19,111800,112800,110400,111700,103703,-0.010628875110717417,-0.010628875110717417,-161.30140201466565,34.30379431179048,112940.0,117970.0,126435.0,128998.52664683737,106941.47335316263,0
2024-03-20,112800,115200,112300,113200,159484,0.013428827215756556,0.013428827215756556,-5.066234002739293,38.41180426054039,113020.0,117285.0,126065.0,127694.27951397223,106875.72048602777,1
2024-03-21,113600,114800,113400,114300,128058,0.009717314487632578,0.009717314487632578,196.27730075331237,41.31008715296856,113040.0,116650.0,125703.33333333333,126118.15715965901,107181.84284034099,1
2024-03-22,113900,120400,113400,116100,455456,0.015748031496062964,0.015748031496062964,459.56413409507513,45.80448145513163,113640.0,116105.0,125363.33333333333,124296.08661900253,107913.91338099747,1
2024-03-25,116800,120400,116100,118100,223691,0.017226528854435763,0.017226528854435763,759.5899892263174,50.35369968348142,114680.0,115775.0,125080.0,123033.06448028689,108516.93551971311,1
2024-03-26,119400,122500,118700,122400,292484,0.036409822184589435,0.036409822184589435,1211.9646679127754,58.43255559679599,116820.0,115735.0,124825.0,122836.06330066154,108633.93669933846,1
2024-03-27,121200,123900,120400,122300,145367,-0.0008169934640522847,-0.0008169934640522847,1452.5543761148692,58.19538124738428,118640.0,115735.0,124566.66666666667,122836.06330066154,108633.93669933846,0
2024-03-28,122300,124300,120600,121200,127791,-0.008994276369582943,-0.008994276369582943,1480.6609286520834,55.525554323347045,120020.0,115630.0,124170.0,122331.37299364856,108928.62700635144,0
2024-03-29,121900,122400,119700,121400,75770,0.0016501650165017256,0.0016501650165017256,1453.7020009731175,55.921507035664256,121080.0,115720.0,123840.0,122675.7458262937,108764.2541737063,1
2024-04-01,122800,133500,121900,129100,463259,0.06342668863261935,0.06342668863261935,1868.9615263453195,67.80544983356418,123280.0,116270.0,123746.66666666667,125316.78948577904,107223.21051422096,1
2024-04-02,127300,134800,125200,134200,327427,0.039504260263361735,0.039504260263361735,2369.4407530945173,72.99813218147108,125640.0,117295.0,123810.0,129153.24185956763,105436.75814043237,1
2024-04-03,134200,137900,130900,135700,327195,0.011177347242921076,0.011177347242921076,2661.954065109463,74.31054381707828,128320.0,118355.0,123876.66666666667,132578.56846926967,104131.43153073035,1
2024-04-04,135200,137200,129800,132400,303868,-0.024318349299926267,-0.024318349299926267,2496.3924214700164,66.63695105804842,130560.0,119340.0,123930.0,134554.65083398242,104125.34916601758,0
2024-04-05,131100,136800,131000,133800,210633,0.010574018126888296,0.010574018126888296,2346.6505215964453,68.14006522887696,133040.0,120430.0,123948.33333333333,136485.4165315012,104374.58346849881,1
2024-04-08,133000,136900,131400,134300,213176,0.0037369207772794955,0.0037369207772794955,2151.8894598108623,68.68273633337643,134080.0,121405.0,123998.33333333333,138319.78347481875,104490.21652518125,1
2024-04-09,136000,136500,128500,129200,151213,-0.03797468354430378,-0.03797468354430378,1576.8374474508355,57.85752209483145,133080.0,122120.0,124035.0,139083.32514573724,105156.67485426276,0
2024-04-11,126600,129000,123500,127400,248725,-0.01393188854489169,-0.01393188854489169,1000.575970541177,54.5873689929629,131420.0,122850.0,124041.66666666667,139397.6886603538,106302.31133964621,0
2024-04-12,127300,136000,125800,135000,381973,0.05965463108320246,0.05965463108320246,1051.3705283830527,63.87222617652021,131940.0,123890.0,124256.66666666667,140744.06775825948,107035.93224174053,1
2024-04-15,134000,136400,133100,134600,142920,-0.002962962962962945,-0.002962962962962945,979.5913294111051,63.14051820148652,132100.0,124965.0,124453.33333333333,141671.07973164265,108258.92026835735,0
2024-04-16,133400,138000,133100,137400,325099,0.02080237741456159,0.02080237741456159,1036.7318959619588,66.07063039325061,132720.0,126190.0,124721.66666666667,142770.21712764946,109609.78287235052,1
