Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2020-03-30,11671,12255,11379,12126,1470195,-0.01318359375,-0.01318359375,91.18434145821448,44.5055123448597,11457.8,12864.95,15249.283333333333,17299.869051121466,8430.030948878535,12126.0
2020-03-31,12417,12514,12027,12126,1312182,0.0,0.0,158.3512091473035,44.5055123448597,11937.6,12745.0,15156.366666666667,17123.242935242415,8366.757064757585,12223.0
2020-04-01,11930,14361,11671,12223,5527052,0.007999340260597121,0.007999340260597121,209.08255747326007,45.200486406187224,12132.2,12578.05,15073.7,16764.32770101317,8391.772298986827,12320.0
2020-04-02,12124,12741,11606,12320,1945272,0.007935858627178272,0.007935858627178272,246.37647812096202,45.929712352593576,12216.6,12380.25,14988.866666666667,16207.360234890044,8553.139765109956,12093.0
2020-04-03,12319,12514,11995,12093,1199424,-0.01842532467532465,-0.01842532467532465,252.05460557314007,44.43934986070497,12177.6,12213.25,14906.2,15775.252631947391,8651.247368052609,12126.0
2020-04-06,12092,12157,11606,12126,2222663,0.0027288514016372556,0.0027288514016372556,253.63701868744022,44.720176048124785,12177.6,12060.9,14811.65,15354.00175366631,8767.798246333688,12417.0
2020-04-07,12610,12708,12222,12417,2383781,0.02399802078179114,0.02399802078179114,268.45623188554396,47.25203621815909,12235.8,11918.2,14723.583333333334,14872.430701891804,8963.969298108197,12385.0
2020-04-08,12417,12579,12124,12385,1552064,-0.002577112023838257,-0.002577112023838257,269.5701958246236,46.99712670406156,12268.2,11799.85,14634.983333333334,14466.111073113461,9133.58892688654,12936.0
2020-04-09,12643,13162,12514,12936,2675324,0.04448930157448516,0.04448930157448516,298.6268722134912,51.81710125314888,12391.4,11743.1,14557.166666666666,14257.579818968557,9228.620181031443,13196.0
2020-04-10,13129,13422,12967,13196,1814721,0.020098948670377315,0.020098948670377315,324.4227292166828,53.945363414688316,12612.0,11735.0,14484.233333333334,14229.584053504741,9240.415946495259,12677.0
2020-04-13,13194,13194,12643,12677,1407900,-0.03933010003031223,-0.03933010003031223,296.36912121394664,49.26726507288066,12722.2,11717.15,14398.316666666668,14179.195432155982,9255.104567844017,12709.0
2020-04-14,12610,12773,12448,12709,1093672,0.0025242565275696016,0.0025242565275696016,270.5223758578644,49.55771899483653,12780.6,11710.65,14314.016666666666,14161.474863183852,9259.825136816147,12709.0
2020-04-16,12708,13065,12352,12709,1268180,0.0,0.0,244.75503789816094,49.55771899483653,12845.4,11759.3,14235.666666666666,14248.534267802077,9270.065732197922,13552.0
2020-04-17,12903,14685,12870,13552,10793150,0.06633094657329441,0.06633094657329441,273.62868174855214,57.06742404287772,12968.6,11995.95,14178.933333333332,14206.369912595826,9785.530087404175,12677.0
2020-04-20,13875,14167,12319,12677,6811234,-0.06456611570247939,-0.06456611570247939,224.9742287498692,48.92547507543919,12864.8,12135.35,14103.833333333334,14138.633532104266,10132.066467895735,12417.0
