Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,353000,355000,347000,354000,36386,-0.0028169014084507005,-0.0028169014084507005,2416.7280267167403,57.91920162853854,351900.0,339950.0,354950.0,369154.2805081722,310745.7194918278
2024-01-03,349000,351000,340500,340500,61278,-0.03813559322033899,-0.03813559322033899,1219.5055437475933,45.78117623609463,349900.0,340575.0,353383.3333333333,369259.9699320046,311890.0300679954
2024-01-04,340500,341000,333500,334500,40508,-0.017621145374449365,-0.017621145374449365,13.803316699361403,41.60767026499776,346900.0,341075.0,351875.0,368959.1801027035,313190.8198972965
2024-01-05,335000,338000,333000,335000,27935,0.001494768310911887,0.001494768310911887,-719.2255923234695,42.08151355389193,343800.0,341575.0,350400.0,368634.7025112991,314515.2974887009
2024-01-08,331000,335000,327500,328500,37817,-0.0194029850746269,-0.0194029850746269,-1562.6498222423306,37.78846129682992,338500.0,341825.0,348850.0,368298.14677177626,315351.85322822374
2024-01-09,331500,339500,331000,339000,39836,0.03196347031963476,0.03196347031963476,-1342.5921288246334,47.165267897487055,335500.0,342900.0,347400.0,366971.9754070996,318828.0245929004
2024-01-10,340000,340000,330500,332500,32427,-0.019174041297935096,-0.019174041297935096,-1549.3406027053147,42.8586959305646,333900.0,343500.0,345941.6666666667,365845.02181695076,321154.97818304924
2024-01-11,334000,334000,328500,330000,55385,-0.007518796992481258,-0.007518796992481258,-1753.9629010991669,41.29685181991676,333000.0,343925.0,344533.3333333333,364858.88401611143,322991.11598388857
2024-01-12,330000,331000,323000,325000,53757,-0.015151515151515138,-0.015151515151515138,-2102.072438186864,38.29136864956806,331000.0,343950.0,342983.3333333333,364792.02485364623,323107.97514635377
2024-01-15,325500,326000,317000,317500,47215,-0.023076923076923106,-0.023076923076923106,-2676.621630772308,34.263253334859726,328800.0,343025.0,341500.0,366652.2617964928,319397.7382035072
2024-01-16,317500,319500,312000,312500,41430,-0.015748031496062964,-0.015748031496062964,-3197.335272820154,31.857216579071334,323500.0,341425.0,340208.3333333333,368516.0963233312,314333.9036766688
2024-01-17,311000,314000,303500,305000,57292,-0.02400000000000002,-0.02400000000000002,-3809.2659509072637,28.61163668504713,318000.0,339000.0,338958.3333333333,369766.865293689,308233.134706311
2024-01-18,303000,339000,303000,325500,143490,0.06721311475409841,0.06721311475409841,-2650.7146081714027,45.08122077989891,317100.0,337625.0,337908.3333333333,368223.8153365454,307026.1846634546
2024-01-19,328000,329000,321000,322500,45309,-0.009216589861751112,-0.009216589861751112,-1936.8661954603394,43.499634489730994,316600.0,335825.0,336866.6666666667,365522.2641837595,306127.7358162405
2024-01-22,324500,326000,314000,315000,44040,-0.023255813953488413,-0.023255813953488413,-1821.935054666661,39.74549957693538,316100.0,333650.0,335458.3333333333,362751.71816233546,304548.28183766454
2024-01-23,313000,320500,312500,319000,72358,0.012698412698412653,0.012698412698412653,-1350.3628448378822,42.591181083672986,317400.0,332075.0,334258.3333333333,360765.1986748089,303384.8013251911
2024-01-24,319000,320000,315000,317500,42086,-0.00470219435736674,-0.00470219435736674,-1027.8949176224369,41.79405456394545,319900.0,330425.0,334358.3333333333,358475.4456292589,302374.5543707411
2024-01-25,318000,318500,310500,315000,46566,-0.007874015748031482,-0.007874015748031482,-877.2618510952643,40.43572170607538,317800.0,328700.0,334425.0,356081.3805349549,301318.6194650451
2024-01-26,312000,318500,309000,315500,47447,0.0015873015873015817,0.0015873015873015817,-648.7755318462996,40.849781189081156,316400.0,326950.0,334425.0,352974.79586855596,300925.20413144404
2024-01-29,317000,317500,312500,314000,45203,-0.004754358161648153,-0.004754358161648153,-509.62656943469574,39.952503664304075,316200.0,324900.0,334283.3333333333,348065.9232494629,301734.0767505371
2024-01-30,316000,322500,314000,318000,49745,0.01273885350318471,0.01273885350318471,-81.6082570431181,43.51553383020401,316000.0,323100.0,334225.0,342175.1146785545,304024.8853214455
2024-01-31,315500,316000,303500,303500,123440,-0.045597484276729605,-0.045597484276729605,-675.4104385170158,35.33131717347517,313200.0,321250.0,333816.6666666667,340392.8837952908,302107.1162047092
2024-02-01,302500,307500,300000,305500,80389,0.006589785831960571,0.006589785831960571,-824.0109680264441,37.08886439955189,311300.0,319800.0,333100.0,339101.2952933218,300498.7047066782
2024-02-02,306500,315500,304000,314000,73492,0.02782324058919805,0.02782324058919805,-269.08493927500695,44.04866867335291,311000.0,318750.0,332566.6666666667,336878.70651756506,300621.29348243494
2024-02-05,312500,312500,306500,308000,63028,-0.019108280254777066,-0.019108280254777066,-227.03505912810488,40.63162375284816,309800.0,317725.0,331916.6666666667,335850.87928901677,299599.12071098323
2024-02-06,308000,312500,307000,311000,80530,0.009740259740259827,0.009740259740259827,66.22609611737789,43.01205469989949,308400.0,316325.0,331425.0,331791.98095945054,300858.01904054946
2024-02-07,314500,318500,312500,316000,80230,0.016077170418006492,0.016077170418006492,629.0527624405258,46.837970450196785,310900.0,315500.0,331150.0,329072.03006185906,301927.96993814094
2024-02-08,317000,318500,308500,308500,114063,-0.02373417721518989,-0.02373417721518989,532.179028669003,42.255386550755624,311500.0,314425.0,330800.0,326562.85401131544,302287.14598868456
2024-02-13,309000,312000,305500,309500,92721,0.0032414910858995505,0.0032414910858995505,568.1333446344206,43.0553837148706,310600.0,313650.0,330391.6666666667,324937.6038201208,302362.3961798792
2024-02-14,307000,314000,300000,308000,219962,-0.004846526655896577,-0.004846526655896577,524.6178738552026,42.11291229913687,310600.0,313175.0,329800.0,324573.5744722753,301776.4255277247
2024-02-15,312500,342000,309000,322000,488788,0.045454545454545414,0.045454545454545414,1421.5515121342896,52.55234574022995,312800.0,313650.0,329408.3333333333,325671.2312181409,301628.7687818591
2024-02-16,326500,340500,315000,336500,194637,0.045031055900621064,0.045031055900621064,2889.590517475386,60.49814165473091,316900.0,315225.0,329391.6666666667,330193.2163266037,300256.7836733963
