Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,113800,113800,112500,113800,92232,-0.003502626970227629,-0.003502626970227629,86.23126697778002,65.64612435006772,113280.0,111215.0,106991.66666666667,114816.26366710353,107613.73633289647
2024-01-03,112900,113400,112100,112500,52145,-0.011423550087873435,-0.011423550087873435,-25.22811394454493,58.017674746692855,113240.0,111395.0,107123.33333333333,114873.20355931045,107916.79644068955
2024-01-04,112000,112000,109900,110100,92358,-0.021333333333333315,-0.021333333333333315,-261.06061035920084,47.129143325007,112600.0,111480.0,107210.0,114737.36089495775,108222.63910504225
2024-01-05,110400,110400,108700,108900,65224,-0.010899182561307952,-0.010899182561307952,-485.3088303806967,42.80357007596445,111900.0,111455.0,107313.33333333333,114782.74698557446,108127.25301442554
2024-01-08,109300,110400,108900,109800,40164,0.008264462809917328,0.008264462809917328,-555.41757712812,46.75097545322707,111020.0,111475.0,107421.66666666667,114757.60567232799,108192.39432767201
2024-01-09,110600,110600,109600,109600,43381,-0.0018214936247723523,-0.0018214936247723523,-594.172993043197,45.991364409996166,110180.0,111485.0,107520.0,114743.38917258204,108226.61082741796
2024-01-10,109600,110200,109400,110100,30779,0.0045620437956204185,0.0045620437956204185,-565.2185205526123,48.254935895509526,109700.0,111520.0,107633.33333333333,114702.2004965118,108337.7995034882
2024-01-11,110100,111300,109900,110900,52766,0.0072661217075387086,0.0072661217075387086,-474.9090965752674,51.74009146667642,109860.0,111580.0,107766.66666666667,114666.48667581765,108493.51332418235
2024-01-12,110900,111000,110200,110900,43464,0.0,0.0,-400.8494640418895,51.74009146667642,110260.0,111620.0,107875.0,114648.9272028228,108591.0727971772
2024-01-15,110900,112100,110300,112000,55560,0.009918845807033394,0.009918845807033394,-269.7441670784342,56.42073147973725,110700.0,111675.0,107955.0,114689.54805899656,108660.45194100344
2024-01-16,112100,112100,111100,111400,42061,-0.005357142857142838,-0.005357142857142838,-217.63173608607792,53.37958599877307,111060.0,111680.0,108045.0,114692.37447871275,108667.62552128725
