Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,51400,51500,48900,49500,204995,-0.017857142857142905,-0.017857142857142905,430.1252831733816,64.66170590050966,49750.0,46080.0,44570.833333333336,52154.89917611806,40005.10082388194,0
2024-01-03,48600,49000,46900,47000,259646,-0.0505050505050505,-0.0505050505050505,158.64494991484207,52.48477469710025,49280.0,46250.0,44554.166666666664,52227.2903560058,40272.7096439942,0
2024-01-04,46200,46400,45600,46000,283148,-0.021276595744680882,-0.021276595744680882,-96.57804689160685,48.54660661957194,48530.0,46377.5,44517.5,52217.66052861562,40537.33947138438,0
2024-01-05,46000,46150,45150,45350,244733,-0.01413043478260867,-0.01413043478260867,-305.67574569744875,46.12398402509479,47650.0,46480.0,44453.333333333336,52170.553575883445,40789.446424116555,0
2024-01-08,45050,45600,44750,45000,196389,-0.007717750826901848,-0.007717750826901848,-455.0597584214793,44.82679302768493,46570.0,46575.0,44375.0,52097.63524053508,41052.36475946492,0
2024-01-09,45950,46400,45300,45850,225430,0.018888888888888955,0.018888888888888955,-481.5670629436281,48.60700866465902,45840.0,46750.0,44305.833333333336,51937.67770779951,41562.32229220049,1
2024-01-10,46400,47100,45900,46000,149018,0.0032715376226826187,0.0032715376226826187,-473.2428465028818,49.26759684337261,45640.0,46900.0,44222.5,51811.41527464334,41988.58472535666,1
2024-01-11,46300,46750,45600,46000,244460,0.0,0.0,-452.01731010051685,49.26759684337261,45640.0,47042.5,44164.166666666664,51667.462162007374,42417.537837992626,0
2024-01-12,46000,46850,45800,46000,207695,0.0,0.0,-422.78791509463065,49.26759684337261,45770.0,47177.5,44098.333333333336,51505.71845566972,42849.28154433028,0
2024-01-15,46250,46700,45550,45950,150603,-0.0010869565217391797,-0.0010869565217391797,-392.30137377324183,49.005354250967734,45960.0,47327.5,44014.166666666664,51248.01973595338,43406.98026404662,0
2024-01-16,45600,46100,45200,45350,108854,-0.01305767138193692,-0.01305767138193692,-396.83061328343626,45.85136608540394,45860.0,47395.0,44020.0,51125.93821980476,43664.06178019524,0
2024-01-17,45150,45600,42700,43950,395731,-0.030871003307607503,-0.030871003307607503,-473.2193094470097,39.46833700622895,45450.0,47227.5,44008.333333333336,51249.87181274928,43205.12818725072,0
2024-01-18,43950,45100,43350,44500,377277,0.012514220705347023,0.012514220705347023,-465.120692239571,42.83517895027235,45150.0,47097.5,44009.166666666664,51292.31525218929,42902.68474781071,1
2024-01-19,44500,45600,44350,44950,160549,0.010112359550561889,0.010112359550561889,-409.81326893868294,45.505874124643796,44940.0,47030.0,43998.333333333336,51316.420418017806,42743.579581982194,1
2024-01-22,46100,46150,44800,44850,128440,-0.0022246941045606095,-0.0022246941045606095,-361.981254848709,45.00271384792764,44720.0,46762.5,43999.166666666664,50888.984581335535,42636.015418664465,0
2024-01-23,45400,46150,44900,45800,199530,0.021181716833890807,0.021181716833890807,-253.50854013701257,50.59186246785376,44810.0,46565.0,44042.5,50472.953428586356,42657.046571413644,1
2024-01-24,46000,46600,45300,45600,209278,-0.004366812227074246,-0.004366812227074246,-185.52624417690396,49.45244405747658,45140.0,46377.5,44095.833333333336,50087.82006705619,42667.17993294381,0
2024-01-25,46350,46850,45750,46500,198378,0.019736842105263053,0.019736842105263053,-75.8640205121565,54.42651527987374,45540.0,46215.0,44209.166666666664,49589.774066511694,42840.225933488306,1
2024-01-26,47000,47550,46500,47000,247198,0.010752688172043001,0.010752688172043001,28.81954331212834,56.96042969966095,45950.0,46077.5,44346.666666666664,49067.06100456235,43087.93899543765,1
2024-01-29,47050,47550,46450,46750,217141,-0.005319148936170248,-0.005319148936170248,76.96596077197404,55.30467410736325,46330.0,45895.0,44491.666666666664,48166.10105455478,43623.89894544522,0
2024-01-30,47400,47800,46650,46800,173187,0.0010695187165774556,0.0010695187165774556,106.12195358778185,55.58276653138185,46530.0,45760.0,44631.666666666664,47387.75919595001,44132.24080404999,1
2024-01-31,47250,51000,46600,50900,547092,0.08760683760683752,0.08760683760683752,380.06637588401725,71.33348769349983,47590.0,45955.0,44824.166666666664,48688.843448334206,43221.156551665794,1
2024-02-01,50500,50700,47850,49300,422707,-0.03143418467583492,-0.03143418467583492,428.45189223933335,62.08155742350798,48150.0,46120.0,44953.333333333336,49218.77395109741,43021.22604890259,0
2024-02-02,50300,52500,50100,50800,368668,0.030425963488843744,0.030425963488843744,529.78323673787,66.47194814431387,48910.0,46392.5,45119.166666666664,50075.87820485487,42709.12179514513,1
2024-02-05,50800,51500,49750,49950,252555,-0.0167322834645669,-0.0167322834645669,507.80905093254216,62.08510175041276,49550.0,46640.0,45287.5,50572.63270596173,42707.36729403827,0
2024-02-06,50000,50600,48200,48900,249295,-0.02102102102102099,-0.02102102102102099,395.7803383785657,57.07427400758839,49970.0,46792.5,45427.5,50826.01893512351,42758.98106487649,0
2024-02-07,49450,50900,49150,49550,271986,0.013292433537832382,0.013292433537832382,340.7678883761057,59.266007748279335,49700.0,46970.0,45580.833333333336,51157.88729552264,42782.11270447736,1
2024-02-08,50200,50200,46150,46300,528013,-0.065590312815338,-0.065590312815338,74.71040284852654,46.48563316526865,49100.0,46985.0,45699.166666666664,51161.01484671689,42808.98515328311,0
2024-02-13,46700,47350,46200,47200,210390,0.01943844492440605,0.01943844492440605,-45.00582457107953,49.719214539581024,48380.0,47045.0,45819.166666666664,51197.09585631159,42892.90414368841,1
2024-02-14,46800,47050,46050,46900,132766,-0.006355932203389814,-0.006355932203389814,-143.2010832501261,48.66365780372541,47770.0,47092.5,45918.333333333336,51215.03259538356,42969.96740461644,0
2024-02-15,47550,47600,46500,46550,131474,-0.007462686567164201,-0.007462686567164201,-225.62435688867743,47.39932628625352,47300.0,47152.5,45985.0,51206.19892813957,43098.80107186043,0
2024-02-16,47000,49050,46850,48700,265586,0.04618689581095592,0.04618689581095592,-133.78288856320933,55.11407057929143,47130.0,47390.0,46115.0,51215.51957255481,43564.48042744519,1
2024-02-19,48000,49250,47300,48400,139976,-0.006160164271047264,-0.006160164271047264,-93.57849566296613,53.9255885986582,47550.0,47585.0,46225.0,51192.78325291306,43977.21674708694,0
2024-02-20,48400,48400,47200,47350,229946,-0.02169421487603307,-0.02169421487603307,-135.49676551596588,49.8720003769979,47580.0,47705.0,46313.333333333336,51108.07214146276,44301.92785853724,0
2024-02-21,47750,47800,44400,44500,649274,-0.060190073917634646,-0.060190073917634646,-341.25347476497603,40.88781198011828,47100.0,47687.5,46334.166666666664,51152.16087806584,44222.83912193416,0
2024-02-22,44750,45350,44400,45050,259374,0.012359550561797716,0.012359550561797716,-421.15699437617366,43.021048587105675,46800.0,47650.0,46352.5,51210.47749606706,44089.52250393294,1
2024-02-23,45200,45700,44550,45400,178396,0.007769145394006749,0.007769145394006749,-429.7931291535805,44.39621849117019,46140.0,47640.0,46382.5,51224.49438554449,44055.50561445551,1
2024-02-26,45950,46850,45600,46150,242853,0.016519823788546217,0.016519823788546217,-366.8008763336532,47.329714370202986,45690.0,47622.5,46410.833333333336,51232.413433865135,44012.586566134865,1
2024-02-27,46600,46600,45600,46350,205114,0.004333694474539573,0.004333694474539573,-296.47919752912594,48.11579971040342,45490.0,47590.0,46431.666666666664,51233.295211755416,43946.704788244584,1
2024-02-28,46400,48250,46400,47350,265383,0.02157497303128375,0.02157497303128375,-173.52008799916035,51.97523661322825,46060.0,47620.0,46466.666666666664,51244.96896538439,43995.03103461561,1
2024-02-29,47150,47200,46050,46950,431403,-0.008447729672650506,-0.008447729672650506,-112.96381831350706,50.36150181101788,46440.0,47627.5,46489.166666666664,51246.26705522751,44008.73294477249,0
2024-03-04,47600,48400,47000,47000,184292,0.0010649627263046302,0.0010649627263046302,-65.71948330964985,50.56810529632204,46760.0,47432.5,46545.833333333336,50731.026186041265,44133.973813958735,1
2024-03-05,46800,48650,46750,47500,263164,0.010638297872340496,0.010638297872340496,-0.42770046369897585,52.68875095293799,47030.0,47342.5,46613.333333333336,50528.60655816781,44156.39344183219,1
2024-03-06,47150,48650,47150,48050,173093,0.011578947368421133,0.011578947368421133,75.9450279129362,54.97684636629767,47370.0,47205.0,46692.5,49995.143365492164,44414.856634507836,1
2024-03-07,48600,48800,47650,47750,160770,-0.00624349635796051,-0.00624349635796051,100.84138532742962,53.4581638164459,47450.0,47095.0,46770.0,49602.767931846945,44587.232068153055,0
2024-03-08,48500,50400,48200,50300,362178,0.05340314136125657,0.05340314136125657,273.8187464560011,62.85171069689633,48120.0,47165.0,46902.5,49934.85559190365,44395.14440809635,1
2024-03-11,50300,51600,49400,50000,295226,-0.005964214711729587,-0.005964214711729587,348.0382226135448,61.28458757154655,48720.0,47187.5,47019.166666666664,50040.54661721465,44334.45338278535,0
2024-03-12,50300,50300,47850,48650,209281,-0.027000000000000024,-0.027000000000000024,288.66566562857804,54.677747030206405,48950.0,47305.0,47110.833333333336,50195.48438847193,44414.51561152807,0
2024-03-13,48850,49900,48400,48650,210140,0.0,0.0,234.16853663412644,54.677747030206405,49070.0,47377.5,47200.0,50325.96994219034,44429.03005780966,0
2024-03-14,49050,52300,48800,51600,428586,0.060637204522096644,0.060637204522096644,373.31245180521523,64.40322272428776,49840.0,47612.5,47344.166666666664,51075.573057271526,44149.426942728474,1
2024-03-15,51300,52800,50700,50800,269379,-0.015503875968992276,-0.015503875968992276,386.365574143898,60.60516422965668,49940.0,47825.0,47457.5,51515.32518892305,44134.67481107695,0
2024-03-18,51300,51900,50200,50800,107816,0.0,0.0,369.87668983450135,60.60516422965667,50100.0,47930.0,47515.833333333336,51827.614655144855,44032.385344855145,0
2024-03-19,50900,52400,50600,51300,258424,0.009842519685039353,0.009842519685039353,366.80163075829273,62.220132035196805,50630.0,48075.0,47585.833333333336,52238.47210870926,43911.52789129074,1
2024-03-20,52800,54000,52500,53200,311210,0.03703703703703698,0.03703703703703698,460.8040113792272,67.64762236135806,51540.0,48367.5,47700.833333333336,53072.84536458271,43662.15463541729,1
2024-03-21,53800,54300,52600,53200,272224,0.0,0.0,488.4210635695057,67.64762236135806,51860.0,48802.5,47750.833333333336,53604.84057517791,44000.15942482209,0
2024-03-22,53300,54500,52300,52400,225489,-0.015037593984962405,-0.015037593984962405,420.8140050307268,63.21305596860702,52180.0,49170.0,47795.0,53891.694611048035,44448.305388951965,0
2024-03-25,52500,52600,49950,50700,357577,-0.03244274809160308,-0.03244274809160308,238.67137473325147,54.967033042226866,52160.0,49435.0,47817.5,53866.60241899023,45003.39758100977,0
2024-03-26,51300,51600,50100,50500,400255,-0.0039447731755424265,-0.0039447731755424265,89.47080002202779,54.07334338399039,52000.0,49652.5,47830.0,53838.00773503049,45466.99226496951,0
2024-03-27,50200,57300,50200,56100,804038,0.11089108910891099,0.11089108910891099,338.6775363183235,69.18213426194468,52580.0,50140.0,47935.833333333336,54904.514665734605,45375.485334265395,1
2024-03-28,55000,56800,53500,54000,352653,-0.03743315508021394,-0.03743315508021394,332.3665018019419,61.06878601742804,52740.0,50472.5,47995.833333333336,55338.86157719503,45606.13842280497,0
2024-03-29,54300,54800,53300,53300,154322,-0.012962962962962954,-0.012962962962962954,254.81991245613608,58.60172445865407,52920.0,50790.0,48059.166666666664,55522.39896881065,46057.60103118935,0
2024-04-01,53800,54300,52400,53800,178595,0.009380863039399667,0.009380863039399667,212.68978821439077,59.849421525136606,53540.0,51130.0,48172.5,55698.63218042339,46561.36781957661,1
2024-04-02,53000,53700,52100,52500,184143,-0.024163568773234223,-0.024163568773234223,79.60999097654235,55.191846507218315,53940.0,51380.0,48280.833333333336,55665.13710399097,47094.86289600903,0
2024-04-03,52000,53000,51300,52700,203687,0.003809523809523707,0.003809523809523707,-7.953987978536588,55.76222676659901,53260.0,51612.5,48403.333333333336,55646.96093053337,47578.03906946663,1
2024-04-04,53000,53600,51600,52300,203385,-0.007590132827324458,-0.007590132827324458,-100.6717548955287,54.274183974655706,52920.0,51840.0,48525.0,55470.509606102176,48209.490393897824,0
2024-04-05,51700,53500,51200,51500,165944,-0.015296367112810683,-0.015296367112810683,-217.0570119448132,51.3242480259354,52560.0,51900.0,48619.166666666664,55465.809865935116,48334.190134064884,0
2024-04-08,50800,51500,50000,51000,152749,-0.009708737864077666,-0.009708737864077666,-322.5354698198587,49.512898203678574,52000.0,51950.0,48702.5,55434.967718645355,48465.032281354645,0
2024-04-09,52000,54600,51700,53600,410671,0.050980392156862786,0.050980392156862786,-217.07852080290468,57.84439595484187,52220.0,52197.5,48829.166666666664,55401.63404838191,48993.36595161809,1
2024-04-11,51500,52500,50600,51200,388652,-0.04477611940298509,-0.04477611940298509,-303.5331259997097,49.69254134278394,51920.0,52325.0,48915.833333333336,55132.75711200243,49517.24288799757,0
2024-04-12,51800,54400,51600,53500,311241,0.044921875,0.044921875,-205.1072488335767,56.08039346290179,52160.0,52420.0,49041.666666666664,55251.677947790005,49588.322052209995,1
2024-04-15,53300,54000,52900,53200,238444,-0.005607476635513975,-0.005607476635513975,-161.41995919149417,55.097664475146175,52500.0,52540.0,49172.5,55289.108946549815,49790.891053450185,0
2024-04-16,52700,53600,51300,53200,259674,0.0,0.0,-134.81870777548716,55.097664475146175,52940.0,52660.0,49326.666666666664,55302.271749839565,50017.728250160435,0
2024-04-17,53200,53700,50000,50300,367585,-0.05451127819548873,-0.05451127819548873,-305.08508162891576,46.05066211725738,52280.0,52610.0,49423.333333333336,55387.69688771116,49832.30311228884,0
2024-04-18,50900,52500,50800,51800,220097,0.02982107355864816,0.02982107355864816,-308.3255529611714,50.57157587650167,52400.0,52540.0,49537.5,55325.24684722921,49754.75315277079,1
2024-04-19,51400,53000,50700,51600,374535,-0.0038610038610038533,-0.0038610038610038533,-314.49484574772146,49.970297674046485,52020.0,52460.0,49650.0,55256.71235560617,49663.28764439383,0
2024-04-22,52900,53600,51900,53500,148372,0.036821705426356655,0.036821705426356655,-187.44257117267068,55.39594548707677,52080.0,52515.0,49778.333333333336,55347.860744900856,49682.139255099144,1
2024-04-23,53600,55600,53200,53600,222258,0.0018691588785046953,0.0018691588785046953,-97.99446461953187,55.66844624598849,52160.0,52660.0,49911.666666666664,55401.824210265906,49918.175789734094,1
2024-04-24,53700,55600,53200,55300,226386,0.03171641791044766,0.03171641791044766,65.52667169514814,60.12803325227803,53160.0,52900.0,50058.333333333336,55683.52294763314,50116.47705236686,1
2024-04-25,54800,55300,51300,51300,365809,-0.07233273056057865,-0.07233273056057865,-97.00673244034135,47.9144309049141,53060.0,52660.0,50130.0,55105.730974575956,50214.269025424044,0
2024-04-26,51800,52500,51400,52000,216976,0.013645224171539905,0.013645224171539905,-155.220418276666,49.83483129974333,53140.0,52560.0,50217.5,54941.09218637167,50178.90781362833,1
