Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,11775,12496,11682,12339,2869457,0.04789808917197447,0.04789808917197447,67.91032023882151,60.3094965810419,11668.0,11563.05,11702.316666666668,12176.877817877285,10949.222182122714,1
2024-01-03,12338,12551,12200,12274,1862115,-0.0052678499067996265,-0.0052678499067996265,95.11492186266992,59.12312571931251,11832.4,11605.1,11716.8,12288.780597940287,10921.419402059713,0
2024-01-04,12182,12200,11941,12062,1042946,-0.01727228287436855,-0.01727228287436855,94.21371612435996,55.302070224251814,11980.4,11634.25,11739.3,12343.186915388096,10925.313084611904,0
2024-01-05,12071,12385,11951,12284,1116939,0.018404907975460016,0.018404907975460016,103.22571150573714,58.338496199038744,12146.8,11673.55,11757.333333333334,12433.244537297713,10913.855462702286,1
2024-01-08,12348,13291,12329,13097,6880243,0.06618365353305111,0.06618365353305111,155.4596526481086,67.14173001999856,12411.2,11756.3,11781.833333333334,12728.032699871721,10784.567300128278,1
2024-01-09,13225,13530,12856,12884,2929259,-0.0162632663968848,-0.0162632663968848,166.214835466495,63.36405989036907,12520.2,11833.0,11804.166666666666,12901.67132458955,10764.32867541045,0
2024-01-10,12893,12902,12385,12385,1712787,-0.03873020800993476,-0.03873020800993476,131.77744260536997,55.487568152463155,12542.4,11877.8,11819.566666666668,12960.067915074627,10795.532084925371,0
2024-01-11,12412,12616,12218,12570,2036633,0.014937424303593128,0.014937424303593128,114.17041847663259,57.59227062811908,12644.0,11924.0,11838.983333333334,13041.071170516894,10806.928829483106,1
2024-01-12,12477,12634,12219,12256,847482,-0.024980111376292746,-0.024980111376292746,75.93010098696206,53.010688868507806,12638.4,11952.65,11851.466666666667,13072.91483922329,10832.38516077671,0
2024-01-15,12264,12385,12098,12154,855957,-0.008322454308093974,-0.008322454308093974,40.11814025403197,51.575368697688674,12449.8,11976.2,11864.716666666667,13092.596452878628,10859.803547121373,0
2024-01-16,12070,12172,11802,11895,1496132,-0.02130985683725517,-0.02130985683725517,-2.4052619268633464,48.019945674807815,12252.0,11971.1,11875.65,13088.001589219024,10854.198410780977,0
2024-01-17,12015,12458,11774,11784,2244722,-0.009331651954602727,-0.009331651954602727,-37.455622252718,46.53921560358952,12131.8,11954.45,11888.433333333332,13072.083298537576,10836.816701462425,0
2024-01-18,11858,12477,11775,12182,1749859,0.03377460964019008,0.03377460964019008,-33.41606709166294,52.22744939168454,12054.2,11994.65,11910.15,13083.932750253569,10905.36724974643,1
2024-01-19,12338,12421,11950,12043,1043114,-0.011410277458545393,-0.011410277458545393,-39.281393851318256,50.21781820022135,12011.6,12050.1,11927.083333333334,13024.630635742138,11075.569364257863,0
2024-01-22,12145,12514,12108,12330,1467397,0.02383127127792073,0.02383127127792073,-23.771583559967326,54.141461640626574,12046.8,12089.4,11938.8,13042.276361339693,11136.523638660306,1
2024-01-23,12320,13162,12200,12857,3252808,0.04274128142741285,0.04274128142741285,19.693118209181648,60.32510945707598,12239.2,12169.85,11967.0,13096.314089967858,11243.385910032142,1
2024-01-24,12894,13115,12552,12700,3175979,-0.012211246791630992,-0.012211246791630992,34.70474624043018,57.82359317333843,12422.4,12232.25,11989.35,13124.38830205858,11340.11169794142,0
2024-01-25,12810,12830,12000,12310,3321153,-0.03070866141732287,-0.03070866141732287,16.146989727217004,52.04964806221114,12448.0,12281.65,12003.5,13070.096136397386,11493.203863602614,0
2024-01-26,12290,12650,12260,12340,1140562,0.002437043054427379,0.002437043054427379,4.2880381378786865,52.443037787119,12507.4,12326.05,12021.383333333333,13016.541846439884,11635.558153560114,1
2024-01-29,12300,12320,12050,12150,1111702,-0.015397082658022643,-0.015397082658022643,-16.800225810473393,49.66402735419117,12471.4,12344.8,12035.183333333332,12993.5220051763,11696.077994823698,0
2024-01-30,12240,12350,11830,11850,1423136,-0.024691358024691357,-0.024691358024691357,-49.549414208070075,45.55888899899061,12270.0,12320.35,12037.05,13004.022224095703,11636.677775904298,0
2024-01-31,11790,11820,11200,11650,2624696,-0.016877637130801704,-0.016877637130801704,-81.39597804997639,43.00668571160276,12060.0,12289.15,12032.183333333332,13032.761531648053,11545.538468351946,0
2024-02-01,11370,11880,11370,11840,1442069,0.016309012875536544,0.016309012875536544,-85.93293801899353,46.09606275870434,11966.0,12278.05,12016.016666666666,13041.262283706155,11514.837716293843,1
2024-02-02,11740,11940,11740,11890,1224585,0.004222972972973027,0.004222972972973027,-81.85354680316647,46.911607265072135,11876.0,12258.35,12004.983333333334,13040.046942555085,11476.653057444915,1
2024-02-05,11730,11870,11640,11690,1125627,-0.016820857863751093,-0.016820857863751093,-88.35529718352959,44.041277706718326,11784.0,12188.0,11993.083333333334,12905.76820771052,11470.23179228948,0
2024-02-06,11620,11750,11340,11460,1347149,-0.019674935842600494,-0.019674935842600494,-102.86141994684502,40.93906286505896,11706.0,12116.8,11978.583333333334,12826.74861785905,11406.851382140949,0
2024-02-07,11580,11610,11350,11500,955327,0.003490401396160525,0.003490401396160525,-104.1588821102969,41.70808199832095,11676.0,12072.55,11965.516666666666,12819.475023010995,11325.624976989004,1
2024-02-08,11600,11740,11460,11740,1981033,0.02086956521739136,0.02086956521739136,-84.10846466843142,46.23182612292378,11656.0,12031.05,11958.15,12754.676001467595,11307.423998532404,1
2024-02-13,11780,11790,11600,11740,996709,0.0,0.0,-66.85322499302072,46.23182612292378,11626.0,12005.25,11948.016666666666,12731.744012363475,11278.755987636525,0
