Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,62600,63100,61800,62600,141887,-0.011058451816745696,-0.011058451816745696,42.83551743898056,53.49818584757001,63100.0,61945.0,60681.666666666664,64536.11944919564,59353.88055080436
2024-01-03,62100,62500,61600,61900,136125,-0.011182108626198062,-0.011182108626198062,-48.05512322043603,50.114518285663245,62620.0,62000.0,60693.333333333336,64537.71550808989,59462.28449191011
2024-01-04,61500,63500,61400,63500,223990,0.025848142164781818,0.025848142164781818,-5.959195038540884,56.83482058349514,62460.0,62150.0,60750.0,64669.92063367081,59630.07936632919
2024-01-05,63000,63400,62100,62700,129383,-0.012598425196850394,-0.012598425196850394,-35.86541095188932,52.9909312276418,62800.0,62225.0,60776.666666666664,64716.48550066018,59733.51449933982
2024-01-08,63300,64100,62700,63000,137250,0.004784688995215225,0.004784688995215225,-39.05226788912478,54.24076173806625,62740.0,62335.0,60803.333333333336,64758.44795694067,59911.55204305933
2024-01-09,63700,63700,62800,63200,97965,0.0031746031746031633,0.0031746031746031633,-31.617646317250887,55.09785869033736,62860.0,62435.0,60836.666666666664,64827.71811962878,60042.28188037122
2024-01-10,63300,63600,62600,62800,138130,-0.006329113924050667,-0.006329113924050667,-56.13395821506742,52.96125435110072,63040.0,62510.0,60870.0,64849.14514299559,60170.85485700441
2024-01-11,63200,64500,62900,63600,321584,0.01273885350318471,0.01273885350318471,-22.682173411576287,56.58720440572575,63060.0,62650.0,60915.0,64896.330340800276,60403.669659199724
2024-01-12,63200,65900,63200,64300,382354,0.011006289308176154,0.011006289308176154,39.019224419366424,59.52704470660277,63380.0,62795.0,60973.333333333336,65074.012944237016,60515.987055762984
2024-01-15,65200,68300,64900,67700,602411,0.05287713841368591,0.05287713841368591,287.41120278139033,70.11342865136128,64320.0,63105.0,61058.333333333336,66152.27747341784,60057.722526582154
2024-01-16,67200,68100,66500,67100,176874,-0.008862629246676468,-0.008862629246676468,383.8703787296082,66.79317088246914,65100.0,63395.0,61158.333333333336,66784.67550069322,60005.32449930678
2024-01-17,67600,68300,65300,65700,275243,-0.02086438152011927,-0.02086438152011927,328.1154188616762,59.690272134544884,65680.0,63625.0,61245.0,66984.68748546643,60265.31251453356
2024-01-18,66000,67500,65900,66600,229705,0.013698630136986356,0.013698630136986356,325.911140039119,62.45442157595707,66280.0,63890.0,61360.0,67309.88303893566,60470.11696106434
2024-01-19,67200,67500,64900,66500,236988,-0.0015015015015015232,-0.0015015015015015232,292.8264613541422,61.94613569474438,66720.0,64120.0,61478.333333333336,67591.94470002041,60648.0552999796
2024-01-22,66600,67200,65400,65600,130977,-0.013533834586466176,-0.013533834586466176,190.3993580224012,57.417026936497464,66300.0,64190.0,61558.333333333336,67721.51525552415,60658.484744475856
2024-01-23,65900,66500,64700,66100,201177,0.007621951219512146,0.007621951219512146,138.7899350114426,59.201676797258834,66100.0,64290.0,61676.666666666664,67917.6162972398,60662.383702760206
2024-01-24,66100,67500,65600,67200,184551,0.016641452344931862,0.016641452344931862,159.71176871264788,62.88680615093816,66400.0,64435.0,61818.333333333336,68278.05867766806,60591.94132233194
2024-01-25,67500,67700,66500,67400,155977,0.0029761904761904656,0.0029761904761904656,167.1981189996086,63.53178711633276,66560.0,64590.0,61961.666666666664,68643.09758086328,60536.90241913672
2024-01-26,67000,67800,66700,67100,128307,-0.004451038575667643,-0.004451038575667643,133.58101147570483,61.79693894124006,66680.0,64895.0,62123.333333333336,68733.99726491173,61056.002735088274
2024-01-29,66900,68600,65300,68100,304376,0.014903129657227954,0.014903129657227954,158.62182204545297,65.20745449281179,67180.0,65135.0,62300.0,69141.63200206854,61128.36799793146
2024-01-30,68700,71000,68000,68300,463350,0.002936857562408246,0.002936857562408246,167.69993634305933,65.86382848221874,67620.0,65420.0,62466.666666666664,69475.41613154553,61364.58386845447
2024-01-31,68400,71800,67200,71400,485301,0.04538799414348471,0.04538799414348471,350.9860551078634,74.03908710308595,68460.0,65895.0,62673.333333333336,70391.4319187551,61398.5680812449
2024-02-01,71300,73000,70500,72000,587237,0.008403361344537785,0.008403361344537785,473.51008713027954,75.2734001752959,69380.0,66320.0,62865.0,71399.60628395544,61240.39371604456
2024-02-02,71500,71700,68300,70400,583504,-0.022222222222222254,-0.022222222222222254,410.04862245114714,66.23033362711828,70040.0,66705.0,63045.0,71795.96258088778,61614.037419112225
2024-02-05,69900,75300,68400,73600,724338,0.045454545454545414,0.045454545454545414,538.7320089908019,73.1721705704958,71140.0,67235.0,63286.666666666664,72852.57064931092,61617.42935068908
2024-02-06,72500,74300,70000,71000,291293,-0.03532608695652173,-0.03532608695652173,409.73194068318617,62.01721269309311,71680.0,67625.0,63483.333333333336,73150.1696806523,62099.8303193477
2024-02-07,70600,73000,69600,71600,275524,0.008450704225352101,0.008450704225352101,329.2659340220657,63.403718035840136,71720.0,68065.0,63691.666666666664,73380.74077622296,62749.259223777044
2024-02-08,72500,73600,70700,71600,258414,0.0,0.0,244.39723601500327,63.403718035840136,71640.0,68465.0,63916.666666666664,73576.66313444062,63353.33686555937
2024-02-13,72800,73600,70000,71100,358833,-0.006983240223463638,-0.006983240223463638,128.75211110883038,61.24309036427943,71780.0,68805.0,64123.333333333336,73661.53168423715,63948.46831576285
2024-02-14,70300,71900,69500,69800,204118,-0.01828410689170179,-0.01828410689170179,-51.468356556385515,55.9084999597172,71020.0,68910.0,64283.333333333336,73757.22601082303,64062.773989176974
2024-02-15,70600,70700,66500,68000,341293,-0.025787965616045794,-0.025787965616045794,-294.50746842872695,49.481599833805724,70420.0,68955.0,64421.666666666664,73750.61257818011,64159.38742181989
2024-02-16,68700,72000,68000,71100,307780,0.04558823529411771,0.04558823529411771,-250.80178284343765,58.35955495782487,70320.0,69225.0,64618.333333333336,73862.61792302894,64587.38207697106
2024-02-19,71400,73500,71300,72200,226880,0.015471167369901506,0.015471167369901506,-156.72483728042516,60.979950474417286,70440.0,69505.0,64818.333333333336,74151.06284933805,64858.93715066194
2024-02-20,72300,73400,71200,71700,229530,-0.006925207756232732,-0.006925207756232732,-137.75888525995606,59.15763203583605,70560.0,69765.0,65010.0,74289.72098587296,65240.27901412703
2024-02-21,72100,72200,68100,69500,342904,-0.030683403068340276,-0.030683403068340276,-275.0413235196361,51.81976258440008,70500.0,69960.0,65151.666666666664,74066.77489034878,65853.22510965122
2024-02-22,70300,70400,68400,68900,209959,-0.008633093525179825,-0.008633093525179825,-400.32551659080536,49.99826991043553,70680.0,70100.0,65285.0,73845.9311259017,66354.0688740983
2024-02-23,69300,70500,68500,69300,249778,0.005805515239477588,0.005805515239477588,-446.791750951857,51.22906710360773,70320.0,70205.0,65425.0,73731.17356351034,66678.82643648966
2024-02-26,69500,69700,67300,69400,222609,0.0014430014430013571,0.0014430014430013571,-459.5475493321992,51.55015104485535,69760.0,70305.0,65545.0,73614.0633115731,66995.9366884269
2024-02-27,69400,69400,67800,68200,193068,-0.01729106628242072,-0.01729106628242072,-532.4211806315682,47.50819160557445,69060.0,70360.0,65656.66666666667,73485.63593529367,67234.36406470633
2024-02-28,68200,71600,68200,70800,194769,0.038123167155425186,0.038123167155425186,-395.43473068242565,55.626451561005815,69320.0,70495.0,65820.0,73446.93157102246,67543.06842897754
