Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,28800,28950,26750,26800,1487496,-0.07586206896551728,-0.07586206896551728,185.74714447280468,50.73115518642329,28020.0,26430.0,26424.166666666668,29027.383298629604,23832.616701370396,0
2024-01-03,26300,26500,24850,25300,2791964,-0.05597014925373134,-0.05597014925373134,-14.204564079196075,42.739960329914865,27410.0,26457.5,26365.833333333332,28994.087274272268,23920.912725727732,0
2024-01-04,25100,25500,24900,25050,1273431,-0.00988142292490124,-0.00988142292490124,-158.44867077515335,41.56480269839805,26830.0,26447.5,26300.833333333332,29004.544192031106,23890.455807968894,0
2024-01-05,24900,25250,24300,24350,2036989,-0.027944111776447067,-0.027944111776447067,-288.5716295846304,38.382523704571234,26100.0,26400.0,26235.0,29073.200329193456,23726.799670806544,0
2024-01-08,24450,25100,24300,24800,916685,0.01848049281314168,0.01848049281314168,-328.97443944599206,41.484121066216645,25260.0,26370.0,26172.5,29100.274711453043,23639.725288546957,1
2024-01-09,25150,25500,25000,25300,822537,0.02016129032258074,0.02016129032258074,-307.08373357632365,44.808394316623186,24960.0,26380.0,26102.5,29093.00571322657,23666.99428677343,1
2024-01-10,25150,25700,25150,25350,486104,0.0019762845849802257,0.0019762845849802257,-275.31424861923085,45.144001916483305,24970.0,26382.5,26043.333333333332,29091.609632333104,23673.390367666896,1
2024-01-11,25400,25500,25000,25000,595330,-0.013806706114398382,-0.013806706114398382,-263.9179138760467,43.16531799040765,24960.0,26370.0,25980.833333333332,29102.10541524298,23637.89458475702,0
2024-01-12,25050,25250,24800,25050,481719,0.0020000000000000018,0.0020000000000000018,-239.7599018543277,43.545995976685354,25100.0,26345.0,25915.833333333332,29115.541463324455,23574.458536675545,1
2024-01-15,24950,25050,24600,24700,599247,-0.013972055888223589,-0.013972055888223589,-233.85012487089398,41.452932903785694,25080.0,26325.0,25841.666666666668,29136.67210037017,23513.32789962983,0
2024-01-16,24650,24900,24400,24400,469017,-0.012145748987854255,-0.012145748987854255,-235.96391342883396,39.691875153630676,24900.0,26257.5,25782.5,29183.63653133274,23331.36346866726,0
2024-01-17,24400,24750,23650,23850,965573,-0.02254098360655743,-0.02254098360655743,-258.4125156018478,36.62026603853593,24600.0,26115.0,25717.5,29213.564183617957,23016.435816382043,0
2024-01-18,23600,24150,23600,23800,626198,-0.002096436058700246,-0.002096436058700246,-259.9319858741587,36.344906651008834,24360.0,25992.5,25655.833333333332,29249.688204571547,22735.311795428453,0
2024-01-19,24050,24600,23800,24050,584400,0.010504201680672232,0.010504201680672232,-228.51609187334577,38.82192315551421,24160.0,25835.0,25592.5,29147.566980454885,22522.433019545115,1
2024-01-22,24250,24250,23400,23400,703163,-0.027027027027026973,-0.027027027027026973,-235.0188857244708,35.00761088208931,23900.0,25605.0,25518.333333333332,28923.11693585383,22286.88306414617,0
2024-01-23,23300,24150,23300,24100,494088,0.029914529914529808,0.029914529914529808,-178.2579895812571,41.6558397239798,23840.0,25430.0,25472.5,28677.214190656356,22182.785809343644,1
2024-01-24,24350,24600,24100,24250,510595,0.006224066390041472,0.006224066390041472,-119.51356722326693,43.00134670479987,23920.0,25225.0,25434.166666666668,28216.571493379357,22233.428506620643,1
2024-01-25,24200,24550,23850,24450,354891,0.008247422680412342,0.008247422680412342,-59.14210996601514,44.8283036756633,24050.0,25050.0,25453.333333333332,27781.666158226515,22318.333841773485,1
2024-01-26,24250,24500,24200,24250,397484,-0.008179959100204526,-0.008179959100204526,-26.307898998572227,43.332541425634034,24090.0,24862.5,25461.666666666668,27251.82521855021,22473.17478144979,0
2024-01-29,24200,24550,24150,24400,582033,0.006185567010309256,0.006185567010309256,9.941419244200574,44.819643274482026,24290.0,24632.5,25462.5,26087.242245210473,23177.757754789527,1
2024-01-30,24600,24700,24050,24050,605505,-0.014344262295082011,-0.014344262295082011,14.499520989849884,42.04694331657089,24280.0,24495.0,25450.833333333332,25576.156787889715,23413.843212110285,0
2024-01-31,24500,24600,22250,22300,3158972,-0.07276507276507271,-0.07276507276507271,-90.42253771543756,31.54046334488328,23890.0,24345.0,25415.833333333332,25728.076281338093,22961.923718661907,0
2024-02-01,22350,23300,22350,23250,1922702,0.04260089686098656,0.04260089686098656,-85.95066875364978,40.26639440745631,23650.0,24255.0,25366.666666666668,25676.58362399122,22833.41637600878,1
2024-02-02,23300,23400,22900,23050,1497949,-0.008602150537634357,-0.008602150537634357,-86.34164243328064,39.13545513651983,23410.0,24190.0,25326.666666666668,25704.133415521897,22675.866584478103,0
2024-02-05,23050,23400,22700,23250,724679,0.008676789587852562,0.008676789587852562,-64.03620059000514,40.922371710676146,23180.0,24112.5,25300.0,25652.264592397165,22572.735407602835,1
2024-02-06,23100,23600,22850,22950,670873,-0.012903225806451646,-0.012903225806451646,-60.437253773523025,39.0694660153272,22960.0,23995.0,25272.5,25512.860336131096,22477.139663868904,0
2024-02-07,23250,23600,23100,23400,801911,0.019607843137254832,0.019607843137254832,-20.750841784105774,43.22231504640325,23180.0,23897.5,25251.666666666668,25300.879848793622,22494.120151206378,1
2024-02-08,23550,23750,23400,23550,750634,0.0064102564102563875,0.0064102564102563875,20.37606317074949,44.57829866064079,23240.0,23825.0,25236.666666666668,25140.104558580802,22509.895441419198,1
2024-02-13,23750,23900,23450,23650,801281,0.00424628450106157,0.00424628450106157,57.012576532129174,45.51255621692074,23360.0,23755.0,25206.666666666668,24944.91596341927,22565.08403658073,1
2024-02-14,23450,23750,23350,23550,901088,-0.0042283298097252064,-0.0042283298097252064,76.0205769087778,44.701054914588106,23420.0,23697.5,25167.5,24807.668906067905,22587.331093932095,0
2024-02-15,23950,24250,23750,23900,790926,0.014861995753715496,0.014861995753715496,111.5276185244677,48.183458813904466,23610.0,23672.5,25140.833333333332,24739.96194311554,22605.03805688446,1
2024-02-16,24150,24500,23950,24450,1304012,0.023012552301255207,0.023012552301255207,168.0239405163377,53.173803105783165,23820.0,23702.5,25127.5,24820.74639503108,22584.25360496892,1
2024-02-19,24500,24600,24050,24250,596184,-0.008179959100204526,-0.008179959100204526,186.46809785207176,51.24123989076616,23960.0,23725.0,25100.0,24868.022309493568,22581.977690506432,0
2024-02-20,24250,24300,23650,23700,648519,-0.02268041237113405,-0.02268041237113405,157.3338415194084,46.26184766334369,23970.0,23707.5,25065.0,24840.75857596579,22574.24142403421,0
2024-02-21,23900,24000,23400,23800,512016,0.00421940928270037,0.00421940928270037,141.02850893676225,47.26525109849366,24020.0,23727.5,25025.833333333332,24852.43333135791,22602.56666864209,1
2024-02-22,23900,24200,23750,24050,809997,0.010504201680672232,0.010504201680672232,142.87006677399165,49.7893888536692,24050.0,23725.0,24992.5,24846.82886395386,22603.17113604614,1
2024-02-23,24200,24300,23750,23800,705220,-0.01039501039501034,-0.01039501039501034,123.7547447671949,47.34871872878237,23920.0,23702.5,24960.0,24799.074210895007,22605.925789104993,0
2024-02-26,24000,24000,23350,23650,1141401,-0.006302521008403339,-0.006302521008403339,98.60581752800056,45.89502202383856,23800.0,23662.5,24922.5,24704.07332915163,22620.92667084837,0
2024-02-27,23800,24400,23700,23950,922978,0.012684989429175397,0.012684989429175397,99.48669785589675,49.250917666807624,23850.0,23647.5,24887.5,24663.115576879365,22631.884423120635,1
2024-02-28,24100,26350,23900,26000,2623894,0.08559498956158662,0.08559498956158662,228.09054145570855,65.15551208741549,24290.0,23727.5,24904.166666666668,25141.52793466042,22313.47206533958,1
2024-02-29,25650,25850,24550,24600,2060354,-0.05384615384615388,-0.05384615384615388,209.31623338720482,52.95083995777033,24400.0,23755.0,24893.333333333332,25213.73232637109,22296.26767362891,0
2024-03-04,25000,25600,24900,24950,1160747,0.014227642276422703,0.014227642276422703,210.35617293898736,55.20967175022451,24630.0,23887.5,24896.666666666668,25273.095539831163,22501.904460168837,1
2024-03-05,24750,26300,24700,25550,1777903,0.024048096192384794,0.024048096192384794,239.2357553692882,58.85639070056234,25010.0,24002.5,24901.666666666668,25531.70731099482,22473.29268900518,1
2024-03-06,25500,26500,25400,26350,1782268,0.03131115459882583,0.03131115459882583,296.2690372647187,63.16291342668095,25490.0,24167.5,24919.166666666668,25942.401405712444,22392.598594287556,1
2024-03-07,26350,26450,25650,25800,1206967,-0.020872865275142316,-0.020872865275142316,281.1296304582729,58.620067029384046,25450.0,24295.0,24925.833333333332,26152.3906428105,22437.6093571895,0
2024-03-08,25850,26600,25700,26450,1464464,0.025193798449612448,0.025193798449612448,297.4878585990001,62.0902485032984,25820.0,24470.0,24948.333333333332,26443.423421367042,22496.576578632958,1
2024-03-11,26700,27550,26500,26750,2248766,0.011342155009451904,0.011342155009451904,309.7164514226629,63.60719584706475,26180.0,24637.5,24972.5,26780.59939106893,22494.40060893107,1
2024-03-12,26950,27050,26450,26850,1173569,0.0037383177570093906,0.0037383177570093906,305.2461865857873,64.12254857823123,26440.0,24802.5,24999.166666666668,27088.64850786208,22516.35149213792,1
