Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2020-03-30,62200,74300,61600,74300,6733285,0.29895104895104896,0.29895104895104896,361.0773827763745,61.98414303694235,52690.0,59647.5,50063.333333333336,85950.36058587543,33344.63941412458,74300.0
2020-03-31,78800,91700,71000,74300,8095939,0.0,0.0,1483.0138916988897,61.98414303694235,59030.0,59322.5,50650.833333333336,84716.81973887072,33928.18026112928,81000.0
2020-04-01,79500,89000,74300,81000,7791191,0.09017496635262456,0.09017496635262456,2534.959236659315,65.15545844327526,66170.0,59137.5,51350.0,83833.93445924934,34441.06554075065,72400.0
2020-04-02,85200,86800,71400,72400,2788795,-0.10617283950617284,-0.10617283950617284,2505.702821482254,58.418923953893156,71840.0,58622.5,51881.666666666664,81709.15144623618,35535.848553763826,68400.0
2020-04-03,72500,77700,66300,68400,1790590,-0.05524861878453036,-0.05524861878453036,2088.15400901695,55.54247176926577,74080.0,58507.5,52360.0,81374.22855919707,35640.77144080293,69900.0
2020-04-06,68400,73900,67300,69900,1894645,0.021929824561403466,0.021929824561403466,1795.3574687417704,56.40926155158764,73200.0,58832.5,52830.0,82148.4875407412,35516.512459258796,86100.0
2020-04-07,70600,87300,70600,86100,8186102,0.23175965665236054,0.23175965665236054,2530.129789571708,64.46693373937676,75560.0,59937.5,53570.0,86054.80987295588,33820.190127044116,79700.0
2020-04-08,89000,90900,78100,79700,3804445,-0.07433217189314756,-0.07433217189314756,2422.3985061515073,59.76665150832591,75300.0,60967.5,54200.0,88460.06763199827,33474.93236800173,83700.0
2020-04-09,81600,91000,81100,83700,6732369,0.050188205771643624,0.050188205771643624,2450.432304996195,61.64870373246666,77560.0,62137.5,54911.666666666664,91354.44499772348,32920.555002276524,85500.0
2020-04-10,83900,88300,82400,85500,3794064,0.021505376344086002,0.021505376344086002,2416.107557845271,62.498837791452225,80980.0,63537.5,55645.0,94370.1105771146,32704.88942288541,84500.0
2020-04-13,85800,89400,82000,84500,2053518,-0.011695906432748537,-0.011695906432748537,2160.300785572581,61.68080710729045,83900.0,64827.5,56355.833333333336,96877.43720742676,32777.56279257324,84300.0
