Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2024-01-02,212500,214000,199000,199400,290140,-0.05721040189125293,-0.05721040189125293,2564.1637921858865,61.20410212875814,204340.0,182915.0,167645.0,212886.60489530046,152943.39510469954,189500.0
2024-01-03,197300,197400,188500,189500,247614,-0.04964894684052157,-0.04964894684052157,1171.3400500034622,53.94214177394091,201740.0,183525.0,167935.0,213511.2551846675,153538.7448153325,191900.0
2024-01-04,187500,197300,187100,191900,214081,0.01266490765171513,0.01266490765171513,316.90091193194894,55.325991695803744,200760.0,184440.0,168115.0,214275.44201113834,154604.55798886166,184700.0
2024-01-05,189500,191000,183600,184700,208631,-0.037519541427826986,-0.037519541427826986,-768.6699289448006,50.43062176735111,195400.0,185065.0,168310.0,214367.57838484523,155762.42161515477,189000.0
2024-01-08,186200,191900,186100,189000,183972,0.023280996210070404,0.023280996210070404,-1206.5471379180326,53.09964922660539,190900.0,185760.0,168548.33333333334,214741.81498802308,156778.18501197692,187500.0
2024-01-09,190900,192100,185100,187500,123782,-0.007936507936507908,-0.007936507936507908,-1582.900764628519,52.04685962273339,188520.0,186570.0,168671.66666666666,214785.3929619986,158354.6070380014,190700.0
2024-01-10,187600,192400,185700,190700,122290,0.017066666666666563,0.017066666666666563,-1597.4127519060412,54.135989160814894,188760.0,187380.0,168905.0,215088.45358369895,159671.54641630105,192000.0
2024-01-11,191200,192900,188500,192000,100366,0.0068169900367067715,0.0068169900367067715,-1501.981401740003,54.99381393485158,188780.0,188400.0,169246.66666666666,215196.7162167307,161603.2837832693,185200.0
2024-01-12,191000,191900,182200,185200,141617,-0.03541666666666665,-0.03541666666666665,-1856.1421241781773,49.751937326443084,188880.0,189250.0,169478.33333333334,214461.38631650386,164038.61368349614,184000.0
2024-01-15,183700,186200,181900,184000,81481,-0.006479481641468721,-0.006479481641468721,-2111.923316646925,48.86673350526622,187880.0,190235.0,169705.0,212878.8755516806,167591.1244483194,180200.0
2024-01-16,184100,185700,179600,180200,81085,-0.020652173913043526,-0.020652173913043526,-2453.74607838055,46.07129018119816,186420.0,190695.0,169986.66666666666,212096.91346585623,169293.08653414377,174800.0
2024-01-17,180000,180900,173400,174800,149212,-0.029966703662597127,-0.029966703662597127,-2928.0947932756444,42.36264490507643,183240.0,190835.0,170268.33333333334,211777.61444996775,169892.38555003225,174700.0
2024-01-18,174000,176900,170500,174700,139929,-0.0005720823798627261,-0.0005720823798627261,-3115.73472613893,42.294746078781436,179780.0,190795.0,170528.33333333334,211857.3336788685,169732.6663211315,177000.0
2024-01-19,177200,182000,175400,177000,114303,0.013165426445334916,0.013165426445334916,-2953.570970704215,44.49817469426327,178140.0,190820.0,170771.66666666666,211815.4852289724,169824.5147710276,182600.0
2024-01-22,178500,184100,173500,182600,122393,0.031638418079096065,0.031638418079096065,-2363.3278560042063,49.54937989658609,177860.0,190425.0,171048.33333333334,211724.7535197006,169125.2464802994,176200.0
2024-01-23,180800,181400,176100,176200,99798,-0.035049288061336226,-0.035049288061336226,-2296.1398751711686,44.55831584151425,177060.0,189085.0,171345.0,210423.72301708793,167746.27698291207,173500.0
2024-01-24,175700,177100,172000,173500,100750,-0.015323496027241812,-0.015323496027241812,-2318.956100600039,42.608388184438255,176800.0,187635.0,171671.66666666666,209071.34996915283,166198.65003084717,175000.0
2024-01-25,172500,177800,171200,175000,127124,0.008645533141210304,0.008645533141210304,-2123.66959653955,44.07267436077295,176860.0,186545.0,172255.0,208222.03623653378,164867.96376346622,178200.0
2024-01-26,176800,181000,175600,178200,133566,0.01828571428571424,0.01828571428571424,-1688.5874671509505,47.169425301626475,177100.0,184880.0,173058.33333333334,203539.64629889856,166220.35370110144,156100.0
2024-01-29,178000,178000,155900,156100,535596,-0.12401795735129073,-0.12401795735129073,-2736.7520717647494,33.41032795972555,171800.0,182110.0,173485.0,200587.65136590682,163632.34863409318,148800.0
2024-01-30,157100,157400,148200,148800,404588,-0.046764894298526594,-0.046764894298526594,-3708.901437342138,30.26946247643326,166320.0,179580.0,173743.33333333334,201441.89378805045,157718.10621194955,148000.0
2024-01-31,148600,152700,147800,148000,193869,-0.005376344086021501,-0.005376344086021501,-4159.176096183039,29.937313261592863,161220.0,177505.0,173875.0,202813.05998096254,152196.94001903746,151300.0
2024-02-01,150000,155400,149100,151300,228320,0.022297297297297236,0.022297297297297236,-3987.61363228424,33.193832982532925,156480.0,175475.0,173953.33333333334,202306.16657918546,148643.83342081454,155300.0
2024-02-02,151900,156400,150900,155300,159436,0.026437541308658385,0.026437541308658385,-3381.528351938623,37.01532164750297,151900.0,174005.0,174205.0,201855.56372858543,146154.43627141457,154600.0
2024-02-05,157000,161900,154500,154600,217360,-0.004507405022536992,-0.004507405022536992,-2827.1004130702304,36.620534116781315,151600.0,172285.0,174505.0,200465.86407475822,144104.13592524178,150300.0
2024-02-06,153800,155300,149800,150300,125935,-0.02781371280724454,-0.02781371280724454,-2557.4143798135647,34.20700755869085,151900.0,170425.0,174680.0,199246.719240878,141603.280759122,149700.0
2024-02-07,150300,153500,147900,149700,167325,-0.003992015968063867,-0.003992015968063867,-2238.3822233165865,33.87155583201003,152240.0,168375.0,174910.0,196968.20723528578,139781.79276471422,154300.0
2024-02-08,151100,155100,150700,154300,129140,0.030728122912491607,0.030728122912491607,-1568.191487868131,38.82471426066529,152840.0,166490.0,175236.66666666666,193533.51308539626,139446.48691460374,156800.0
2024-02-13,154700,159600,154700,156800,141207,0.01620220349967605,0.01620220349967605,-843.476732398607,41.39394587007346,153140.0,165070.0,175456.66666666666,190993.97346087205,139146.02653912795,158700.0
2024-02-14,154000,158900,152600,158700,120011,0.01211734693877542,0.01211734693877542,-158.94626670148318,43.34150460018553,153960.0,163805.0,175591.66666666666,188342.68326472567,139267.31673527433,156700.0
2024-02-15,161500,161500,156500,156700,96320,-0.012602394454946486,-0.012602394454946486,215.98662832502032,41.76805299274936,155240.0,162630.0,175541.66666666666,186144.08939338283,139115.91060661717,156800.0
2024-02-16,157500,158700,155200,156800,81074,0.0006381620931716903,0.0006381620931716903,510.73997885387325,41.88166317902591,156660.0,161730.0,175433.33333333334,184683.17842914132,138776.82157085868,155300.0
2024-02-19,156000,157200,153800,155300,98144,-0.00956632653061229,-0.00956632653061229,636.5145447037876,40.60204668502171,156860.0,160760.0,175295.0,183069.40608801585,138450.59391198415,156000.0
2024-02-20,155200,161000,154500,156000,128353,0.004507405022537103,0.004507405022537103,788.7312864033693,41.50030444939837,156700.0,159710.0,175156.66666666666,180807.00452670944,138612.99547329056,152800.0
2024-02-21,155300,155900,152800,152800,90884,-0.02051282051282055,-0.02051282051282055,698.8554514948019,38.624687100649105,155520.0,158220.0,174845.0,176685.1672074747,139754.8327925253,154800.0
2024-02-22,153300,155300,152100,154800,82587,0.01308900523560208,0.01308900523560208,792.2111383734955,41.359587590444065,155140.0,157150.0,174600.0,173704.93884011652,140595.06115988348,152600.0
2024-02-23,155400,155800,152600,152600,83815,-0.014211886304909549,-0.014211886304909549,725.6791364884175,39.28581583680251,154300.0,156105.0,174265.0,170949.99578982758,141260.00421017242,150600.0
2024-02-26,152100,153700,150500,150600,88372,-0.013106159895150737,-0.013106159895150737,573.5299095249311,37.44758289655833,153360.0,154885.0,173745.0,167094.7133463484,142675.2866536516,149100.0
2024-02-27,150100,151100,149000,149100,96138,-0.009960159362549792,-0.009960159362549792,406.29501968753357,36.08386734825962,151980.0,153430.0,173163.33333333334,159641.6342455105,147218.3657544895,150100.0
2024-02-28,148500,153000,148300,150100,105352,0.0067069081153587895,0.0067069081153587895,396.98958889569803,37.71239471044179,151440.0,153130.0,172478.33333333334,159376.31091124984,146883.68908875016,149300.0
2024-02-29,150000,151400,148000,149300,67184,-0.00532978014656893,-0.00532978014656893,371.3824750425538,36.902342199346265,150340.0,153155.0,171883.33333333334,159335.44496779953,146974.55503220047,147300.0
2024-03-04,150100,151600,147200,147300,122173,-0.01339584728734089,-0.01339584728734089,259.4724969198096,34.884943318051214,149280.0,153120.0,171383.33333333334,159423.52282457982,146816.47717542018,146400.0
2024-03-05,146200,150900,145800,146400,107637,-0.006109979633401208,-0.006109979633401208,168.9441013059659,33.98458170644598,148440.0,152875.0,170930.0,159793.34517785854,145956.65482214146,145800.0
2024-03-06,146400,148000,145100,145800,79007,-0.004098360655737654,-0.004098360655737654,115.3231568322717,33.366308350239194,147780.0,152400.0,170490.0,159869.67201421846,144930.32798578154,146600.0
2024-03-07,146100,150500,145000,146600,132144,0.005486968449931462,0.005486968449931462,176.72787077363319,35.06266240554527,147080.0,152000.0,170015.0,159804.87027438628,144195.12972561372,146300.0
2024-03-08,148000,149200,145900,146300,74896,-0.0020463847203274765,-0.0020463847203274765,236.40727365568182,34.70584892840881,146480.0,151800.0,169598.33333333334,159965.53733688107,143634.46266311893,146300.0
2024-03-11,146100,149000,145600,146300,71261,0.0,0.0,310.48327122431783,34.7058489284088,146280.0,151630.0,169128.33333333334,160099.26206938943,143160.73793061057,146300.0
2024-03-12,146100,148700,146000,146300,72573,0.0,0.0,388.99193505736457,34.7058489284088,146260.0,151230.0,168706.66666666666,159910.11520660867,142549.88479339133,150600.0
2024-03-13,147000,150800,146600,150600,139334,0.029391660970608413,0.029391660970608413,739.6927174533512,44.76795191861198,147220.0,150920.0,168413.33333333334,159216.6499263256,142623.3500736744,149900.0
2024-03-14,150100,150300,148500,149900,83613,-0.004648074369189903,-0.004648074369189903,921.8397035923808,43.590295616309426,147880.0,150480.0,168173.33333333334,157974.15772452106,142985.84227547894,144500.0
2024-03-15,149900,149900,144500,144500,228097,-0.03602401601067373,-0.03602401601067373,686.7479105736566,35.77254849241939,147520.0,149870.0,167731.66666666666,157224.48162687206,142515.51837312794,142600.0
2024-03-18,145200,145200,141700,142600,107191,-0.01314878892733562,-0.01314878892733562,424.25942025691074,33.496233768835324,146780.0,149160.0,167241.66666666666,156442.6918100383,141877.3081899617,141800.0
2024-03-19,142900,143700,141500,141800,65368,-0.005610098176718092,-0.005610098176718092,227.5917484017973,32.5568440661428,145880.0,148485.0,166680.0,155868.02783416118,141101.97216583882,145900.0
2024-03-20,142800,149500,142800,145900,150118,0.028913963328631942,0.028913963328631942,394.67675980875356,41.59677655818804,144940.0,147980.0,166170.0,154577.75719468357,141382.24280531643,148800.0
2024-03-21,148500,150400,145100,148800,110263,0.01987662782727906,0.01987662782727906,703.5152888792973,47.0073326905063,144720.0,147780.0,165475.0,154013.65061581082,141546.34938418918,147300.0
