Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2024-01-02,10250,10280,10090,10160,595122,-0.01645692158760892,-0.01645692158760892,-23.18910596439084,42.10516341637532,10246.0,10345.0,10261.833333333334,10614.10964308252,10075.89035691748,10140.0
2024-01-03,10130,10190,10110,10140,422606,-0.0019685039370078705,-0.0019685039370078705,-25.9368450767037,41.1859688375997,10216.0,10339.5,10262.666666666666,10620.389658050988,10058.610341949012,10090.0
2024-01-04,10110,10160,10060,10090,558046,-0.004930966469428033,-0.004930966469428033,-29.425502865967005,38.89962171675537,10186.0,10329.0,10260.666666666666,10629.991694237566,10028.008305762434,10060.0
2024-01-05,10100,10130,9980,10060,486894,-0.0029732408325073845,-0.0029732408325073845,-31.85225297236228,37.552617282319424,10156.0,10309.5,10252.5,10626.704981045381,9992.295018954619,10030.0
2024-01-08,10070,10090,9950,10030,432992,-0.0029821073558647937,-0.0029821073558647937,-33.41360793754646,36.202573734557305,10096.0,10285.0,10243.833333333334,10609.006172780704,9960.993827219296,10090.0
2024-01-09,10120,10130,10000,10090,457149,0.005982053838484491,0.005982053838484491,-28.53095507145683,40.78753221180191,10082.0,10263.5,10235.333333333334,10579.238816112305,9947.761183887695,9980.0
2024-01-10,10040,10050,9980,9980,266896,-0.010901883052527261,-0.010901883052527261,-30.649254700522157,35.71925093430583,10050.0,10238.0,10225.833333333334,10558.786533383181,9917.213466616819,9980.0
2024-01-11,10030,10090,9980,9980,364717,0.0,0.0,-29.95477208456893,35.71925093430583,10028.0,10211.0,10216.666666666666,10523.083322207385,9898.916677792615,9910.0
2024-01-12,10000,10010,9890,9910,382634,-0.007014028056112176,-0.007014028056112176,-31.93266145882042,32.71868077746271,9998.0,10177.0,10206.5,10463.642634651578,9890.357365348422,9910.0
2024-01-15,9920,9980,9910,9910,180496,0.0,0.0,-30.941840132765037,32.71868077746271,9974.0,10145.5,10198.0,10402.597257861686,9888.402742138314,9840.0
2024-01-16,9860,9890,9810,9840,338182,-0.007063572149344055,-0.007063572149344055,-32.538942699087244,29.814044818785646,9924.0,10123.5,10191.166666666666,10404.944488309857,9842.055511690143,9760.0
2024-01-17,9890,9890,9740,9760,378009,-0.008130081300813052,-0.008130081300813052,-36.23839687493847,26.87734887154052,9880.0,10098.5,10185.0,10413.795099866771,9783.204900133229,9730.0
2024-01-18,9790,9820,9730,9730,310838,-0.0030737704918032405,-0.0030737704918032405,-37.78815498173084,25.84909722178952,9830.0,10075.5,10183.166666666666,10425.898344744945,9725.101655255055,9800.0
2024-01-19,9760,9840,9740,9800,263472,0.007194244604316502,0.007194244604316502,-31.441391127427508,32.35230265468269,9808.0,10054.5,10181.5,10417.844189440255,9691.155810559745,9840.0
2024-01-22,9800,9870,9800,9840,273217,0.004081632653061273,0.004081632653061273,-22.320816761949175,35.81633680897066,9794.0,10033.0,10178.666666666666,10393.671595776541,9672.328404223459,9940.0
2024-01-23,9880,9950,9850,9940,285098,0.010162601626016343,0.010162601626016343,-8.05985379948146,43.59289852329292,9814.0,10016.5,10179.166666666666,10362.174702574539,9670.825297425461,9990.0
2024-01-24,9940,10010,9900,9990,350097,0.005030181086519203,0.005030181086519203,5.5029087523533775,47.04754723088265,9860.0,10001.5,10181.666666666666,10323.635064840813,9679.364935159187,10110.0
2024-01-25,9990,10110,9960,10110,365647,0.012012012012011963,0.012012012012011963,22.371764613890903,54.284122642639154,9936.0,9995.0,10187.833333333334,10302.538615461532,9687.461384538468,10170.0
2024-01-26,10040,10200,10030,10170,355574,0.005934718100890191,0.005934718100890191,36.5484728075962,57.41763543620811,10010.0,9993.0,10196.0,10295.39708993308,9690.60291006692,10430.0
2024-01-29,10250,10460,10210,10430,850178,0.02556538839724687,0.02556538839724687,60.97485993026565,67.73741383566372,10128.0,9998.0,10207.5,10324.839410108383,9671.160589891617,10440.0
2024-01-30,10490,10550,10410,10440,578134,0.0009587727708533222,0.0009587727708533222,74.45168566652718,68.05805062438071,10228.0,10012.0,10218.333333333334,10385.983956875152,9638.016043124848,10580.0
2024-01-31,10400,10590,10390,10580,656139,0.013409961685823646,0.013409961685823646,88.48566682418634,72.22051960459511,10346.0,10034.0,10230.166666666666,10480.291384635639,9587.708615364361,11130.0
2024-02-01,10480,11150,10480,11130,2893614,0.051984877126654006,0.051984877126654006,128.0967431554832,82.09308035714174,10550.0,10086.0,10244.5,10740.198746559481,9431.801253440519,11290.0
2024-02-02,11180,11370,11000,11290,1979945,0.014375561545372895,0.014375561545372895,156.48172187760468,83.88707840871328,10774.0,10147.5,10262.833333333334,10985.733261091444,9309.266738908556,11080.0
2024-02-05,11300,11300,10910,11080,862534,-0.018600531443755508,-0.018600531443755508,152.37322350568897,73.48156580097677,10904.0,10200.0,10278.666666666666,11128.848749797295,9271.151250202705,11050.0
2024-02-06,11050,11200,10980,11050,748541,-0.0027075812274368616,-0.0027075812274368616,139.25370755699282,72.10554898395064,11026.0,10248.0,10291.666666666666,11245.809601076277,9250.190398923723,11220.0
2024-02-07,11050,11290,10910,11220,715363,0.01538461538461533,0.01538461538461533,133.62015246447572,74.96631579719973,11154.0,10310.0,10309.333333333334,11384.63482169526,9235.36517830474,11300.0
2024-02-08,11310,11400,11250,11300,821117,0.007130124777183555,0.007130124777183555,126.92583577677505,76.20314560361336,11188.0,10376.0,10327.0,11521.275512704258,9230.724487295742,11440.0
2024-02-13,11400,11540,11320,11440,1009693,0.012389380530973382,0.012389380530973382,123.4573515890495,78.230186940353,11218.0,10452.5,10346.166666666666,11665.444763787702,9239.555236212298,11290.0
2024-02-14,11350,11400,11280,11290,509239,-0.013111888111888126,-0.013111888111888126,103.40407360582009,71.22935033142085,11260.0,10521.5,10360.5,11759.890487689567,9283.109512310433,11330.0
2024-02-15,11410,11450,11270,11330,401746,0.003542958370239102,0.003542958370239102,85.89667146588368,71.95022274514821,11316.0,10596.0,10375.5,11840.691126344205,9351.308873655795,11580.0
2024-02-16,11400,11580,11300,11580,1044176,0.02206531332744932,0.02206531332744932,84.10867544482318,75.99803400666238,11388.0,10687.0,10395.166666666666,11939.998004786921,9434.001995213079,11770.0
2024-02-19,11590,11820,11550,11770,957445,0.016407599309153698,0.016407599309153698,88.2462678356859,78.53346117340492,11482.0,10789.0,10419.0,12045.899359535204,9532.100640464796,11500.0
2024-02-20,11900,11900,11500,11500,779830,-0.022939677145284665,-0.022939677145284665,66.32374836433439,67.60458899177493,11494.0,10874.0,10437.666666666666,12080.8040437453,9667.1959562547,11510.0
2024-02-21,11500,11610,11350,11510,644742,0.0008695652173913437,0.0008695652173913437,46.93425097245279,67.78341104766264,11538.0,10957.5,10456.333333333334,12095.724494552815,9819.275505447185,11400.0
2024-02-22,11590,11590,11350,11400,412495,-0.009556907037358786,-0.009556907037358786,22.383739930192576,63.62306419773128,11552.0,11030.5,10472.666666666666,12082.326506606489,9978.673493393511,11570.0
2024-02-23,11470,11730,11440,11570,734899,0.014912280701754321,0.014912280701754321,13.703312671832578,66.99463003270449,11550.0,11109.5,10493.166666666666,12070.259595320293,10148.740404679707,11420.0
2024-02-26,11600,11600,11290,11420,547381,-0.012964563526361328,-0.012964563526361328,-5.027896227908684,61.57193301247318,11480.0,11175.0,10509.666666666666,12026.692432747886,10323.307567252114,11440.0
2024-02-27,11430,11540,11400,11440,461411,0.0017513134851139256,0.0017513134851139256,-18.216356980546493,62.01343110831493,11468.0,11238.5,10526.333333333334,11960.504847629165,10516.495152370835,11550.0
2024-02-28,11470,11590,11430,11550,315196,0.009615384615384581,0.009615384615384581,-21.45426116396368,64.43371428263328,11476.0,11294.5,10547.5,11924.9117701947,10664.0882298053,11740.0
2024-02-29,11500,11740,11450,11740,720474,0.016450216450216493,0.016450216450216493,-13.131301270078382,68.20229241688948,11544.0,11359.5,10572.166666666666,11883.121046177497,10835.878953822503,11950.0
