Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,131700,132000,127900,128300,267529,-0.01685823754789273,-0.01685823754789273,-761.3456778881664,62.737035675626366,131080.0,122310.0,101325.0,153981.6213667694,90638.3786332306,0
2024-01-03,128400,131400,126500,130500,347854,0.017147310989867437,0.017147310989867437,-1037.4764993901026,64.87130158217195,130040.0,123830.0,102085.0,153973.13188771208,93686.86811228794,1
2024-01-04,130600,135500,126000,126100,564684,-0.03371647509578546,-0.03371647509578546,-1524.6118195891831,57.74739518588103,129140.0,125130.0,102750.0,153241.4994263914,97018.50057360859,0
2024-01-05,126800,129600,120500,123200,508621,-0.022997620935765295,-0.022997620935765295,-2019.262838836812,53.57168004857626,127720.0,126390.0,103275.0,151637.6454347728,101142.35456522719,0
2024-01-08,123300,124500,120400,120500,277309,-0.021915584415584388,-0.021915584415584388,-2475.3282876156463,49.95019962041978,125720.0,127550.0,103765.0,149223.80907916292,105876.19092083709,0
2024-01-09,120600,121500,115000,119800,266216,-0.0058091286307053736,-0.0058091286307053736,-2750.0242424037324,49.02489128471434,124020.0,128625.0,104295.0,146118.756028938,111131.243971062,0
2024-01-10,119900,124400,118800,123800,327498,0.03338898163606019,0.03338898163606019,-2590.4304147416888,54.241277863681795,122680.0,129885.0,104866.66666666667,141022.1944402531,118747.80555974689,1
2024-01-11,123400,126400,121800,124500,332269,0.0056542810985460434,0.0056542810985460434,-2371.6925128863695,55.10706736833056,122360.0,129705.0,105505.0,141065.89345078127,118344.10654921873,1
2024-01-12,124100,129500,124100,126100,423838,0.012851405622489986,0.012851405622489986,-2064.5093889835207,57.10487203314194,122940.0,129330.0,106216.66666666667,140646.9077048461,118013.09229515391,1
2024-01-15,128000,128900,120500,122600,269188,-0.027755749405233954,-0.027755749405233954,-2038.7582112862565,51.686318247363,123360.0,129085.0,106833.33333333333,140756.3795242895,117413.62047571047,0
2024-01-16,121400,122700,119900,120600,154156,-0.01631321370309946,-0.01631321370309946,-2090.379806426119,48.83473722464354,123520.0,128765.0,107423.33333333333,140985.5196288867,116544.48037111331,0
2024-01-17,120100,121300,116700,120500,235620,-0.0008291873963516272,-0.0008291873963516272,-2061.7731076299433,48.690091567961495,122860.0,128285.0,107965.0,141002.11838428833,115567.88161571165,0
2024-01-18,121200,124400,120000,121300,232632,0.00663900414937757,0.00663900414937757,-1922.2453834942235,49.96685092918898,122220.0,127445.0,108461.66666666667,139667.67973891177,115222.32026108821,1
2024-01-19,121500,122400,119500,121400,180426,0.0008244023083263663,0.0008244023083263663,-1760.79996204398,50.13388614090631,121280.0,126615.0,109021.66666666667,138089.54138517112,115140.4586148289,1
2024-01-22,122400,124900,119200,123900,183486,0.020593080724876422,0.020593080724876422,-1436.9045758525954,54.24633729014899,121540.0,125935.0,109596.66666666667,136307.7093856911,115562.29061430889,1
2024-01-23,123800,123900,120300,122600,177700,-0.01049233252623083,-0.01049233252623083,-1267.3999566189987,51.85166567198654,121940.0,125140.0,110173.33333333333,133841.35621613116,116438.64378386884,0
2024-01-24,123400,125800,118900,119000,223838,-0.029363784665579096,-0.029363784665579096,-1347.4421572125016,45.8195434038181,121640.0,124305.0,110726.66666666667,131931.39495436763,116678.60504563236,0
2024-01-25,117000,121300,115700,116300,234155,-0.02268907563025213,-0.02268907563025213,-1519.19253485806,41.88402638321852,120640.0,123590.0,111160.0,131400.73620089708,115779.26379910292,0
2024-01-26,116000,117000,112500,113000,262768,-0.02837489251934655,-0.02837489251934655,-1774.2484337996032,37.62982454984141,118960.0,122725.0,111591.66666666667,131177.1890655619,114272.81093443811,0
2024-01-29,113200,114300,107600,108500,325019,-0.03982300884955747,-0.03982300884955747,-2140.6854934179605,32.74549965275418,115880.0,121625.0,111926.66666666667,131370.7426602596,111879.2573397404,0
2024-01-30,108400,109100,104000,105600,312101,-0.026728110599078314,-0.026728110599078314,-2450.7375531992084,30.0394572333863,112480.0,120490.0,112211.66666666667,131991.1129896199,108988.88701038009,0
2024-01-31,104900,108300,104200,105100,247494,-0.004734848484848508,-0.004734848484848508,-2550.4470263517064,29.585496251424004,109700.0,119220.0,112451.66666666667,131595.5565531415,106844.4434468585,0
2024-02-01,104500,107900,104300,105400,183940,0.0028544243577546258,0.0028544243577546258,-2456.2237901440176,30.266429098259636,107520.0,118185.0,112696.66666666667,131511.70626974286,104858.29373025714,1
2024-02-02,105200,109400,104700,106900,208781,0.014231499051233332,0.014231499051233332,-2163.2071991069306,33.717816093553594,106300.0,117370.0,112965.0,131347.9969952781,103392.0030047219,1
2024-02-05,107300,111000,105700,108900,193152,0.018709073900841977,0.018709073900841977,-1724.111979731736,38.115812466409984,106380.0,116790.0,113271.66666666667,131157.58852417493,102422.41147582507,1
2024-02-06,108700,114200,107600,113000,330331,0.037649219467401185,0.037649219467401185,-1078.5289091267032,46.022734893346325,107860.0,116450.0,113598.33333333333,130838.39810402824,102061.60189597176,1
2024-02-07,119000,120700,112800,113400,1024257,0.003539823008849474,0.003539823008849474,-571.032955619331,46.73773845533582,109520.0,115930.0,113841.66666666667,129965.68309702109,101894.31690297891,1
2024-02-08,114200,118800,113300,113600,489058,0.0017636684303350414,0.0017636684303350414,-188.15314154649286,47.11494996570411,111160.0,115385.0,114118.33333333333,128883.48510018822,101886.51489981178,1
2024-02-13,114700,118600,114100,118200,442233,0.040492957746478764,0.040492957746478764,377.77505787877,55.007509811236574,113420.0,114990.0,114460.0,127647.31409107016,102332.68590892984,1
2024-02-14,117200,132700,115400,127000,1071555,0.0744500846023688,0.0744500846023688,1295.9407099017662,65.58797416134641,117040.0,115210.0,114973.33333333333,128524.63856062203,101895.36143937797,1
2024-02-15,129300,130500,125800,127200,422704,0.0015748031496063408,0.0015748031496063408,1834.9645927121137,65.784905326532,119880.0,115540.0,115535.0,129674.55340645763,101405.44659354237,1
2024-02-16,127200,129400,125800,127700,241548,0.0039308176100629755,0.0039308176100629755,2123.0562808083114,66.30407143190052,122740.0,115900.0,116103.33333333333,130863.95669600803,100936.04330399197,1
2024-02-19,129300,132700,128800,130800,433205,0.024275646045418986,0.024275646045418986,2399.8533394950264,69.40385692229033,126180.0,116375.0,116733.33333333333,132548.66686932815,100201.33313067185,1
2024-02-20,130500,134700,127200,128000,561579,-0.021406727828746197,-0.021406727828746197,2273.0670163540676,63.70354243518569,128140.0,116705.0,117330.0,133531.46427506395,99878.53572493605,0
2024-02-21,130500,139300,128500,137600,674347,0.07499999999999996,0.07499999999999996,2686.127048570992,72.14945817438024,130260.0,117390.0,118060.0,136316.69014909907,98463.30985090094,1
2024-02-22,135600,148600,134900,138000,1152264,0.0029069767441860517,0.0029069767441860517,2822.65429431238,72.43725002405901,132420.0,118160.0,118801.66666666667,139025.60806686457,97294.39193313544,1
2024-02-23,139600,139700,131200,133400,408870,-0.033333333333333326,-0.033333333333333326,2453.1774438095754,64.218806157714,133560.0,118880.0,119500.0,140780.00913241826,96979.99086758173,0
2024-02-26,132800,136300,131300,135000,292732,0.011994002998500841,0.011994002998500841,2175.9938437924843,65.67746532372755,134400.0,119815.0,120218.33333333333,142766.10237003886,96863.89762996114,1
2024-02-27,134700,140900,134700,137100,558197,0.015555555555555545,0.015555555555555545,1998.1375892800497,67.54742465335181,136220.0,121020.0,120920.0,144924.19210096847,97115.80789903153,1
2024-02-28,137300,142400,137300,140100,420752,0.02188183807439814,0.02188183807439814,1944.743047082814,70.05718407037097,136720.0,122600.0,121665.0,147153.696259423,98046.30374057699,1
2024-02-29,140400,147900,137800,143200,615031,0.022127052105638922,0.022127052105638922,1974.1070286693302,72.42990323653764,137760.0,124480.0,122426.66666666667,149295.68858605388,99664.31141394612,1
2024-03-04,144700,148200,139900,144700,301058,0.010474860335195624,0.010474860335195624,1947.1954898806653,73.52318882811807,140020.0,126460.0,123170.0,151093.09968315,101826.90031685,1
2024-03-05,146000,157800,145800,152300,866910,0.0525224602626122,0.0525224602626122,2271.271989380457,78.23297710954354,143480.0,128805.0,124040.0,153897.42714445945,103712.57285554057,1
2024-03-06,154100,169500,154100,168500,1236603,0.10636900853578468,0.10636900853578468,3342.0075864334676,84.54419776443028,149760.0,131885.0,125215.0,160360.5526724242,103409.44732757579,1
2024-03-07,170000,179500,167500,177600,838886,0.054005934718101,0.054005934718101,4363.882386924584,86.85058318277085,157260.0,135320.0,126553.33333333333,168121.98774464751,102518.01225535249,1
2024-03-08,178700,186500,176300,183300,504913,0.03209459459459452,0.03209459459459452,5074.637593449326,88.053156724945,165280.0,138835.0,127970.0,176081.86698233834,101588.13301766166,1
2024-03-11,184400,191300,175900,177700,643926,-0.030551009274413565,-0.030551009274413565,4820.424376762099,80.28468295008953,171880.0,142050.0,129288.33333333333,181020.42468334167,103079.57531665833,0
2024-03-12,178700,182000,168000,172500,527832,-0.02926280247608326,-0.02926280247608326,3989.2542671375013,73.77582424285166,175920.0,144995.0,130028.33333333333,183822.33444366232,106167.66555633768,0
2024-03-13,175000,183000,170800,172200,616839,-0.0017391304347825765,-0.0017391304347825765,3143.6443004108296,73.40607546452313,176660.0,147695.0,130671.66666666667,186202.53043237134,109187.46956762866,0
2024-03-14,172400,176600,164500,165400,608756,-0.03948896631823462,-0.03948896631823462,1911.3321666898082,65.40454689585144,174220.0,149615.0,131303.33333333334,187629.74845372525,111600.25154627477,0
2024-03-15,167400,169400,160800,162000,303589,-0.02055622732769047,-0.02055622732769047,713.8661890609983,61.77850327452047,169960.0,151355.0,131886.66666666666,188276.56415971572,114433.43584028428,0
