Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,5700,5760,5660,5700,267891,-0.008695652173912993,-0.008695652173912993,-26.32334265968045,41.39845209024557,5722.0,5856.5,5750.333333333333,6137.731221595327,5575.268778404673
2024-01-03,5670,5700,5570,5600,330506,-0.01754385964912286,-0.01754385964912286,-29.230524708535576,35.9995283446374,5698.0,5838.0,5756.166666666667,6135.159889621732,5540.840110378268
2024-01-04,5560,5640,5550,5570,290043,-0.005357142857142838,-0.005357142857142838,-31.198981043275516,34.54406114569795,5662.0,5817.5,5760.833333333333,6128.875978521144,5506.124021478856
2024-01-05,5570,5580,5490,5490,282261,-0.014362657091561926,-0.014362657091561926,-35.59564695494295,30.950487710239585,5622.0,5793.0,5760.666666666667,6125.752160023041,5460.247839976959
2024-01-08,5500,5540,5430,5490,230938,0.0,0.0,-36.097244309871996,30.950487710239585,5570.0,5767.0,5759.833333333333,6109.0,5425.0
2024-01-09,5550,5550,5470,5500,202027,0.0018214936247722413,0.0018214936247722413,-33.41074403157931,31.976357856317918,5530.0,5741.0,5759.833333333333,6081.170545462125,5400.829454537875
2024-01-10,5470,5530,5450,5490,187235,-0.0018181818181818299,-0.0018181818181818299,-30.06704013672355,31.472797186400342,5508.0,5715.5,5760.333333333333,6050.610429560167,5380.389570439833
2024-01-11,5530,5540,5450,5460,233587,-0.005464480874316946,-0.005464480874316946,-27.694520640478174,29.949053741568534,5486.0,5688.0,5760.666666666667,6012.012345443812,5363.987654556188
2024-01-12,5500,5540,5460,5500,190163,0.0073260073260073,0.0073260073260073,-21.52473422090638,34.50234742058795,5488.0,5662.5,5761.5,5960.350633707568,5364.649366292432
2024-01-15,5530,5600,5490,5590,218995,0.016363636363636358,0.016363636363636358,-10.058382444103728,43.41452486066115,5508.0,5643.0,5760.5,5903.929109146526,5382.070890853474
2024-01-16,5570,5590,5480,5520,204032,-0.012522361359570633,-0.012522361359570633,-6.061232342934105,38.97272417163103,5512.0,5625.0,5758.166666666667,5867.033055593652,5382.966944406348
2024-01-17,5520,5540,5450,5450,189026,-0.0126811594202898,-0.0126811594202898,-6.941355588278384,35.1048220625387,5504.0,5602.5,5756.833333333333,5820.571089326393,5384.428910673607
2024-01-18,5450,5510,5360,5380,355422,-0.012844036697247652,-0.012844036697247652,-10.816501010397033,31.71509020674712,5488.0,5584.0,5753.666666666667,5811.455490151369,5356.544509848631
2024-01-19,5430,5480,5390,5440,218083,0.011152416356877248,0.011152416356877248,-8.044777493243146,37.303399749004974,5476.0,5577.0,5751.833333333333,5812.974574901619,5341.025425098381
2024-01-22,5490,5490,5420,5460,176280,0.003676470588235281,0.003676470588235281,-3.786594500536367,39.09272108375543,5450.0,5564.5,5750.5,5797.435613421391,5331.564386578609
2024-01-23,5490,5650,5450,5640,391703,0.03296703296703307,0.03296703296703307,11.399508130792398,52.28991817768029,5474.0,5559.5,5753.833333333333,5781.173182861617,5337.826817138383
2024-01-24,5610,5650,5570,5600,218485,-0.007092198581560294,-0.007092198581560294,18.573070664045588,49.7121310219889,5504.0,5553.5,5754.666666666667,5763.668979633056,5343.331020366944
2024-01-25,5650,5710,5600,5690,303500,0.016071428571428514,0.016071428571428514,28.60244280208603,55.07816902469252,5566.0,5550.5,5756.833333333333,5750.847198632773,5350.152801367227
2024-01-26,5650,5760,5630,5710,277293,0.0035149384885764245,0.0035149384885764245,35.363597593892734,56.1967539863324,5620.0,5551.5,5759.166666666667,5754.800270535973,5348.199729464027
2024-01-29,5720,5880,5700,5830,641912,0.021015761821365997,0.021015761821365997,46.023031752035195,62.267752603561924,5694.0,5555.5,5764.0,5776.631182785241,5334.368817214759
2024-01-30,5870,5970,5860,5960,762059,0.022298456260720467,0.022298456260720467,59.10032758163779,67.5197030511564,5758.0,5568.5,5770.333333333333,5845.575801902656,5291.424198097344
2024-01-31,5960,6040,5960,6030,879153,0.011744966442952975,0.011744966442952975,69.04379737816663,69.94551229795579,5844.0,5590.0,5777.5,5932.5200724045235,5247.4799275954765
2024-02-01,6030,6320,6030,6320,2613184,0.04809286898839127,0.04809286898839127,90.3843138714629,77.45709143264308,5970.0,5627.5,5787.666666666667,6094.6134765771585,5160.3865234228415
2024-02-02,6260,6410,6200,6410,1735800,0.014240506329114,0.014240506329114,104.78003640098399,79.19497011594028,6110.0,5673.5,5799.166666666667,6246.5715487615835,5100.4284512384165
2024-02-05,6930,6960,6930,6940,10201846,0.08268330733229323,0.08268330733229323,141.90920623621892,86.02665612017049,6332.0,5746.0,5819.166666666667,6534.324806155432,4957.675193844568
2024-02-06,6940,6950,6920,6920,4395807,-0.0028818443804035088,-0.0028818443804035088,155.91773310079745,84.89380107778099,6524.0,5817.0,5838.166666666667,6746.9698919857565,4887.0301080142435
2024-02-07,6930,6940,6930,6930,2950649,0.0014450867052022698,0.0014450867052022698,156.25950060830127,85.00016211236016,6704.0,5889.0,5857.5,6923.638100980241,4854.361899019759
2024-02-08,6940,6960,6930,6940,3349899,0.0014430014430013571,0.0014430014430013571,147.66114509249616,85.1130423693521,6828.0,5963.0,5877.166666666667,7073.263031898297,4852.736968101703
2024-02-13,6940,6950,6940,6940,2545884,0.0,0.0,132.93530741227335,85.1130423693521,6934.0,6035.0,5896.166666666667,7201.181804008277,4868.818195991723
2024-02-14,6940,6950,6940,6940,3057501,0.0,0.0,114.83784890929863,85.1130423693521,6934.0,6102.5,5915.0,7313.266286283195,4891.733713716805
2024-02-15,6940,6950,6940,6940,3326956,0.0,0.0,95.31408378615833,85.1130423693521,6938.0,6173.5,5933.333333333333,7405.657051678072,4941.342948321928
2024-02-16,6940,6950,6940,6950,2221375,0.0014409221902016434,0.0014409221902016434,76.34074189606758,85.26221949732198,6942.0,6248.5,5950.166666666667,7477.975904603258,5019.024095396742
2024-02-19,6950,6960,6940,6950,2186366,0.0,0.0,57.894835927719896,85.26221949732198,6944.0,6327.0,5966.666666666667,7524.716160031248,5129.283839968752
2024-02-20,6950,6960,6950,6950,2231072,0.0,0.0,40.6145274062639,85.26221949732198,6946.0,6402.5,5983.166666666667,7556.620877551394,5248.379122448606
2024-02-21,6950,6960,6950,6950,1531140,0.0,0.0,24.878086386761538,85.26221949732198,6948.0,6477.0,5997.666666666667,7568.8259934623275,5385.1740065376725
2024-02-22,6950,6960,6950,6950,1197988,0.0,0.0,10.877539658083776,85.26221949732198,6950.0,6542.5,6012.833333333333,7581.5163617576,5503.4836382424
2024-02-23,6950,6960,6950,6950,1861663,0.0,0.0,-1.3258424778231301,85.26221949732198,6950.0,6610.0,6027.666666666667,7567.538510974885,5652.461489025115
2024-02-26,6960,6960,6950,6950,1579112,0.0,0.0,-11.760053343950744,85.26221949732198,6950.0,6673.0,6042.5,7541.817587298968,5804.182412701032
2024-02-27,6950,6980,6950,6970,2414914,0.0028776978417266452,0.0028776978417266452,-19.235246540667788,85.74225131444234,6954.0,6736.0,6057.5,7491.73540343165,5980.26459656835
2024-02-28,6960,6970,6960,6960,1594800,-0.0014347202295552641,-0.0014347202295552641,-26.334611705126974,84.26437987389406,6956.0,6792.5,6073.666666666667,7428.294778210705,6156.705221789295
2024-02-29,6960,6980,6960,6980,4215535,0.002873563218390718,0.002873563218390718,-30.851702865350035,84.82764073016149,6962.0,6843.5,6089.5,7355.604481526962,6331.395518473038
2024-03-04,6970,6980,6970,6970,1705893,-0.0014326647564469885,-0.0014326647564469885,-35.35769396696088,83.22355831951027,6966.0,6890.5,6106.166666666667,7243.003900687637,6537.996099312363
2024-03-05,6940,6940,6780,6850,1927981,-0.017216642754662836,-0.017216642754662836,-46.559871950800755,66.87985286962059,6946.0,6917.0,6120.666666666667,7155.084018783285,6678.915981216715
2024-03-06,6870,6890,6840,6850,1012117,0.0,0.0,-53.60761444070164,66.87985286962059,6922.0,6939.0,6135.166666666667,7004.084560381087,6873.915439618913
2024-03-07,6850,6930,6850,6900,264161,0.007299270072992803,0.007299270072992803,-54.36891715272873,69.75050459309972,6910.0,6937.0,6150.0,7004.260686883195,6869.739313116805
2024-03-08,6940,6950,6910,6920,234005,0.0028985507246377384,0.0028985507246377384,-52.94070460904351,70.83926275249141,6898.0,6937.0,6165.0,7004.260686883195,6869.739313116805
2024-03-11,6980,6990,6980,6980,958213,0.00867052023121384,0.00867052023121384,-47.54164645527041,73.87695031292444,6900.0,6939.5,6181.333333333333,7009.206527671368,6869.793472328632
2024-03-12,7000,7010,7000,7000,5796792,0.002865329512893977,0.002865329512893977,-42.381116274847216,74.81859694220427,6930.0,6942.5,6197.833333333333,7017.031872376851,6867.968127623149
2024-03-13,7000,7010,7000,7000,1366422,0.0,0.0,-38.820372466039544,74.81859694220427,6960.0,6945.5,6214.333333333333,7024.106615497674,6866.893384502326
2024-03-14,7000,7010,7000,7010,1130578,0.0014285714285713347,0.0014285714285713347,-35.72234771667627,75.33418043115131,6982.0,6949.0,6231.5,7032.4026378479675,6865.5973621520325
2024-03-15,7000,7040,7000,7000,5620404,-0.0014265335235378318,-0.0014265335235378318,-34.271684706037945,73.70891690330095,6998.0,6952.0,6250.166666666667,7038.162636914148,6865.837363085852
2024-03-18,7000,7010,7000,7000,488971,0.0,0.0,-33.21331353058531,73.70891690330095,7002.0,6954.5,6268.5,7043.1510011223745,6865.8489988776255
2024-03-19,7000,7010,7000,7000,419207,0.0,0.0,-32.38060498346641,73.70891690330095,7002.0,6957.0,6289.333333333333,7047.796475702525,6866.203524297475
2024-03-20,7000,7010,7000,7000,327464,0.0,0.0,-31.659187409320168,73.70891690330095,7002.0,6959.5,6313.0,7052.122891339017,6866.877108660983
2024-03-21,7000,7010,7000,7010,328113,0.0014285714285713347,0.0014285714285713347,-30.335008432014774,74.45032252936782,7002.0,6962.5,6334.666666666667,7057.55261700763,6867.44738299237
2024-03-22,7000,7010,7000,7000,323641,-0.0014265335235378318,-0.0014265335235378318,-29.909659590724374,72.25597284969959,7002.0,6965.0,6355.666666666667,7061.228893789751,6868.771106210249
2024-03-25,7000,7010,7000,7000,304190,0.0,0.0,-29.36363075208604,72.25597284969959,7002.0,6967.5,6377.0,7064.633928161066,6870.366071838934
2024-03-26,7000,7010,7000,7000,381383,0.0,0.0,-28.70366010892434,72.25597284969959,7002.0,6970.0,6397.833333333333,7067.775252492638,6872.224747507362
2024-03-27,7000,7010,7000,7010,598712,0.0014285714285713347,0.0014285714285713347,-27.303271616054147,73.24103277180149,7004.0,6972.0,6419.833333333333,7071.3176721434775,6872.6823278565225
2024-03-28,7000,7010,7000,7000,298272,-0.0014265335235378318,-0.0014265335235378318,-26.72633783554845,70.54369079944394,7002.0,6974.0,6440.666666666667,7073.879927913466,6874.120072086534
2024-03-29,7000,7010,7000,7000,799055,0.0,0.0,-25.99668196961005,70.54369079944394,7002.0,6975.0,6462.333333333333,7075.498756211206,6874.501243788794
2024-04-01,7000,7010,7000,7000,320983,0.0,0.0,-25.150300928635218,70.54369079944394,7002.0,6976.5,6485.666666666667,7077.549492824058,6875.450507175942
2024-04-02,7000,7010,7000,7000,232659,0.0,0.0,-24.217804878837313,70.54369079944394,7002.0,6984.0,6509.5,7067.042157968102,6900.957842031898
