Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,11250,11340,10720,11070,703881,-0.028094820017559252,-0.028094820017559252,79.2223672169511,61.44123399862717,10982.0,10583.0,10580.333333333334,11142.28883414565,10023.71116585435
2024-01-03,10970,11350,10970,11280,615884,0.01897018970189701,0.01897018970189701,86.84498701978293,65.63069581460198,11110.0,10626.0,10607.166666666666,11256.282476354849,9995.717523645151
2024-01-04,11260,11310,11030,11200,493679,-0.007092198581560294,-0.007092198581560294,81.39643384827588,62.8300518411797,11188.0,10668.5,10624.666666666666,11332.345614582186,10004.654385417814
2024-01-05,11010,11170,10850,11000,469880,-0.017857142857142905,-0.017857142857142905,60.19710625204702,56.35547082800576,11188.0,10708.0,10635.833333333334,11351.726650061964,10064.273349938036
2024-01-08,10920,10990,10570,10640,489009,-0.032727272727272716,-0.032727272727272716,19.888774579835484,46.972414484179,11038.0,10723.5,10641.0,11344.604661067682,10102.395338932318
2024-01-09,10740,10740,10600,10710,251125,0.006578947368421018,0.006578947368421018,-2.8874163904133923,48.75892945109589,10966.0,10740.5,10644.666666666666,11340.215766009198,10140.784233990802
2024-01-10,10710,10800,10670,10720,220214,0.0009337068160597539,0.0009337068160597539,-17.30331447919201,49.02314870146773,10854.0,10757.0,10645.0,11335.0,10179.0
2024-01-11,10800,10980,10710,10710,282259,-0.000932835820895539,-0.000932835820895539,-26.960353279249432,48.752424449262506,10756.0,10770.5,10644.666666666666,11330.588385882085,10210.411614117915
2024-01-12,10720,10840,10630,10700,232427,-0.0009337068160597539,-0.0009337068160597539,-33.066945241520855,48.46419942318738,10696.0,10776.5,10639.333333333334,11330.838344334938,10222.161655665062
2024-01-15,10690,10900,10560,10770,161611,0.006542056074766434,0.006542056074766434,-31.4472889057524,50.66302466350942,10722.0,10784.5,10629.833333333334,11333.589245933665,10235.410754066335
2024-01-16,10720,10800,10560,10690,243218,-0.00742804085422466,-0.00742804085422466,-34.57084972065347,48.13534294537362,10718.0,10790.0,10632.833333333334,11332.954878419929,10247.045121580071
2024-01-17,10710,10810,10570,10640,308297,-0.004677268475210439,-0.004677268475210439,-38.510301060843034,46.5714196433695,10702.0,10791.5,10636.333333333334,11332.62013453576,10250.37986546424
2024-01-18,10790,10790,10540,10590,306503,-0.0046992481203007586,-0.0046992481203007586,-42.66685146102052,44.997003069031784,10678.0,10798.5,10642.333333333334,11325.198205806702,10271.801794193298
2024-01-19,10600,10720,10600,10600,166280,0.0009442870632672129,0.0009442870632672129,-42.815275891581756,45.394606748182035,10658.0,10807.0,10646.833333333334,11314.783418398041,10299.216581601959
2024-01-22,10690,10750,10610,10640,111129,0.0037735849056603765,0.0037735849056603765,-38.43158937185769,47.043630530900955,10632.0,10814.5,10653.0,11307.550707331406,10321.449292668594
2024-01-23,10720,10810,10630,10700,178533,0.005639097744360999,0.005639097744360999,-30.073116958691443,49.50683203950486,10634.0,10825.0,10662.0,11298.518743029248,10351.481256970752
2024-01-24,10650,10790,10650,10770,153643,0.006542056074766434,0.006542056074766434,-18.954771332641293,52.29474634747281,10660.0,10831.5,10671.666666666666,11298.202260547343,10364.797739452657
2024-01-25,10780,10790,10670,10790,560747,0.0018570102135562205,0.0018570102135562205,-9.837114127159504,53.091664037379054,10700.0,10830.5,10683.166666666666,11297.467878980984,10363.532121019016
2024-01-26,10750,10910,10700,10840,166182,0.004633920296570837,0.004633920296570837,-0.5144616333690895,55.110569778371996,10748.0,10822.5,10695.5,11283.01601492239,10361.98398507761
2024-01-29,10890,11310,10810,11160,644183,0.029520295202952074,0.029520295202952074,25.67991087993145,65.38020769173094,10852.0,10811.0,10709.333333333334,11223.208685012822,10398.791314987178
2024-01-30,11160,11290,11090,11270,387756,0.009856630824372825,0.009856630824372825,47.615759237519555,68.08327437090719,10966.0,10821.0,10729.333333333334,11266.237015532177,10375.762984467823
2024-01-31,11210,11440,11190,11440,345098,0.015084294587400127,0.015084294587400127,69.45306761953196,71.75383732012996,11100.0,10829.0,10748.0,11311.1576505667,10346.8423494333
2024-02-01,11520,12790,11520,12580,2020914,0.09965034965034958,0.09965034965034958,151.82870157718003,84.56940151446895,11458.0,10898.0,10778.166666666666,11791.92617144818,10004.07382855182
2024-02-02,12460,12470,11880,12260,1271177,-0.025437201907790197,-0.025437201907790197,174.31048083556215,74.36935608737292,11742.0,10961.0,10806.333333333334,12034.385298949077,9887.614701050923
2024-02-05,12140,12140,11560,12000,868587,-0.021207177814029365,-0.021207177814029365,161.5051912709781,67.27000932196142,11910.0,11029.0,10827.5,12181.803539203449,9876.196460796551
2024-02-06,11880,12150,11660,11710,508275,-0.02416666666666667,-0.02416666666666667,124.97129211642118,60.34993857985251,11998.0,11079.0,10841.5,12258.557544166455,9899.442455833545
2024-02-07,11860,12200,11750,12020,421555,0.026473099914603004,0.026473099914603004,113.48569097028536,64.5482539185752,12114.0,11144.0,10864.166666666666,12379.223056779625,9908.776943220375
2024-02-08,12100,12400,12060,12330,794225,0.02579034941763725,0.02579034941763725,118.04331509527731,68.17700310199935,12064.0,11225.0,10890.333333333334,12545.295421487175,9904.704578512825
2024-02-13,12460,12880,12200,12210,673370,-0.009732360097323589,-0.009732360097323589,104.70696378913681,65.38693664496554,12054.0,11300.5,10912.5,12664.061146410384,9936.938853589616
2024-02-14,12100,12190,11750,11810,549876,-0.03276003276003281,-0.03276003276003281,62.746534699952804,57.01158273477577,12016.0,11352.5,10926.166666666666,12710.481958643044,9994.518041356956
2024-02-15,11930,12040,11750,11800,257321,-0.0008467400508044287,-0.0008467400508044287,29.790600070060748,56.8156509676466,12034.0,11408.0,10940.5,12743.688586460183,10072.311413539817
