Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2024-01-02,93400,93900,91500,92600,60586,-0.013844515441959526,-0.013844515441959526,16.963076746924344,57.359627971798666,92480.0,90910.0,84775.0,95000.91676766967,86819.08323233033,90000.0
2024-01-03,91600,92300,90000,90000,63043,-0.02807775377969768,-0.02807775377969768,-217.03118984817706,49.89436522709217,92080.0,90945.0,84745.0,94991.96182339305,86898.03817660695,89700.0
2024-01-04,89000,90500,88500,89700,46006,-0.0033333333333332993,-0.0033333333333332993,-387.30564654720047,49.10030120690708,91580.0,90970.0,84771.66666666667,94979.53862682488,86960.46137317512,89000.0
2024-01-05,89100,90400,88200,89000,50964,-0.0078037904124860225,-0.0078037904124860225,-533.360010090596,47.21222318636458,91040.0,90915.0,84826.66666666667,95000.2294917178,86829.7705082822,88300.0
2024-01-08,88500,89300,87800,88300,54345,-0.00786516853932584,-0.00786516853932584,-655.3616420342173,45.33484154879798,89920.0,90850.0,84861.66666666667,95056.42365911957,86643.57634088043,88200.0
2024-01-09,88600,89400,87800,88200,45041,-0.0011325028312570984,-0.0011325028312570984,-716.1076606065053,45.05918514172124,89040.0,90795.0,84836.66666666667,95108.45569120639,86481.54430879361,87300.0
2024-01-10,88100,88600,86800,87300,52342,-0.010204081632653073,-0.010204081632653073,-784.6974176064149,42.551472466732946,88500.0,90650.0,84846.66666666667,95220.99551520243,86079.00448479757,85600.0
2024-01-11,87300,88000,85500,85600,74107,-0.019473081328751474,-0.019473081328751474,-903.8735364045867,38.22411317704749,87680.0,90485.0,84880.0,95512.2358210055,85457.7641789945,86900.0
2024-01-12,86100,87300,84800,86900,61513,0.015186915887850372,0.015186915887850372,-854.9956956033601,42.99805529150912,87260.0,90410.0,84946.66666666667,95601.49304150557,85218.50695849443,85900.0
2024-01-15,86900,87000,85000,85900,53358,-0.011507479861910253,-0.011507479861910253,-848.1790644955618,40.41103707318945,86780.0,90350.0,85020.0,95717.8673605074,84982.1326394926,83800.0
2024-01-16,85000,85800,83500,83800,45115,-0.024447031431897526,-0.024447031431897526,-936.3491823716089,35.570980009903934,85900.0,90065.0,85103.33333333333,96141.60266925531,83988.39733074469,80300.0
2024-01-17,83100,83800,80100,80300,85723,-0.0417661097852029,-0.0417661097852029,-1166.6437311924924,29.27717733976037,84500.0,89535.0,85170.0,96933.18220916468,82136.81779083532,80100.0
2024-01-18,80200,81200,79000,80100,45919,-0.00249066002490661,-0.00249066002490661,-1260.6893914794982,28.961829457823356,83400.0,88955.0,85250.0,97336.75995838587,80573.24004161413,79100.0
2024-01-19,80800,81400,78300,79100,75782,-0.012484394506866447,-0.012484394506866447,-1312.5876240174446,27.374173428236105,81840.0,88290.0,85258.33333333333,97538.54583164297,79041.45416835703,79000.0
2024-01-22,79100,79800,78600,79000,49005,-0.0012642225031606058,-0.0012642225031606058,-1274.920524126027,27.213516384501872,80460.0,87485.0,85283.33333333333,97020.67512030483,77949.32487969517,80800.0
2024-01-23,78700,81600,78700,80800,43765,0.022784810126582178,0.022784810126582178,-1058.9308176370039,34.648369191161166,79860.0,86820.0,85395.0,96272.32246593399,77367.67753406601,81000.0
2024-01-24,80400,81800,80000,81000,39486,0.0024752475247524774,0.0024752475247524774,-842.1892379109927,35.437491293392895,80000.0,86270.0,85525.0,95732.79028616825,76807.20971383175,82000.0
2024-01-25,81400,82000,79500,82000,69474,0.012345679012345734,0.012345679012345734,-583.364699679264,39.37902617505527,80380.0,85760.0,85638.33333333333,94985.92000832439,76534.07999167561,81400.0
2024-01-26,82000,83600,81000,81400,43739,-0.007317073170731714,-0.007317073170731714,-412.51004427505904,37.88456970526917,80840.0,85245.0,85755.0,94233.98770718928,76256.01229281072,86500.0
2024-01-29,82200,87000,81200,86500,131187,0.0626535626535627,0.0626535626535627,58.95118706626545,53.89956813493829,82340.0,84875.0,85948.33333333333,92973.61099201586,76776.38900798414,89000.0
2024-01-30,87100,91500,86000,89000,175784,0.028901734104046284,0.028901734104046284,528.0517320823137,59.42247223154884,83980.0,84695.0,86158.33333333333,92239.92544694777,77150.07455305223,90200.0
2024-01-31,88100,90900,87200,90200,99753,0.01348314606741563,0.01348314606741563,886.9151192478844,61.788821577420364,85820.0,84705.0,86400.0,92278.49985145574,77131.50014854426,97000.0
2024-02-01,90200,97100,88500,97000,362192,0.07538802660753885,0.07538802660753885,1513.2292381902303,71.81820573919074,88820.0,85070.0,86631.66666666667,94129.16110906524,76010.83889093476,96700.0
2024-02-02,97900,98500,93600,96700,180541,-0.003092783505154628,-0.003092783505154628,1817.7895047445495,70.93363397940755,91880.0,85455.0,86911.66666666667,95723.29586640355,75186.70413359645,95600.0
2024-02-05,97700,97800,94100,95600,102803,-0.011375387797311287,-0.011375387797311287,1849.5178965587988,67.64373752691489,93700.0,85820.0,87165.0,96949.70799257555,74690.29200742445,92900.0
2024-02-06,96000,98100,92500,92900,106131,-0.028242677824267814,-0.028242677824267814,1602.253612676624,60.256384533728905,94480.0,86055.0,87395.0,97567.6843090567,74542.3156909433,95300.0
2024-02-07,92600,95700,91400,95300,75803,0.02583423035522059,0.02583423035522059,1514.902352384434,64.01803386519572,95500.0,86455.0,87701.66666666667,98648.68279069127,74261.31720930873,93300.0
2024-02-08,94300,95300,92900,93300,77834,-0.02098635886673661,-0.02098635886673661,1248.110084961911,59.00603669187376,94760.0,86840.0,87983.33333333333,99382.6313028806,74297.3686971194,93000.0
2024-02-13,93800,94600,92300,93000,60363,-0.003215434083601254,-0.003215434083601254,988.4786952714089,58.26911247072805,94020.0,87145.0,88218.33333333333,99972.07682989388,74317.92317010612,91300.0
2024-02-14,91600,93100,90500,91300,68893,-0.018279569892473146,-0.018279569892473146,655.3482392422416,54.14264695510498,93160.0,87415.0,88380.0,100352.73936976628,74477.26063023372,93600.0
2024-02-15,92700,94500,92400,93600,56623,0.025191675794085322,0.025191675794085322,547.3902253926822,58.431738148003454,93300.0,87905.0,88553.33333333333,100999.34610814914,74810.65389185086,92600.0
2024-02-16,94500,94500,91500,92600,51638,-0.010683760683760646,-0.010683760683760646,374.3793698167103,55.980151680846845,92760.0,88520.0,88728.33333333333,101278.93412476139,75761.06587523861,98000.0
2024-02-19,92500,98700,92500,98000,198660,0.05831533477321815,0.05831533477321815,577.2439303858409,64.61406251448398,93700.0,89415.0,88965.0,102197.06164904554,76632.93835095446,98100.0
2024-02-20,98000,98500,95500,98100,97866,0.0010204081632652073,0.0010204081632652073,665.5161504795892,64.75193740861806,94720.0,90365.0,89205.0,102757.6228055243,77972.3771944757,98700.0
2024-02-21,98100,104500,97100,98700,208875,0.006116207951070374,0.006116207951070374,707.7287219275186,65.61755714448938,96200.0,91350.0,89440.0,103087.0354008157,79612.9645991843,99200.0
2024-02-22,99500,100900,97100,99200,88928,0.005065856129685908,0.005065856129685908,710.8643218817901,66.35897753030402,97320.0,92270.0,89676.66666666667,103425.1064539968,81114.8935460032,99900.0
2024-02-23,100000,102400,99500,99900,119358,0.007056451612903247,0.007056451612903247,700.4861890005423,67.41826708891885,98780.0,93215.0,89896.66666666667,103564.15938615311,82865.84061384689,95900.0
2024-02-26,99300,102300,95700,95900,164838,-0.040040040040040026,-0.040040040040040026,380.6423793956528,56.47497087892206,98360.0,93910.0,90020.0,102935.49721622035,84884.50278377965,90600.0
2024-02-27,95100,96300,90200,90600,129340,-0.05526590198123049,-0.05526590198123049,-200.23230395848805,45.854314925776315,96860.0,94370.0,90066.66666666667,101546.65660318239,87193.34339681761,91700.0
2024-02-28,90600,92400,89600,91700,88864,0.012141280353200834,0.012141280353200834,-505.376252862357,48.038447240126004,95460.0,94630.0,90130.0,100976.05389198684,88283.94610801316,91000.0
2024-02-29,91100,91800,89900,91000,69012,-0.007633587786259555,-0.007633587786259555,-735.4213093412177,46.74618312192934,93820.0,94730.0,90111.66666666667,100773.87293049757,88686.12706950243,91100.0
2024-03-04,91000,91800,90300,91100,68802,0.001098901098901095,0.001098901098901095,-853.6061879847719,46.96566873832911,92060.0,94775.0,90141.66666666667,100695.43072757391,88854.56927242609,90700.0
2024-03-05,90200,91800,90100,90700,40477,-0.004390779363336983,-0.004390779363336983,-925.4471183628098,46.14637879197513,91020.0,94460.0,90166.66666666667,100541.57874239916,88378.42125760084,92400.0
2024-03-06,90200,92500,89800,92400,53136,0.018743109151047488,0.018743109151047488,-828.3481643190298,50.12823410096229,91380.0,94245.0,90205.0,100298.58571426896,88191.41428573104,107900.0
2024-03-07,92900,110900,92100,107900,885618,0.16774891774891776,0.16774891774891776,252.12068245934915,71.10562101103889,94620.0,94860.0,90510.0,103348.67480823724,86371.32519176276,111200.0
2024-03-08,108500,115800,108500,111200,469542,0.030583873957367835,0.030583873957367835,1113.1566320153033,73.64712912879742,98660.0,95775.0,90875.0,106790.42100874957,84759.57899125043,109000.0
