Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2024-01-02,226000,230000,226000,228500,11627,0.0,0.0,1568.5020207367843,55.194730537623755,227100.0,220525.0,229433.33333333334,233032.8975051766,208017.1024948234,228000.0
2024-01-03,225000,230500,225000,228000,21434,-0.002188183807439792,-0.002188183807439792,1426.7836594483867,54.42758508048215,227400.0,221425.0,229225.0,233350.91715550644,209499.08284449356,225500.0
2024-01-04,226000,230000,225500,225500,12260,-0.010964912280701733,-0.010964912280701733,1111.9108629678185,50.63784030694153,227000.0,222200.0,228891.66666666666,233018.50266903895,211381.49733096105,226500.0
2024-01-05,225000,229000,223500,226500,12873,0.0044345898004434225,0.0044345898004434225,925.8419269505503,52.0752977481354,227400.0,222825.0,228691.66666666666,233107.38785496846,212542.61214503154,222000.0
2024-01-08,225500,226500,221500,222000,8476,-0.019867549668874163,-0.019867549668874163,477.1514643893316,45.63512802168039,226100.0,223200.0,228358.33333333334,232762.42647030568,213637.57352969432,222500.0
2024-01-09,224500,227000,222000,222500,9303,0.0022522522522523403,0.0022522522522523403,205.37680667127722,46.427896591413464,224900.0,223450.0,228116.66666666666,232658.14856526558,214241.85143473442,221000.0
2024-01-10,223000,225500,219500,221000,17212,-0.006741573033707815,-0.006741573033707815,-69.36699827705968,44.3389864726475,223500.0,223650.0,227908.33333333334,232453.97637434374,214846.02362565626,216000.0
2024-01-11,222000,224000,216000,216000,30167,-0.022624434389140302,-0.022624434389140302,-554.7730048806471,38.17351460129772,221600.0,223650.0,227591.66666666666,232453.97637434374,214846.02362565626,215000.0
2024-01-12,217000,218000,214500,215000,10574,-0.00462962962962965,-0.00462962962962965,-890.237118147342,37.063467800835596,219300.0,223700.0,227283.33333333334,232293.02042357647,215106.97957642353,215000.0
2024-01-15,215500,218500,214500,215000,8235,0.0,0.0,-1048.288280095625,37.063467800835596,217900.0,223750.0,226991.66666666666,232125.5596827915,215374.4403172085,212500.0
2024-01-16,213500,215000,210500,212500,11261,-0.011627906976744207,-0.011627906976744207,-1244.010036648027,34.181558073652795,215900.0,223100.0,226725.0,232751.94280961106,213448.05719038894,203500.0
2024-01-17,211500,211500,201500,203500,25206,-0.04235294117647059,-0.04235294117647059,-1865.0623985081513,26.26412441742093,212400.0,222150.0,226358.33333333334,235046.12344854075,209253.87655145925,201000.0
2024-01-18,205000,205000,199900,201000,15236,-0.012285012285012331,-0.012285012285012331,-2301.081483418626,24.56219356907627,209400.0,221000.0,225975.0,236805.0624801044,205194.9375198956,202000.0
2024-01-19,201000,204500,200000,202000,11174,0.004975124378109541,0.004975124378109541,-2369.662000585471,26.61078751649123,206800.0,220000.0,225608.33333333334,237826.94589659158,202173.05410340842,203500.0
2024-01-22,205000,205000,201500,203500,9851,0.007425742574257432,0.007425742574257432,-2167.0342669833044,29.694895899171456,204500.0,218800.0,225166.66666666666,237647.81154404944,199952.18845595056,215000.0
2024-01-23,204000,219500,203000,215000,26270,0.05651105651105648,0.05651105651105648,-1161.9247889808375,47.80489548952916,205000.0,218225.0,225041.66666666666,236797.7623147448,199652.2376852552,215500.0
2024-01-24,215000,218000,210000,215500,21510,0.0023255813953488857,0.0023255813953488857,-405.87084031170616,48.42692566477743,207400.0,217675.0,224891.66666666666,235882.8966385468,199467.1033614532,219500.0
2024-01-25,215500,221000,213000,219500,19862,0.018561484918793614,0.018561484918793614,378.7332153756752,53.22904140483218,211100.0,217275.0,224675.0,234945.52630795146,199604.47369204854,217500.0
2024-01-26,218500,220500,215000,217500,8752,-0.009111617312072884,-0.009111617312072884,756.3324914250661,50.68767847555074,214200.0,216925.0,224341.66666666666,234283.78740004625,199566.21259995375,233500.0
2024-01-29,217500,238500,215000,233500,56668,0.0735632183908046,0.0735632183908046,2006.0287925661514,65.05973485458654,220200.0,217175.0,224258.33333333334,235319.62730397083,199030.37269602917,244000.0
2024-01-30,239000,257500,238000,244000,154467,0.044967880085653,0.044967880085653,3381.2581721834117,71.0274055551883,226000.0,217950.0,224291.66666666666,239047.15620646544,196852.84379353456,246500.0
2024-01-31,244000,248000,234500,246500,47667,0.010245901639344357,0.010245901639344357,4244.829574997372,72.24299427716078,232200.0,218875.0,224391.66666666666,243051.1762898934,194698.8237101066,266000.0
2024-02-01,244000,269500,242000,266000,161553,0.07910750507099396,0.07910750507099396,5817.659290151818,79.47626794887003,241500.0,220900.0,224658.33333333334,252577.436764991,189222.563235009,263500.0
2024-02-02,266500,268000,253000,263500,80064,-0.009398496240601517,-0.009398496240601517,6335.339815915797,76.71607932088182,250700.0,222750.0,225033.33333333334,259444.00495993864,186055.99504006136,271500.0
2024-02-05,263000,280000,255500,271500,90069,0.030360531309297834,0.030360531309297834,6820.1815519570155,79.20491722377041,258300.0,225225.0,225525.0,267617.77650732495,182832.22349267505,267000.0
2024-02-06,270500,275000,261000,267000,57103,-0.016574585635359074,-0.016574585635359074,6445.758994768146,74.38819364237014,262900.0,227450.0,225900.0,273546.5291535057,181353.4708464943,269000.0
2024-02-07,269000,276500,259500,269000,44835,0.0074906367041198685,0.0074906367041198685,5952.517700672922,75.11259841113258,267400.0,229850.0,226391.66666666666,279234.30924899125,180465.69075100878,271000.0
2024-02-08,273000,287000,269000,271000,98057,0.0074349442379182396,0.0074349442379182396,5397.092655954918,75.848253619129,268400.0,232600.0,226900.0,284646.7097903412,180553.2902096588,264500.0
2024-02-13,274000,274000,262000,264500,84482,-0.023985239852398532,-0.023985239852398532,4277.05713135384,68.73689303503812,268600.0,235075.0,227333.33333333334,288234.45353368483,181915.54646631514,255000.0
2024-02-14,259500,262500,251000,255000,62832,-0.03591682419659736,-0.03591682419659736,2660.647539440206,59.89770754681297,265300.0,237075.0,227516.66666666666,290072.429182933,184077.570817067,254500.0
2024-02-15,256000,260000,251500,254500,51199,-0.0019607843137254832,-0.0019607843137254832,1386.1499807200253,59.46428684902247,262800.0,239175.0,227816.66666666666,291434.2336338756,186915.76636612436,266000.0
2024-02-16,257500,267500,253500,266000,76035,0.04518664047151266,0.04518664047151266,1155.420178120752,65.62528491601557,262200.0,242300.0,228308.33333333334,293106.8892966298,191493.11070337018,283500.0
2024-02-19,269000,285000,268000,283500,76877,0.06578947368421062,0.06578947368421062,1971.2715680341007,72.47996421082973,264700.0,246425.0,228983.33333333334,296541.14011473744,196308.85988526253,276000.0
2024-02-20,283500,283500,272000,276000,44847,-0.02645502645502651,-0.02645502645502651,1800.3969736851468,66.37142876656671,267000.0,250125.0,229691.66666666666,297422.85935959464,202827.14064040533,271000.0
2024-02-21,276000,283000,268500,271000,32486,-0.018115942028985477,-0.018115942028985477,1175.4598677104696,62.584564106249864,270200.0,253500.0,230391.66666666666,296440.6567252993,210559.34327470066,273000.0
2024-02-22,271000,276500,267000,273000,33258,0.007380073800737907,0.007380073800737907,742.7299477703073,63.48209447600518,273900.0,256400.0,231191.66666666666,296273.04854159005,216526.95145840998,275000.0
2024-02-23,273000,280000,270500,275000,35329,0.0073260073260073,0.0073260073260073,451.4633540303457,64.40172211606372,275700.0,259375.0,231983.33333333334,295278.8646944865,223471.1353055135,260500.0
2024-02-26,269500,269500,255000,260500,75670,-0.052727272727272734,-0.052727272727272734,-789.8885206052237,53.81967041767028,271100.0,261425.0,232516.66666666666,292320.4284644184,230529.5715355816,261500.0
2024-02-27,258000,265000,256500,261500,38354,0.0038387715930903177,0.0038387715930903177,-1570.68762170023,54.376443481687595,268200.0,263625.0,233075.0,287061.8833252204,240188.11667477962,264000.0
2024-02-28,256000,268000,256000,264000,32197,0.009560229445506607,0.009560229445506607,-1922.5839771074498,55.81081570106402,266800.0,265150.0,233950.0,284084.3603007863,246215.6396992137,265500.0
2024-02-29,264000,275000,262500,265500,47305,0.005681818181818121,0.005681818181818121,-2046.641118347945,56.690629031801066,265300.0,266225.0,234900.0,282486.84183910274,249963.15816089726,280500.0
2024-03-04,268500,283000,267000,280500,54243,0.05649717514124286,0.05649717514124286,-1155.186603149221,64.33731527576072,266400.0,267925.0,236075.0,282616.0687153791,253233.9312846209,279000.0
2024-03-05,277000,288000,276000,279000,28641,-0.005347593582887722,-0.005347593582887722,-724.3191232225599,63.13682453872775,270100.0,268575.0,237225.0,283999.89870307065,253150.10129692935,286500.0
2024-03-06,279000,290000,279000,286500,50668,0.026881720430107503,0.026881720430107503,-28.71561506780199,66.50243469279948,275100.0,269725.0,238433.33333333334,286805.61767033004,252644.38232966998,285000.0
2024-03-07,285500,292000,282000,285000,31387,-0.005235602094240788,-0.005235602094240788,222.06109579978693,65.21990940740383,279300.0,270400.0,239608.33333333334,288729.21165789705,252070.78834210293,291500.0
2024-03-08,290500,293000,281000,291500,44343,0.02280701754385972,0.02280701754385972,690.9180466679409,68.09161549302821,284500.0,271625.0,240841.66666666666,292037.92482717725,251212.07517282275,278000.0
2024-03-11,291500,291500,276500,278000,31061,-0.046312178387650116,-0.046312178387650116,-6.042807401714526,57.47691334478198,284000.0,272075.0,241858.33333333334,292632.9060217715,251517.0939782285,274500.0
2024-03-12,277500,278000,269000,274500,38174,-0.01258992805755399,-0.01258992805755399,-758.9894253616949,55.07960471773325,283100.0,272250.0,242833.33333333334,292827.90076757077,251672.09923242926,278500.0
2024-03-13,275000,281000,268000,278500,36385,0.014571948998178597,0.014571948998178597,-1027.1937605443072,57.27296462880965,281500.0,272950.0,243908.33333333334,293377.67730310984,252522.32269689016,281500.0
2024-03-14,280500,285500,274500,281500,32698,0.010771992818671361,0.010771992818671361,-1038.9877909211555,58.89408979635189,280800.0,274275.0,245033.33333333334,293260.45495899394,255289.54504100606,276500.0
2024-03-15,283000,286000,268500,276500,44067,-0.017761989342806372,-0.017761989342806372,-1397.6237943779033,55.13911511447653,277800.0,275375.0,245883.33333333334,292059.948306782,258690.051693218,274500.0
2024-03-18,280500,280500,270500,274500,17476,-0.007233273056057921,-0.007233273056057921,-1760.214876405853,53.6651991628903,277100.0,275800.0,246750.0,291931.9558640602,259668.04413593977,280500.0
2024-03-19,274000,287000,273500,280500,52992,0.021857923497267784,0.021857923497267784,-1591.7241050868433,57.34862477719421,278300.0,275650.0,247691.66666666666,291546.85503487993,259753.14496512007,290000.0
2024-03-20,282000,294000,282000,290000,45582,0.033868092691622165,0.033868092691622165,-872.2043969355727,62.439918651943835,280600.0,276350.0,248825.0,293435.3738618734,259264.6261381266,289000.0
2024-03-21,293500,293500,282500,289000,35623,-0.0034482758620689724,-0.0034482758620689724,-513.1263782695751,61.6062736598093,282100.0,277250.0,249850.0,294996.830702973,259503.16929702697,286000.0
2024-03-22,287500,291000,283000,286000,24331,-0.01038062283737029,-0.01038062283737029,-525.2554995682094,59.058801848214046,284000.0,277900.0,250841.66666666666,295926.6469427896,259873.3530572104,278500.0
2024-03-25,284000,285500,274000,278500,37022,-0.02622377622377625,-0.02622377622377625,-1055.3965597861643,53.14249023994076,284800.0,278075.0,251708.33333333334,296053.52886083804,260096.47113916196,274500.0
2024-03-26,279000,282000,272500,274500,26556,-0.014362657091561926,-0.014362657091561926,-1656.6593117602615,50.25117125424701,283600.0,278775.0,252491.66666666666,294962.88126964075,262587.11873035925,270000.0
2024-03-27,273500,276000,268000,270000,47796,-0.016393442622950838,-0.016393442622950838,-2299.113545502525,47.14364725796564,279600.0,279200.0,253250.0,293932.2774885618,264467.7225114382,265000.0
2024-03-28,270000,270500,262500,265000,43088,-0.01851851851851849,-0.01851851851851849,-2960.375976543167,43.89553644676109,274800.0,279250.0,253858.33333333334,293781.001341958,264718.998658042,259500.0
2024-03-29,265000,266500,256000,259500,35270,-0.02075471698113207,-0.02075471698113207,-3623.92408819142,40.58322205684818,269500.0,278950.0,254375.0,294792.6639174094,263107.3360825906,257500.0
2024-04-01,261500,267500,255500,257500,37193,-0.0077071290944122905,-0.0077071290944122905,-4022.499052286385,39.41839326203443,265300.0,277800.0,254866.66666666666,296164.0954038032,259435.9045961968,255000.0
2024-04-02,256500,260500,253000,255000,27421,-0.009708737864077666,-0.009708737864077666,-4256.8407655468245,37.952017941834015,261400.0,276600.0,255358.33333333334,297460.488968382,255739.51103161802,259500.0
2024-04-03,253500,261500,251500,259500,26640,0.01764705882352935,0.01764705882352935,-3919.533831171918,42.12542931799195,259300.0,275250.0,255908.33333333334,296854.397700468,253645.602299532,257000.0
2024-04-04,262000,263500,256000,257000,17754,-0.009633911368015391,-0.009633911368015391,-3679.4010222892225,40.49581130619535,257700.0,273850.0,256491.66666666666,296355.7770361298,251344.22296387018,258500.0
2024-04-05,255500,258500,252000,258500,14607,0.005836575875486361,0.005836575875486361,-3249.1064768649503,41.946928906004345,257500.0,272200.0,257091.66666666666,294118.94158028596,250281.05841971404,249000.0
2024-04-08,256000,257000,246000,249000,28892,-0.03675048355899424,-0.03675048355899424,-3416.7679212274943,35.96487105799116,255800.0,270750.0,257558.33333333334,294686.3739944042,246813.6260055958,249000.0
2024-04-09,249500,250000,246000,249000,19914,0.0,0.0,-3336.3721941935814,35.96487105799116,254600.0,269475.0,258108.33333333334,295131.3345004697,243818.66549953035,242000.0
2024-04-11,244000,244500,234500,242000,52110,-0.028112449799196804,-0.028112449799196804,-3543.8328942675034,32.05798727866235,251100.0,267650.0,258558.33333333334,295571.4970945326,239728.50290546744,233000.0
2024-04-12,241000,242000,232500,233000,28139,-0.037190082644628086,-0.037190082644628086,-4040.399209062071,27.86653850518624,246300.0,265225.0,258858.33333333334,296174.11145735835,234275.88854264162,236000.0
2024-04-15,230500,236000,229500,236000,15323,0.012875536480686733,0.012875536480686733,-3917.119642600438,31.10030486893652,241800.0,263200.0,259250.0,296167.2564827587,230232.74351724135,231000.0
2024-04-16,234000,236000,229000,231000,22338,-0.021186440677966156,-0.021186440677966156,-3913.4086072853697,28.78419386431085,238200.0,261025.0,259708.33333333334,296376.7679897342,225673.23201026584,229500.0
2024-04-17,231500,232000,225000,229500,29635,-0.00649350649350644,-0.00649350649350644,-3752.5540762900036,28.107909710284005,234300.0,258475.0,260183.33333333334,295171.6960365643,221778.3039634357,235500.0
2024-04-18,228500,239000,228500,235500,24065,0.02614379084967311,0.02614379084967311,-3014.4519984559247,34.71531750860804,233000.0,255750.0,260741.66666666666,290732.1382994235,220767.86170057647,230000.0
2024-04-19,231000,235000,229500,230000,17604,-0.023354564755838636,-0.023354564755838636,-2680.267460020359,31.827628601200985,232400.0,252800.0,261183.33333333334,285972.8804899423,219627.1195100577,241500.0
2024-04-22,233500,243500,233500,241500,20316,0.050000000000000044,0.050000000000000044,-1525.7599592111874,42.58225293817188,233500.0,250575.0,261625.0,280336.17437199,220813.82562800997,246000.0
2024-04-23,240000,246500,239500,246000,18538,0.01863354037267073,0.01863354037267073,-360.85723995565786,46.1614032086769,236500.0,248950.0,262133.33333333334,275845.91046980926,222054.08953019074,246000.0
2024-04-24,248000,248000,243000,246000,14277,0.0,0.0,463.13785484363325,46.1614032086769,239800.0,247525.0,262575.0,271741.67813718464,223308.32186281536,248000.0
2024-04-25,243500,248000,242500,248000,12236,0.008130081300812941,0.008130081300812941,1156.8432134362174,47.83742498001989,242300.0,246425.0,263083.3333333333,268348.218285644,224501.78171435598,246000.0
2024-04-26,249000,249500,244500,246000,10102,-0.008064516129032251,-0.008064516129032251,1474.6129733555208,46.28569069526184,245500.0,245475.0,263291.6666666667,265675.18564271124,225274.81435728876,255000.0
2024-04-29,247000,258000,247000,255000,25238,0.03658536585365857,0.03658536585365857,2238.7289279491233,53.58243478463528,248200.0,245250.0,263475.0,264913.4178107469,225586.58218925315,252000.0
2024-04-30,253500,257500,250000,252000,21667,-0.0117647058823529,-0.0117647058823529,2471.6353273332124,51.091014071364,249400.0,244975.0,263566.6666666667,264091.68119732075,225858.31880267925,247500.0
2024-05-02,250500,252000,245000,247500,19129,-0.017857142857142905,-0.017857142857142905,2258.0206778380143,47.521640576176615,249700.0,244600.0,263258.3333333333,263202.68797781644,225997.31202218356,280500.0
