Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,9210,9347,9156,9320,1009028,0.017911751856706015,0.017911751856706015,-45.4805312504497,40.965999252952365,9021.8,9843.6,10445.033333333333,11749.372851102675,7937.827148897327
2024-01-03,9319,9346,9155,9165,773239,-0.016630901287553623,-0.016630901287553623,-18.020241543604925,38.774844393708946,9081.6,9760.45,10420.35,11631.974883617639,7888.925116382363
2024-01-04,9129,9129,8992,9020,533996,-0.015821058374249852,-0.015821058374249852,-5.166935239815018,36.79228040477103,9116.2,9660.5,10394.316666666668,11464.80291248449,7856.197087515509
2024-01-05,8929,9156,8910,9029,549069,0.000997782705099759,0.000997782705099759,7.696902014204454,37.00757082068845,9138.0,9568.75,10372.516666666666,11304.236315128996,7833.263684871005
2024-01-08,9156,9156,9029,9029,375488,0.0,0.0,19.301094487494538,37.00757082068845,9112.6,9472.9,10345.866666666667,11102.03055339344,7843.769446606559
2024-01-09,9111,9138,9047,9102,407614,0.008085059253516436,0.008085059253516436,34.122153431274285,38.96324162560098,9069.0,9392.5,10317.55,10925.353482887396,7859.646517112605
2024-01-10,9120,9156,8974,8993,496850,-0.011975390024170474,-0.011975390024170474,38.48995145253781,37.11059075393924,9034.6,9312.1,10287.583333333334,10748.626630452782,7875.57336954722
2024-01-11,9029,9074,8992,9011,360456,0.002001556766373813,0.002001556766373813,44.093997770932845,37.63792954532585,9032.8,9232.6,10256.7,10545.690766093503,7919.509233906498
2024-01-12,9011,9029,8865,8993,382733,-0.001997558539562738,-0.001997558539562738,47.78119216594769,37.30109358346198,9025.6,9145.4,10223.25,10264.609435271175,8026.190564728824
2024-01-15,8992,9028,8819,8847,442650,-0.016234849327254497,-0.016234849327254497,41.79608811724688,34.59656981394396,8989.2,9060.0,10187.366666666667,9978.624624098453,8141.375375901546
2024-01-16,8847,8956,8792,8820,315012,-0.003051881993896277,-0.003051881993896277,37.56136408673427,34.104109157528114,8932.8,8955.5,10153.9,9312.165389405853,8598.834610594147
2024-01-17,8793,8820,8556,8575,514697,-0.02777777777777779,-0.02777777777777779,20.647874913471014,29.939535397165457,8849.2,8929.15,10120.75,9315.280172351278,8543.01982764872
2024-01-18,8520,8638,8456,8475,376948,-0.011661807580174877,-0.011661807580174877,5.880714997905159,28.414358215910852,8742.0,8919.6,10081.383333333333,9339.281498281767,8499.918501718234
2024-01-19,8520,8829,8511,8766,463459,0.0343362831858407,0.0343362831858407,18.172254817783994,38.26930104280394,8696.6,8931.9,10047.933333333332,9317.010321855996,8546.789678144003
2024-01-22,8847,8902,8674,8684,310833,-0.00935432352270138,-0.00935432352270138,22.933913740962453,36.73464999838048,8664.0,8926.9,10012.5,9322.027776801415,8531.772223198584
2024-01-23,8683,8938,8683,8911,397329,0.026140027637033603,0.026140027637033603,42.393762258288916,43.490461975233785,8682.2,8926.45,9986.916666666666,9321.62868110518,8531.271318894822
2024-01-24,9156,10273,9056,9801,12246077,0.09987655706430254,0.09987655706430254,112.26052099837398,61.05152857272607,8927.4,8973.2,9979.8,9520.612677967938,8425.787322032063
2024-01-25,9810,9937,9456,9865,2330596,0.0065299459238852275,0.0065299459238852275,157.08956883073841,61.96683446340637,9205.4,9024.1,9971.316666666668,9691.313279244372,8356.886720755629
2024-01-26,9801,9838,9574,9720,1366003,-0.014698428788646689,-0.014698428788646689,170.17952112213766,58.60641342224597,9396.2,9064.1,9965.116666666667,9794.484528861358,8333.715471138643
2024-01-29,9720,10156,9610,9720,1841374,0.0,0.0,171.5555139888309,58.60641342224598,9603.4,9092.3,9959.216666666667,9876.284974345825,8308.315025654174
2024-01-30,10050,10060,9200,9250,1475688,-0.048353909465020606,-0.048353909465020606,135.1319804926387,48.68205369356512,9671.2,9088.8,9936.55,9869.304862252648,8308.295137747351
2024-01-31,9350,9520,9250,9310,454678,0.00648648648648642,0.00648648648648642,110.44118668903965,49.84958874575322,9573.0,9096.05,9912.166666666666,9881.926701525133,8310.173298474865
2024-02-01,9180,9380,9140,9320,459635,0.0010741138560688146,0.0010741138560688146,90.95597803930366,50.05354581139024,9464.0,9111.05,9877.5,9901.983745644997,8320.116254355002
2024-02-02,9330,9820,9310,9650,700983,0.03540772532188852,0.03540772532188852,95.9693214994629,56.36079144957125,9450.0,9142.1,9853.633333333333,9965.790937184589,8318.409062815412
2024-02-05,9690,9780,9380,9600,538923,-0.005181347150259086,-0.005181347150259086,91.60562931093352,55.222914873146024,9426.0,9170.65,9832.416666666666,10015.979823205134,8325.320176794865
2024-02-06,9600,9730,9410,9600,381932,0.0,0.0,84.575440228129,55.222914873146024,9496.0,9195.55,9810.9,10060.436229512312,8330.663770487687
2024-02-07,9740,9740,9560,9670,345635,0.007291666666666696,0.007291666666666696,80.5169486102822,56.644141282994894,9568.0,9229.4,9793.566666666668,10112.72336095001,8346.076639049988
2024-02-08,9700,9900,9670,9810,668866,0.014477766287487093,0.014477766287487093,82.8175342835209,59.41842592603902,9666.0,9269.35,9779.933333333332,10181.356419933558,8357.343580066443
2024-02-13,9900,10170,9880,9980,586194,0.017329255861366022,0.017329255861366022,90.70903790611682,62.55198307030289,9732.0,9318.7,9766.866666666667,10271.456443168989,8365.943556831013
2024-02-14,9800,9980,9790,9910,303398,-0.007014028056112176,-0.007014028056112176,86.16815136312172,60.48106940348268,9794.0,9371.85,9749.75,10331.991713498597,8411.708286501404
2024-02-15,10000,10010,9910,9920,399282,0.0010090817356205317,0.0010090817356205317,78.98194275423063,60.68133498627381,9858.0,9426.85,9733.1,10380.242946271379,8473.457053728622
2024-02-16,9960,10020,9840,9930,522497,0.0010080645161290036,0.0010080645161290036,70.33439462882595,60.89474800413461,9910.0,9494.6,9718.75,10386.844450809318,8602.355549190683
2024-02-19,9990,10070,9930,9960,474382,0.0030211480362538623,0.0030211480362538623,62.34027293125979,61.56867589350838,9940.0,9568.85,9703.233333333334,10349.523113409203,8788.176886590798
2024-02-20,9930,9930,9690,9740,591029,-0.02208835341365467,-0.02208835341365467,39.0782692821664,54.19291301785385,9892.0,9617.55,9684.35,10308.13568621136,8926.964313788638
2024-02-21,9730,9760,9330,9390,878893,-0.035934291581108835,-0.035934291581108835,-0.9192778929023007,44.96414870919861,9788.0,9652.85,9659.633333333333,10207.80667398457,9097.89332601543
2024-02-22,9340,9370,9050,9260,1119475,-0.013844515441959526,-0.013844515441959526,-35.26762075281259,42.096616894594206,9656.0,9670.3,9633.35,10147.329181497333,9193.270818502666
2024-02-23,9270,9300,9080,9260,721227,0.0,0.0,-55.89787656269591,42.096616894594206,9522.0,9643.25,9605.4,10148.109138770427,9138.390861229573
2024-02-26,9200,9250,9130,9140,387324,-0.01295896328293733,-0.01295896328293733,-74.37914616415344,39.40623418068944,9358.0,9607.0,9575.45,10145.928566695084,9068.071433304916
2024-02-27,9200,9240,9100,9120,310472,-0.002188183807439792,-0.002188183807439792,-83.99336265036354,38.95933268179982,9234.0,9577.0,9545.016666666666,10152.954859342308,9001.045140657692
2024-02-28,9080,9200,9050,9180,398435,0.006578947368421018,0.006578947368421018,-82.24903794335049,41.11679996862665,9192.0,9550.0,9520.133333333333,10146.858442178727,8953.141557821273
2024-02-29,9120,9380,9120,9380,571446,0.02178649237472774,0.02178649237472774,-64.3549049222211,47.7466338666044,9216.0,9556.5,9496.3,10142.888096741415,8970.111903258585
2024-03-04,9420,9440,9200,9200,413739,-0.019189765458422214,-0.019189765458422214,-61.38045934993936,43.04878213048276,9204.0,9551.0,9469.166666666666,10148.49142253259,8953.50857746741
2024-03-05,9190,9900,9190,9420,2455365,0.023913043478260843,0.023913043478260843,-42.24634617024015,49.57866972943949,9260.0,9556.0,9442.516666666666,10147.317173773956,8964.682826226044
2024-03-06,9420,9460,9230,9230,831435,-0.02016985138004246,-0.02016985138004246,-40.05566242626456,44.80110063114586,9282.0,9535.0,9415.283333333333,10141.118800236405,8928.881199763595
2024-03-07,9360,9420,8870,8880,1145932,-0.037919826652221045,-0.037919826652221045,-58.719162519344614,37.61112306146994,9222.0,9499.0,9380.85,10167.69724090953,8830.30275909047
2024-03-08,8920,8980,8710,8840,1144544,-0.0045045045045044585,-0.0045045045045044585,-69.55798088144226,36.88261035179332,9114.0,9461.0,9349.683333333332,10186.39368621461,8735.60631378539
2024-03-11,8920,9000,8840,8860,578339,0.002262443438914019,0.002262443438914019,-70.93665501737011,37.534116332919666,9046.0,9420.5,9320.666666666666,10184.13538419852,8656.86461580148
2024-03-12,8980,8980,8830,8960,539997,0.011286681715575675,0.011286681715575675,-61.046529558224705,40.82320445644302,8954.0,9378.0,9293.316666666668,10144.801147625654,8611.198852374346
2024-03-13,9020,9350,8920,9300,1407989,0.0379464285714286,0.0379464285714286,-29.156418839490897,50.38813415915343,8968.0,9344.0,9269.366666666667,10059.608831695097,8628.391168304903
2024-03-14,9310,11660,9310,10260,17058639,0.10322580645161294,0.10322580645161294,54.48452907284849,66.73652357223636,9244.0,9361.5,9264.45,10145.471300495126,8577.528699504874
2024-03-15,10400,10590,10040,10100,2756505,-0.015594541910331383,-0.015594541910331383,94.57733771951348,63.00976947989021,9496.0,9370.5,9250.95,10183.506150038253,8557.493849961747
2024-03-18,10400,11270,10280,10610,8773352,0.05049504950495054,0.05049504950495054,147.81555893676904,68.9598845194235,9846.0,9404.5,9276.083333333334,10353.720206274615,8455.279793725385
2024-03-19,10620,10870,10320,10400,1971826,-0.01979264844486328,-0.01979264844486328,160.2166150485618,64.36848174584594,10134.0,9426.5,9304.983333333334,10444.130089963941,8408.869910036059
2024-03-20,10600,10600,10150,10340,1391761,-0.005769230769230749,-0.005769230769230749,155.5791268649227,63.07627634194018,10342.0,9456.5,9335.316666666668,10542.414821705654,8370.585178294346
2024-03-21,10330,10420,10180,10270,1044448,-0.0067698259187620735,-0.0067698259187620735,139.51254106331032,61.52446958497736,10344.0,9500.5,9360.083333333334,10641.963534240153,8359.036465759847
2024-03-22,10350,10680,10290,10340,1671690,0.006815968841285214,0.006815968841285214,125.741150902567,62.51754961690767,10392.0,9554.5,9383.75,10746.414006965275,8362.585993034725
2024-03-25,10370,10480,10110,10230,959618,-0.010638297872340385,-0.010638297872340385,102.3564949276545,59.901092011903316,10316.0,9603.0,9406.483333333334,10821.673048852734,8384.326951147266
2024-03-26,10240,10300,10060,10130,773411,-0.009775171065493637,-0.009775171065493637,74.5771779694924,57.54333637569818,10262.0,9652.5,9427.866666666667,10872.350400663958,8432.649599336042
2024-03-27,10100,10580,10060,10400,1558000,0.026653504442250675,0.026653504442250675,68.94216948238247,61.903453066410805,10274.0,9716.5,9452.533333333333,10952.093379716813,8480.906620283187
2024-03-28,10500,10520,10250,10250,1080497,-0.014423076923076872,-0.014423076923076872,50.52162904145021,58.3201537393598,10270.0,9770.0,9470.766666666666,11000.690862889627,8539.309137110373
2024-03-29,9940,11240,9700,10410,12938000,0.01560975609756099,0.01560975609756099,44.72132680860676,60.91881315488054,10284.0,9821.5,9488.933333333332,11068.69324885922,8574.30675114078
2024-04-01,10530,10990,10520,10790,5747116,0.036503362151777186,0.036503362151777186,61.07316390743631,66.29384206262367,10396.0,9901.0,9516.016666666666,11181.841910619734,8620.158089380266
2024-04-02,10620,11230,10410,10830,8145451,0.003707136237256714,0.003707136237256714,68.61513866787118,66.81128747808424,10536.0,9971.5,9546.183333333332,11293.245436912877,8649.754563087123
2024-04-03,10830,10910,10140,10720,4089196,-0.010156971375807955,-0.010156971375807955,60.51086225744143,63.905838797653914,10600.0,10046.0,9574.366666666667,11360.114150292893,8731.885849707107
2024-04-04,10990,11450,10830,11420,10991536,0.06529850746268662,0.06529850746268662,94.57904948962147,72.1930258176479,10834.0,10173.0,9614.216666666667,11502.67815654767,8843.32184345233
2024-04-05,12630,13820,12010,12790,60912237,0.11996497373029769,0.11996497373029769,195.83647921955458,81.26119042046292,11310.0,10370.5,9675.683333333332,11991.110687364491,8749.889312635509
2024-04-08,12790,13430,12470,13100,20644411,0.024237685691946842,0.024237685691946842,265.8056680922158,82.64069693702965,11772.0,10582.5,9744.133333333333,12448.060237569402,8716.939762430598
2024-04-09,13170,13730,12640,13000,13213465,-0.007633587786259555,-0.007633587786259555,285.7250262004042,80.57991724968534,12206.0,10784.5,9810.616666666667,12774.338938205805,8794.661061794195
2024-04-11,12840,13270,12610,12950,6045230,-0.0038461538461538325,-0.0038461538461538325,275.76957240450474,79.51227327896251,12652.0,10967.0,9876.566666666668,13046.270064229271,8887.729935770729
2024-04-12,13330,14250,13170,13330,39353665,0.02934362934362933,0.02934362934362933,274.42410742063396,81.51664686727452,13034.0,11120.5,9951.283333333333,13410.892761078325,8830.107238921675
2024-04-15,13500,13850,13200,13380,9813698,0.0037509377344335793,0.0037509377344335793,256.86045100773845,81.76937727242432,13152.0,11284.5,10027.283333333333,13723.98744616569,8845.01255383431
2024-04-16,13230,13460,11740,11990,12284180,-0.1038863976083707,-0.1038863976083707,137.56938947463198,58.01876957552446,12930.0,11353.5,10084.2,13790.836866335878,8916.163133664122
2024-04-17,11950,12430,11900,12110,5672528,0.010008340283569561,0.010008340283569561,56.822119662846035,59.12263977039007,12752.0,11439.0,10144.783333333333,13856.43583161994,9021.56416838006
2024-04-18,12500,13230,12290,13100,10065225,0.08175061932287364,0.08175061932287364,59.858115513441135,66.86377286692566,12782.0,11577.0,10217.016666666666,14042.36893790767,9111.63106209233
2024-04-19,13110,13170,12100,12750,7311102,-0.026717557251908386,-0.026717557251908386,29.596588941424443,62.36706637251338,12666.0,11701.0,10284.783333333333,14140.277761961517,9261.722238038483
2024-04-22,12900,13250,12260,12450,5357633,-0.02352941176470591,-0.02352941176470591,-16.825393799261178,58.72170795274933,12480.0,11806.5,10343.766666666666,14182.902954046302,9430.097045953698
2024-04-23,12560,12760,12210,12400,2990197,-0.004016064257028162,-0.004016064257028162,-54.95015591213746,58.11205235444852,12562.0,11915.0,10387.083333333334,14189.550505044894,9640.449494955106
2024-04-24,12530,12670,12240,12650,3860350,0.02016129032258074,0.02016129032258074,-66.6052761853449,60.329765364636955,12670.0,12041.0,10433.5,14181.298110077189,9900.701889922811
2024-04-25,12470,12570,12280,12300,2271634,-0.02766798418972327,-0.02766798418972327,-99.1975484850384,55.870041441669834,12510.0,12136.0,10476.5,14140.898002393134,10131.101997606866
2024-04-26,12560,14090,12560,13800,33239861,0.12195121951219523,0.12195121951219523,-24.91551194349256,67.09618306633381,12720.0,12313.5,10544.5,14246.36600673714,10380.63399326286
