Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,2800,2805,2735,2755,1276327,-0.026501766784452263,-0.026501766784452263,10.911778329103198,50.31372903439179,2771.0,2730.5,2781.1666666666665,2821.8728624920996,2639.1271375079004,0
2024-01-03,2745,2745,2675,2675,1535305,-0.029038112522686066,-0.029038112522686066,3.361964837102743,42.86462695134912,2759.0,2727.25,2777.9166666666665,2821.614982912096,2632.885017087904,0
2024-01-04,2660,2670,2620,2625,1477686,-0.01869158878504673,-0.01869158878504673,-4.680958009240557,38.98020630815328,2729.0,2722.25,2773.4166666666665,2826.627919120857,2617.872080879143,0
2024-01-05,2625,2635,2570,2575,1520501,-0.01904761904761909,-0.01904761904761909,-12.60066008970257,35.51431215069691,2692.0,2713.5,2768.75,2835.036002896262,2591.963997103738,0
2024-01-08,2575,2585,2510,2520,1542558,-0.021359223300970842,-0.021359223300970842,-20.318334777439993,32.13007865331055,2630.0,2702.75,2763.25,2850.0753202949177,2555.4246797050823,0
2024-01-09,2550,2565,2525,2550,989078,0.011904761904761862,0.011904761904761862,-22.03399832991873,35.72776708001088,2589.0,2695.5,2758.5833333333335,2857.2065242963317,2533.7934757036683,1
2024-01-10,2550,2550,2500,2510,984159,-0.015686274509803977,-0.015686274509803977,-24.314796190699134,33.20069949517584,2556.0,2686.5,2751.8333333333335,2867.3341781854306,2505.6658218145694,0
2024-01-11,2535,2560,2515,2530,1183966,0.007968127490039834,0.007968127490039834,-22.94576792679348,35.65147899956766,2537.0,2678.25,2745.9166666666665,2871.4150848367794,2485.0849151632206,1
2024-01-12,2540,2605,2525,2550,1499115,0.007905138339920903,0.007905138339920903,-19.3085680340657,38.09731045983896,2532.0,2671.75,2740.3333333333335,2872.828964588542,2470.671035411458,1
2024-01-15,2535,2610,2535,2600,834654,0.019607843137254832,0.019607843137254832,-12.48185208794255,43.84389292092493,2548.0,2668.25,2733.8333333333335,2871.7512284975205,2464.7487715024795,1
2024-01-16,2575,2590,2540,2555,877106,-0.017307692307692357,-0.017307692307692357,-10.048106398205327,40.224635797647935,2549.0,2661.25,2727.0,2870.148898991833,2452.351101008167,0
2024-01-17,2560,2565,2490,2490,1078002,-0.025440313111546042,-0.025440313111546042,-11.748821939171961,35.64720918404859,2545.0,2652.5,2719.1666666666665,2874.299458971387,2430.700541028613,0
2024-01-18,2490,2490,2420,2435,1486045,-0.02208835341365467,-0.02208835341365467,-15.286828782845511,32.29802345829448,2526.0,2640.75,2712.25,2881.670630083852,2399.829369916148,0
2024-01-19,2450,2475,2440,2440,951573,0.002053388090349051,0.002053388090349051,-15.927044451720192,32.91508794118437,2504.0,2623.25,2706.25,2869.0603944100008,2377.4396055899992,1
2024-01-22,2450,2490,2445,2470,562003,0.012295081967213184,0.012295081967213184,-13.08567703704908,36.64619604294632,2478.0,2607.25,2700.5833333333335,2849.1895585678376,2365.3104414321624,1
2024-01-23,2475,2630,2475,2620,2005807,0.06072874493927127,0.06072874493927127,-0.5231254070512321,51.246799244175776,2491.0,2600.0,2698.1666666666665,2831.041121880933,2368.958878119067,1
2024-01-24,2615,2710,2580,2685,2389083,0.024809160305343525,0.024809160305343525,12.050617327521195,55.98098410234341,2530.0,2597.5,2697.0,2823.674711230058,2371.325288769942,1
2024-01-25,2680,2705,2645,2690,885182,0.0018621973929235924,0.0018621973929235924,20.115712434823216,56.33225660857501,2581.0,2593.25,2695.8333333333335,2808.871775338207,2377.628224661793,1
2024-01-26,2670,2710,2650,2655,819395,-0.013011152416356864,-0.013011152416356864,22.333534613573576,53.13576553838905,2624.0,2588.0,2693.9166666666665,2791.9215535444946,2384.0784464555054,0
2024-01-29,2655,2800,2650,2775,3495391,0.04519774011299438,0.04519774011299438,30.610972746565615,61.253683426302054,2685.0,2585.25,2692.9166666666665,2777.1738130092253,2393.3261869907747,1
2024-01-30,2805,3100,2795,3010,15641527,0.08468468468468471,0.08468468468468471,49.52180652083599,71.62109012146348,2763.0,2598.0,2698.9166666666665,2855.883694715273,2340.116305284727,1
2024-01-31,2995,3040,2935,3035,4100253,0.008305647840531671,0.008305647840531671,60.59152990883304,72.4651613155566,2833.0,2616.0,2704.5,2935.712370733446,2296.287629266554,1
2024-02-01,3020,3585,2995,3355,42923987,0.10543657331136735,0.10543657331136735,84.85441449555816,80.47166934270979,2966.0,2652.5,2713.75,3106.4768716575772,2198.5231283424228,1
2024-02-02,3470,3580,3235,3540,19732300,0.055141579731743606,0.055141579731743606,107.30583143478547,83.46509656213445,3143.0,2700.75,2726.3333333333335,3294.982908883377,2106.517091116623,1
2024-02-05,3605,3740,3460,3690,14550218,0.04237288135593231,0.04237288135593231,124.96672524216268,85.41698550899295,3326.0,2759.25,2742.5,3486.307597443284,2032.1924025567162,1
2024-02-06,3690,3745,3495,3545,7367691,-0.03929539295392959,-0.03929539295392959,119.58816345051886,76.06891287947651,3433.0,2809.0,2755.5,3604.886926642221,2013.1130733577788,0
2024-02-07,3555,3690,3460,3660,5903490,0.03244005641748937,0.03244005641748937,116.37089731249714,78.11463289709697,3558.0,2866.5,2770.5,3730.890536736723,2002.1094632632771,1
2024-02-08,3605,3780,3585,3645,5861335,-0.004098360655737654,-0.004098360655737654,106.11541471546187,77.18778082737484,3616.0,2922.25,2784.8333333333335,3835.1052733045913,2009.3947266954087,0
2024-02-13,3650,3815,3510,3550,9117384,-0.026063100137174167,-0.026063100137174167,86.63885213845552,71.40885491742867,3618.0,2972.25,2796.8333333333335,3907.3461180541817,2037.1538819458183,0
2024-02-14,3500,3605,3380,3455,5955165,-0.026760563380281654,-0.026760563380281654,62.20622139652724,66.08091518080248,3571.0,3015.0,2808.6666666666665,3956.270418105233,2073.729581894767,0
2024-02-15,3450,3455,3310,3365,4857865,-0.02604920405209843,-0.02604920405209843,36.12532977782314,61.40652117099974,3535.0,3055.5,2819.0,3983.7289588242766,2127.2710411757234,0
2024-02-16,3380,3460,3330,3440,4276043,0.022288261515601704,0.022288261515601704,20.82612120490529,63.710276556873424,3491.0,3103.0,2831.5833333333335,4007.540767461589,2198.459232538411,1
2024-02-19,3415,3560,3405,3505,4546934,0.018895348837209225,0.018895348837209225,12.401028902217632,65.62540038871192,3463.0,3156.5,2844.3333333333335,4022.4220519192245,2290.5779480807755,1
2024-02-20,3510,3525,3340,3390,3413554,-0.032810271041369465,-0.032810271041369465,-2.7892871762582274,59.62963638712452,3431.0,3204.0,2855.25,4009.6214992165987,2398.3785007834013,0
2024-02-21,3395,3515,3370,3415,3892385,0.007374631268436627,0.007374631268436627,-12.482782699430317,60.47505287507328,3423.0,3251.25,2865.6666666666665,3986.946098943035,2515.553901056965,1
2024-02-22,3465,3475,3320,3360,3473961,-0.016105417276720324,-0.016105417276720324,-23.29979085521572,57.61639928912067,3422.0,3288.25,2874.8333333333335,3965.334005127872,2611.165994872128,0
2024-02-23,3405,3515,3355,3385,4629615,0.007440476190476275,0.007440476190476275,-29.095431479446518,58.57493969681684,3411.0,3323.25,2884.25,3941.8231565465803,2704.6768434534197,1
2024-02-26,3235,3250,3005,3060,8497439,-0.09601181683899562,-0.09601181683899562,-53.709827119029285,44.48881694543203,3322.0,3341.75,2888.0,3902.929784026474,2780.570215973526,0
2024-02-27,3050,3090,3010,3030,3045410,-0.009803921568627416,-0.009803921568627416,-69.88050014298202,43.45010990588634,3250.0,3360.5,2891.5,3848.99667347895,2872.00332652105,0
2024-02-28,3010,3120,2990,3100,2997940,0.02310231023102305,0.02310231023102305,-73.37007983589876,46.58394061908822,3187.0,3376.75,2897.6666666666665,3804.0470278389494,2949.4529721610506,1
2024-02-29,3120,3185,3100,3150,3230708,0.016129032258064502,0.016129032258064502,-69.83759439193173,48.767890432100906,3145.0,3383.75,2904.0833333333335,3790.897086444199,2976.602913555801,1
2024-03-04,3185,3310,3185,3245,2821253,0.03015873015873005,0.03015873015873005,-59.05802440819491,52.72300406279522,3117.0,3394.25,2912.5,3774.845257458629,3013.654742541371,1
2024-03-05,3230,3275,3150,3160,2296224,-0.026194144838212585,-0.026194144838212585,-55.65377940857479,49.07264021483618,3137.0,3384.5,2919.75,3778.37688431793,2990.62311568207,0
2024-03-06,3140,3210,3120,3170,1744127,0.0031645569620253333,0.0031645569620253333,-50.86117708978601,49.51549350938202,3165.0,3366.0,2926.75,3763.663174055632,2968.336825944368,1
2024-03-07,3185,3220,3120,3200,2618518,0.009463722397476282,0.009463722397476282,-44.05733924614471,50.89505136129184,3185.0,3341.5,2934.5,3716.0010013337746,2966.9989986662254,1
2024-03-08,3260,3275,3145,3150,1970170,-0.015625,-0.015625,-41.354563879593485,48.51549653448891,3185.0,3321.75,2942.0833333333335,3692.8871040464696,2950.6128959535304,0
2024-03-11,3120,3155,3100,3130,1396101,-0.006349206349206327,-0.006349206349206327,-39.35515364295818,47.55767315983253,3162.0,3295.25,2949.4166666666665,3640.79992403414,2949.70007596586,0
2024-03-12,3145,3170,3115,3150,1937740,0.006389776357827559,0.006389776357827559,-35.25900652319326,48.64945210787885,3160.0,3270.5,2957.0,3581.4807067970614,2959.5192932029386,1
2024-03-13,3155,3245,3145,3190,1924237,0.012698412698412653,0.012698412698412653,-28.706676461822155,50.85320377764497,3164.0,3252.5,2965.5,3537.2542800380706,2967.7457199619294,1
2024-03-14,3200,3285,3170,3265,3083909,0.023510971786833812,0.023510971786833812,-18.65929592981488,54.77248356865635,3177.0,3243.0,2975.4166666666665,3512.358497174305,2973.641502825695,1
2024-03-15,3260,3345,3205,3250,4717077,-0.004594180704441064,-0.004594180704441064,-12.649047196967771,53.84758948469271,3197.0,3237.25,2984.6666666666665,3500.7926910388524,2973.7073089611476,0
2024-03-18,3275,3280,3155,3190,2129017,-0.018461538461538418,-0.018461538461538418,-12.32722676822813,50.196302490294194,3209.0,3224.75,2993.4166666666665,3471.842593980475,2977.657406019525,0
2024-03-19,3160,3240,3150,3160,1968818,-0.009404388714733591,-0.009404388714733591,-13.645047198115492,48.42810069165198,3211.0,3207.5,3001.5833333333335,3419.6202489155617,2995.3797510844383,0
2024-03-20,3175,3250,3160,3170,1732000,0.0031645569620253333,0.0031645569620253333,-13.33767405315798,49.07209106239921,3207.0,3196.5,3007.9166666666665,3391.7716057188036,3001.2283942811964,1
2024-03-21,3200,3265,3195,3250,2354274,0.025236593059936974,0.025236593059936974,-7.530138344550831,54.01884999703056,3204.0,3188.25,3015.5833333333335,3358.1992571328274,3018.3007428671726,1
2024-03-22,3260,3285,3185,3195,1845777,-0.01692307692307693,-0.01692307692307693,-7.17786982215334,50.39469230729287,3193.0,3180.0,3022.75,3330.7315494513336,3029.2684505486664,0
2024-03-25,3205,3205,3100,3110,2169751,-0.026604068857590035,-0.026604068857590035,-12.16149368129594,45.33277573585588,3177.0,3166.25,3029.0,3286.8267390502824,3045.6732609497176,0
2024-03-26,3115,3150,3075,3085,1967143,-0.008038585209003246,-0.008038585209003246,-16.371523380853425,43.93497166142826,3162.0,3167.5,3034.1666666666665,3284.0975986030585,3050.9024013969415,0
2024-03-27,3075,3085,2985,3015,3960024,-0.02269043760129663,-0.02269043760129663,-22.710463392988814,40.19751700391166,3131.0,3166.75,3038.4166666666665,3287.011174117002,3046.488825882998,0
2024-03-28,2910,2965,2885,2900,3653704,-0.03814262023217252,-0.03814262023217252,-32.87149856703064,34.9390289016019,3061.0,3156.75,3039.5833333333335,3322.287760042837,2991.212239957163,0
2024-03-29,2910,2920,2810,2835,2781608,-0.022413793103448265,-0.022413793103448265,-41.62968670279211,32.3621212865302,2989.0,3141.0,3040.9166666666665,3358.0391669722308,2923.9608330277692,0
2024-04-01,2835,2865,2810,2835,1690617,0.0,0.0,-44.80644817336277,32.3621212865302,2934.0,3120.5,3043.5833333333335,3369.4759024484097,2871.5240975515903,0
2024-04-02,2825,2890,2820,2860,1466057,0.008818342151675429,0.008818342151675429,-42.62078390051689,34.516470570228606,2889.0,3105.5,3047.5,3378.170130377348,2832.829869622652,1
2024-04-03,2865,2875,2820,2830,1439959,-0.010489510489510523,-0.010489510489510523,-40.601461314133815,33.15188644819567,2852.0,3088.5,3051.75,3384.3732836874597,2792.6267163125403,0
2024-04-04,2845,2885,2835,2860,900610,0.010600706713780994,0.010600706713780994,-34.87065592877593,35.881745998552844,2844.0,3071.5,3057.4166666666665,3378.649800585968,2764.350199414032,1
2024-04-05,2845,2860,2805,2805,1441642,-0.019230769230769273,-0.019230769230769273,-32.459007462430414,33.204580249624556,2838.0,3054.25,3061.6666666666665,3380.0148691924896,2728.4851308075104,0
2024-04-08,2805,2885,2805,2860,1376473,0.019607843137254832,0.019607843137254832,-25.160241184099647,38.172431072905475,2843.0,3040.75,3067.5,3375.104228326785,2706.395771673215,1
2024-04-09,2870,2910,2815,2820,1106007,-0.013986013986013957,-0.013986013986013957,-21.186270312997763,36.0712428660741,2835.0,3024.25,3072.3333333333335,3367.8526047631185,2680.6473952368815,0
