Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2024-01-02,44300,44800,41800,43200,1568348,-0.02483069977426633,-0.02483069977426633,1088.2226542614058,71.19892053550961,41490.0,36245.0,34970.0,43159.831885158164,29330.16811484184,42200.0
2024-01-03,43200,44600,42000,42200,1301651,-0.02314814814814814,-0.02314814814814814,978.5947949193865,66.77243577180957,42410.0,36595.0,35098.333333333336,43956.990220042404,29233.009779957596,40250.0
2024-01-04,41250,41650,39750,40250,1322181,-0.04620853080568721,-0.04620853080568721,724.6702537766362,59.06146472483438,42850.0,36802.5,35151.666666666664,44329.08455077733,29275.91544922267,39200.0
2024-01-05,40400,40700,38650,39200,953839,-0.02608695652173909,-0.02608695652173909,449.3987193513924,55.35461436897174,41830.0,36955.0,35187.5,44545.84316792278,29364.156832077217,39200.0
2024-01-08,40250,40600,38650,39200,994712,0.0,0.0,241.16176821901126,55.35461436897174,40810.0,37232.5,35183.333333333336,44724.91449734329,29740.085502656704,39550.0
2024-01-09,39800,40300,39250,39550,665470,0.008928571428571397,0.008928571428571397,107.643446176912,56.41219610263843,40080.0,37482.5,35207.5,44933.75996057042,30031.240039429576,40100.0
2024-01-10,39950,40850,38750,40100,775406,0.013906447534766109,0.013906447534766109,40.4747559538946,58.09220470291731,39660.0,37772.5,35276.666666666664,45156.90755917494,30388.09244082506,39750.0
2024-01-11,40000,40150,38800,39750,615089,-0.00872817955112215,-0.00872817955112215,-39.11432431032949,56.59723708523311,39560.0,38090.0,35336.666666666664,45237.34915895397,30942.650841046034,39150.0
2024-01-12,39950,40100,39000,39150,363067,-0.015094339622641506,-0.015094339622641506,-138.18133982456698,54.03027759641962,39550.0,38372.5,35390.833333333336,45211.83293530882,31533.16706469118,38050.0
2024-01-15,39150,39350,37600,38050,522237,-0.028097062579821253,-0.028097062579821253,-275.8573798336224,49.589681984506065,39320.0,38545.0,35460.0,45165.566441023,31924.433558976998,37350.0
2024-01-16,37950,38400,36750,37350,419749,-0.018396846254927768,-0.018396846254927768,-404.35980260287215,46.9455190677957,38880.0,38685.0,35529.166666666664,45076.17360114713,32293.82639885287,36100.0
2024-01-17,37250,37500,36000,36100,397742,-0.03346720214190091,-0.03346720214190091,-554.5541677829533,42.57942274523003,38080.0,38815.0,35590.833333333336,44876.27874297165,32753.721257028352,35750.0
2024-01-18,36000,36550,35400,35750,303314,-0.00969529085872578,-0.00969529085872578,-651.7713468571892,41.41789417626225,37280.0,38892.5,35666.666666666664,44752.045630848865,33032.954369151135,34450.0
2024-01-19,36000,36100,34100,34450,540409,-0.036363636363636376,-0.036363636363636376,-769.8284287355841,37.34314391301234,36340.0,38900.0,35730.833333333336,44736.35160010087,33063.64839989913,34400.0
2024-01-22,34750,34850,34050,34400,318975,-0.0014513788098693414,-0.0014513788098693414,-813.2321361620202,37.191589336434085,35610.0,38882.5,35796.666666666664,44770.39223746495,32994.60776253505,34000.0
2024-01-23,34500,34700,33600,34000,497006,-0.011627906976744207,-0.011627906976744207,-828.0519224915774,35.9351198526101,34940.0,38847.5,35875.0,44841.78686333912,32853.21313666088,33400.0
2024-01-24,34100,34100,33050,33400,380436,-0.01764705882352946,-0.01764705882352946,-835.0552180867471,34.075495074542914,34400.0,38637.5,35950.0,45070.141370385885,32204.85862961412,33650.0
2024-01-25,33550,34050,33050,33650,374657,0.007485029940119681,0.007485029940119681,-780.6438903913615,35.571583037721,33980.0,38417.5,36022.5,45206.55553077893,31628.44446922107,34700.0
2024-01-26,33350,35400,33100,34700,467478,0.031203566121842385,0.031203566121842385,-637.758021936306,41.569291828670934,34030.0,37937.5,36113.333333333336,44341.62952710983,31533.370472890172,32850.0
2024-01-29,34900,34950,32600,32850,468783,-0.053314121037464024,-0.053314121037464024,-630.5259842359503,35.32898202136438,33720.0,37365.0,36165.833333333336,43429.82481197931,31300.175188020683,32750.0
2024-01-30,33050,33250,32350,32750,379811,-0.0030441400304414,-0.0030441400304414,-595.5802470265642,35.022927412225414,33470.0,36842.5,36180.0,42599.259070866174,31085.740929133826,30850.0
2024-01-31,32250,32450,30550,30850,712034,-0.05801526717557248,-0.05801526717557248,-658.6103601734283,29.74957443291072,32960.0,36275.0,36164.166666666664,42045.05199283334,30504.948007166662,28900.0
2024-02-01,30450,30950,28550,28900,1103860,-0.06320907617504057,-0.06320907617504057,-781.4354724893403,25.50507317985162,32010.0,35707.5,36062.5,42010.14031973902,29404.85968026098,30050.0
2024-02-02,29150,30450,29150,30050,396477,0.03979238754325265,0.03979238754325265,-735.6844291715927,31.69448775854974,31080.0,35250.0,35972.5,41795.83837258452,28704.16162741548,30000.0
2024-02-05,29750,30600,29400,30000,317996,-0.0016638935108153063,-0.0016638935108153063,-661.5758856096968,31.571665461518492,30510.0,34790.0,35870.833333333336,41452.85224209572,28127.14775790428,33100.0
2024-02-06,30350,33350,30350,33100,1201116,0.10333333333333328,0.10333333333333328,-371.04479629093726,45.63759693559305,30580.0,34467.5,35839.166666666664,40793.420881579215,28141.579118420785,32500.0
2024-02-07,32650,33450,32250,32500,390485,-0.01812688821752262,-0.01812688821752262,-195.3740378551438,43.76256141027271,30910.0,34087.5,35820.833333333336,39907.197157069255,28267.802842930745,32500.0
2024-02-08,32050,33550,31800,32500,486439,0.0,0.0,-62.16856579879459,43.76256141027271,31630.0,33725.0,35785.833333333336,38962.79533773514,28487.20466226486,35200.0
2024-02-13,32600,35350,32500,35200,694984,0.08307692307692305,0.08307692307692305,209.88702353197164,53.69199892743897,32660.0,33527.5,35786.666666666664,38199.48833474571,28855.511665254293,34950.0
2024-02-14,34500,35750,33800,34950,480755,-0.007102272727272707,-0.007102272727272707,365.96908960878636,52.76305399826083,33650.0,33372.5,35755.0,37620.496586627625,29124.50341337237,35200.0
2024-02-15,35200,36700,34950,35200,502052,0.007153075822603716,0.007153075822603716,472.2538325990795,53.62708529300082,34070.0,33265.0,35745.0,37202.39761771655,29327.602382283447,34800.0
2024-02-16,35550,36450,34700,34800,297574,-0.011363636363636354,-0.011363636363636354,499.19711286533607,51.98853452196933,34530.0,33200.0,35720.833333333336,36988.13938497516,29411.86061502484,35500.0
2024-02-19,34600,36400,34100,35500,313486,0.02011494252873569,0.02011494252873569,544.0599491245268,54.60267376456109,35130.0,33187.5,35727.5,36943.412006424005,29431.587993576,35350.0
2024-02-20,35600,36150,35200,35350,194624,-0.004225352112676051,-0.004225352112676051,542.3175949904983,53.92510611094723,35160.0,33232.5,35709.166666666664,37068.54940009901,29396.45059990099,36150.0
2024-02-21,35800,37300,35700,36150,713272,0.022630834512022524,0.022630834512022524,570.8460766216043,56.990501800176794,35400.0,33320.0,35715.833333333336,37334.27452972514,29305.72547027486,36300.0
2024-02-22,36000,37500,35700,36300,544314,0.004149377593360981,0.004149377593360981,574.0696663581849,57.56063590644242,35620.0,33435.0,35704.166666666664,37647.493323436844,29222.506676563156,36650.0
2024-02-23,36500,39150,36250,36650,1433394,0.009641873278236845,0.009641873278236845,572.7187660633246,58.928718657178216,35990.0,33597.5,35706.666666666664,38036.69756262322,29158.302437376777,37150.0
2024-02-26,36800,38400,36300,37150,797755,0.013642564802182733,0.013642564802182733,576.8387881207659,60.86936772507564,36320.0,33772.5,35695.0,38474.3586750348,29070.641324965203,34700.0
2024-02-27,37450,37650,34500,34700,715453,-0.06594885598923284,-0.06594885598923284,394.5950594122511,48.72127352301354,36190.0,33772.5,35656.666666666664,38474.3586750348,29070.641324965203,36050.0
2024-02-28,35150,36300,33900,36050,368357,0.03890489913544659,0.03890489913544659,346.70342014020684,54.15115251361298,36170.0,33932.5,35696.666666666664,38714.996732879175,29150.003267120825,34800.0
2024-02-29,35650,36050,34550,34800,309724,-0.03467406380027738,-0.03467406380027738,218.81549341094308,48.979512291167254,35870.0,34035.0,35707.5,38799.567136687234,29270.432863312766,34900.0
2024-03-04,34400,35250,33750,34900,347392,0.002873563218390718,0.002873563218390718,133.1466613155867,49.39588390523311,35520.0,34237.5,35702.5,38782.593508389014,29692.406491610982,35150.0
2024-03-05,34800,35650,34400,35150,437775,0.007163323782235054,0.007163323782235054,87.70002295516352,50.48383212772691,35120.0,34550.0,35686.666666666664,38388.74979648322,30711.250203516778,35650.0
2024-03-06,34800,36000,33750,35650,701082,0.014224751066856278,0.014224751066856278,85.60079413648376,52.67525092475031,35310.0,34830.0,35678.333333333336,38087.97483108755,31572.025168912445,35750.0
2024-03-07,36000,39800,35450,35750,2378492,0.0028050490883591017,0.0028050490883591017,85.05875983102271,53.12210032580436,35250.0,35117.5,35713.333333333336,37523.17558078806,32711.82441921194,38600.0
2024-03-08,35800,38600,35300,38600,1732017,0.07972027972027962,0.07972027972027962,260.82586859184056,63.65498362668338,36010.0,35392.5,35780.833333333336,38056.383443396124,32728.616556603876,39300.0
2024-03-11,39950,41600,38650,39300,2607920,0.0181347150259068,0.0181347150259068,400.0836781461255,65.69385092876051,36890.0,35732.5,35864.166666666664,38563.44948736285,32901.55051263715,38950.0
2024-03-12,38950,39800,38100,38950,815060,-0.008905852417302795,-0.008905852417302795,441.2376231313157,63.76766031359233,37650.0,36055.0,35956.666666666664,38807.98020334328,33302.01979665672,39150.0
2024-03-13,39550,41450,38100,39150,1721731,0.005134788189987249,0.005134788189987249,452.8386538958978,64.4098320888662,38350.0,36252.5,36050.833333333336,39284.40946434751,33220.59053565249,38550.0
2024-03-14,39250,39950,37600,38550,588609,-0.01532567049808431,-0.01532567049808431,393.2221034134179,60.92139715382933,38910.0,36432.5,36116.666666666664,39559.683237355945,33305.316762644055,36000.0
2024-03-15,37800,38250,35350,36000,793233,-0.06614785992217898,-0.06614785992217898,166.7522736482946,48.819679916834964,38390.0,36472.5,36140.833333333336,39555.75720626742,33389.24279373258,37300.0
2024-03-18,36000,38150,36000,37300,592974,0.036111111111111205,0.036111111111111205,92.89190714978122,53.85251854637657,37990.0,36597.5,36204.166666666664,39601.077034137794,33593.922965862206,37600.0
2024-03-19,37800,38500,36750,37600,481320,0.008042895442359255,0.008042895442359255,54.52669488632887,54.9533852912426,37720.0,36702.5,36260.833333333336,39692.061004562376,33712.938995437624,36500.0
2024-03-20,38000,38350,36400,36500,447586,-0.0292553191489362,-0.0292553191489362,-49.0486812476297,50.22251222461574,37190.0,36760.0,36297.5,39686.87546711506,33833.12453288494,38250.0
2024-03-21,36900,38500,36900,38250,547774,0.047945205479452024,0.047945205479452024,-6.074798651254696,56.62073144395195,37130.0,36865.0,36355.833333333336,39846.96244107802,33883.03755892198,38100.0
2024-03-22,38650,39000,38000,38100,438324,-0.0039215686274509665,-0.0039215686274509665,5.2608426910675234,55.95680956573246,37550.0,36955.0,36412.5,39971.769795658925,33938.230204341075,40550.0
2024-03-25,38350,41400,38000,40550,1458722,0.06430446194225725,0.06430446194225725,162.0859497007864,63.48761195609831,38200.0,37150.0,36461.666666666664,40543.37590019143,33756.62409980857,40300.0
2024-03-26,40000,41550,39250,40300,1222464,-0.006165228113440224,-0.006165228113440224,229.20288496715534,62.316696573514996,38740.0,37307.5,36499.166666666664,40968.13860548948,33646.86139451052,38650.0
2024-03-27,40800,40800,37600,38650,866888,-0.04094292803970223,-0.04094292803970223,146.70696638619415,55.094440015592255,39170.0,37505.0,36405.0,41004.27135272473,34005.72864727527,38050.0
2024-03-28,38850,39250,38000,38050,433467,-0.015523932729624823,-0.015523932729624823,41.43535402281793,52.702492566896055,39130.0,37605.0,36300.833333333336,41046.06088292549,34163.93911707451,37400.0
2024-03-29,38150,38600,37000,37400,606397,-0.01708278580814715,-0.01708278580814715,-75.87843283590098,50.16173515488494,38990.0,37735.0,36204.166666666664,40930.011737067645,34539.988262932355,38300.0
2024-04-01,37350,39150,37100,38300,494463,0.02406417112299475,0.02406417112299475,-95.49991759919612,53.504148001804985,38540.0,37905.0,36139.166666666664,40828.85020136121,34981.14979863879,35800.0
2024-04-02,37850,37900,35550,35800,1012394,-0.06527415143603132,-0.06527415143603132,-269.6235627194212,44.56367734734013,37640.0,37937.5,36065.0,40750.48329180961,35124.51670819039,34000.0
2024-04-03,35150,35750,33700,34000,690718,-0.05027932960893855,-0.05027932960893855,-486.17142823320125,39.452044800807855,36710.0,37855.0,35978.333333333336,41007.76069501001,34702.23930498999,34000.0
2024-04-04,34350,34900,33800,34000,336349,0.0,0.0,-601.9782983582045,39.45204480080786,35900.0,37767.5,35891.666666666664,41230.91955298517,34304.08044701483,33000.0
2024-04-05,33000,33850,32750,33000,360290,-0.02941176470588236,-0.02941176470588236,-711.0175102652224,36.736987453841415,35020.0,37487.5,35782.5,41498.593990422065,33476.406009577935,32150.0
2024-04-08,33000,33000,32100,32150,246698,-0.025757575757575757,-0.025757575757575757,-798.9056671430019,34.559854252493,33790.0,37130.0,35650.0,41670.74883692106,32589.251163078938,32300.0
2024-04-09,32100,33050,31950,32300,206643,0.004665629860031162,0.004665629860031162,-803.2909786455749,35.288671751828915,33090.0,36797.5,35525.833333333336,41714.76295819128,31880.237041808727,31800.0
2024-04-11,31550,32300,31450,31800,199876,-0.015479876160990669,-0.015479876160990669,-794.7590579626587,33.9320821849977,32650.0,36430.0,35403.333333333336,41676.656077922395,31183.343922077605,34200.0
2024-04-12,32100,34600,31900,34200,441414,0.07547169811320753,0.07547169811320753,-591.6954820472305,44.884559539101105,32690.0,36212.5,35339.166666666664,41450.23567488853,30974.76432511147,32900.0
2024-04-15,33700,33950,32700,32900,218344,-0.03801169590643272,-0.03801169590643272,-512.1249239667081,40.92682556958046,32670.0,36057.5,35265.0,41491.03246056375,30623.96753943625,32800.0
2024-04-16,32550,33100,32100,32800,203938,-0.003039513677811523,-0.003039513677811523,-436.3801842713317,40.63004309965479,32800.0,35832.5,35210.0,41412.30958456469,30252.69041543531,31900.0
2024-04-17,32700,33150,31900,31900,192482,-0.027439024390243927,-0.027439024390243927,-417.0635901819701,37.96192181422765,32720.0,35547.5,35145.833333333336,41316.16319002939,29778.836809970617,33300.0
2024-04-18,31600,33450,31600,33300,236623,0.043887147335423204,0.043887147335423204,-286.39647327899615,44.11029616779608,33020.0,35387.5,35126.666666666664,41218.78416388706,29556.21583611294,32100.0
2024-04-19,32800,33100,31650,32100,218463,-0.036036036036036,-0.036036036036036,-258.0599625110558,40.41318164827632,32600.0,35080.0,35088.333333333336,40923.66323464999,29236.33676535001,34650.0
2024-04-22,32950,34750,32800,34650,495850,0.07943925233644866,0.07943925233644866,-55.443329742626815,50.003002078282535,32950.0,34907.5,35099.166666666664,40585.72815674044,29229.271843259557,35250.0
2024-04-23,34400,35450,34000,35250,273526,0.017316017316017396,0.017316017316017396,121.46913054991387,51.96203022619051,33440.0,34642.5,35130.0,39703.85110420133,29581.148895798673,35300.0
2024-04-24,35350,36000,34800,35300,266089,0.0014184397163119478,0.0014184397163119478,237.6201021857031,52.13035977102952,34120.0,34392.5,35157.5,38757.39117848314,30027.608821516857,34450.0
2024-04-25,35000,35550,34400,34450,145106,-0.024079320113314484,-0.024079320113314484,251.6206422991744,48.98770684993845,34350.0,34182.5,35153.333333333336,38087.78808156325,30277.211918436748,34750.0
2024-04-26,34500,36100,34050,34750,280171,0.00870827285921627,0.00870827285921627,273.6781585185323,50.130397352180196,34880.0,34017.5,35185.0,37512.53576519612,30522.464234803887,35350.0
2024-04-29,34550,35550,34500,35350,172632,0.01726618705035965,0.01726618705035965,318.15087108559214,52.425704533231716,35020.0,33915.0,35228.333333333336,37115.01562496185,30714.984375038148,36100.0
