Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2020-03-30,78600,82800,77500,82800,92005,0.023485784919653918,0.023485784919653918,1513.338235771258,42.56906701625749,79140.0,84820.0,110573.33333333333,110688.63738197269,58951.36261802731,84700.0
2020-03-31,83400,87000,82200,84700,163297,0.022946859903381744,0.022946859903381744,2030.9774734268922,44.869446235744135,81380.0,83505.0,109726.66666666667,106422.10932905794,60587.890670942055,83800.0
2020-04-01,85500,87500,81700,83800,119882,-0.010625737898465215,-0.010625737898465215,2281.569745013727,43.970997151338224,82420.0,82695.0,108923.33333333333,104332.23411159556,61057.765888404436,83700.0
2020-04-02,82500,84400,80200,83700,91868,-0.0011933174224343368,-0.0011933174224343368,2397.4996629585658,43.865894921834624,83180.0,81830.0,108085.0,101789.06811451864,61870.93188548136,86000.0
2020-04-03,84300,87000,83200,86000,96778,0.027479091995221028,0.027479091995221028,2570.646595086344,47.00354804084646,84200.0,81055.0,107360.0,99000.97169283386,63109.02830716614,90200.0
2020-04-06,87000,90200,86900,90200,94122,0.04883720930232549,0.04883720930232549,2885.9739326073513,52.252089524987866,85680.0,80640.0,106688.33333333333,97290.2132118479,63989.786788152094,95000.0
2020-04-07,92500,95000,90100,95000,97760,0.053215077605321515,0.053215077605321515,3305.6000935757456,57.439761662535595,87740.0,80550.0,105955.0,96865.94312321523,64234.05687678477,93900.0
2020-04-08,96000,96000,92600,93900,70995,-0.011578947368421022,-0.011578947368421022,3384.542891928052,55.93981671291346,89760.0,80655.0,105161.66666666667,97283.22600279399,64026.77399720601,95300.0
2020-04-09,94500,96400,93800,95300,55289,0.014909478168264156,0.014909478168264156,3397.6437484605112,57.46231419764321,92080.0,81220.0,104416.66666666667,98992.96823831051,63447.03176168948,95100.0
2020-04-10,95500,97900,93300,95100,73815,-0.0020986358866736943,-0.0020986358866736943,3258.937203399441,57.15845150468872,93900.0,81555.0,103676.66666666667,100092.79652493776,63017.20347506224,95100.0
2020-04-13,95400,96700,90500,95100,61060,0.0,0.0,3037.6877019732,57.15845150468871,94880.0,82310.0,102970.0,101741.40756610273,62878.59243389727,106000.0
2020-04-14,95200,123000,93800,106000,1515356,0.11461619348054675,0.11461619348054675,3464.989169960989,67.89070475926232,97080.0,83820.0,102428.33333333333,105550.7708100747,62089.229189925296,108500.0
2020-04-16,108000,115500,106000,108500,384546,0.02358490566037741,0.02358490566037741,3732.4241847411977,69.76173503436786,100000.0,85575.0,101970.0,109239.56211299915,61910.437887000844,104500.0
2020-04-17,109000,113000,102500,104500,171765,-0.03686635944700456,-0.03686635944700456,3462.3168538649625,63.39642614538322,101840.0,87600.0,101645.0,110450.47045467544,64749.529545324556,113500.0
2020-04-20,125000,129500,113000,113500,661028,0.0861244019138756,0.0861244019138756,3691.1861764377913,70.02385647716326,105520.0,89945.0,101420.0,113313.99441567813,66576.00558432187,107000.0
2020-04-21,114000,114500,101500,107000,251208,-0.05726872246696035,-0.05726872246696035,3223.2199414103125,61.38006022550902,107900.0,91900.0,101103.33333333333,114076.5642063868,69723.4357936132,116000.0
2020-04-22,109500,130000,105000,116000,1405651,0.08411214953271018,0.08411214953271018,3324.849661081718,67.3836112598614,109900.0,94025.0,100961.66666666667,116876.4222752107,71173.5777247893,113500.0
2020-04-23,119000,119000,111500,113500,288177,-0.02155172413793105,-0.02155172413793105,3036.6823535820304,64.3893292682448,110900.0,95770.0,100770.0,118970.78446949577,72569.21553050423,112500.0
2020-04-24,114000,125000,111500,112500,848762,-0.008810572687224627,-0.008810572687224627,2608.109309892834,63.179950411884505,112500.0,97400.0,100620.0,120492.33639110596,74307.66360889404,112500.0
2020-04-27,112500,116500,112000,112500,164739,0.0,0.0,2171.8724331388903,63.179950411884505,112300.0,98980.0,100528.33333333333,121660.88181707221,76299.11818292779,109500.0
2020-04-28,113000,113000,108000,109500,152230,-0.026666666666666616,-0.026666666666666616,1557.2971441670397,59.304461835601515,112800.0,100315.0,100386.66666666667,122156.9115463825,78473.0884536175,107000.0
2020-04-29,110500,110500,105500,107000,142591,-0.022831050228310557,-0.022831050228310557,891.5192823000616,56.21014133274824,111000.0,101430.0,100195.0,122221.06538876728,80638.93461123272,103000.0
2020-05-04,107000,107500,103000,103000,85515,-0.03738317757009346,-0.03738317757009346,130.79136685926278,51.573444214597316,108900.0,102390.0,99970.0,121544.9367004957,83235.0632995043,104500.0
