Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2020-03-30,50900,51800,49300,51000,101875,-0.0077821011673151474,-0.0077821011673151474,-410.4477128022777,37.885027788834805,51040.0,57802.5,67124.16666666667,70320.34626043949,45284.65373956052,50300.0
2020-03-31,51900,52900,49900,50300,148302,-0.013725490196078383,-0.013725490196078383,-296.5975550779085,37.05904094376166,51300.0,57177.5,66805.83333333333,69881.69123754042,44473.30876245959,51000.0
2020-04-01,50300,52800,49100,51000,141680,0.013916500994035852,0.013916500994035852,-127.62046980584637,38.50296509512942,51060.0,56467.5,66504.16666666667,68882.82420035814,44052.17579964185,52700.0
2020-04-02,51400,53300,49950,52700,104113,0.03333333333333344,0.03333333333333344,131.15958431900708,41.98389408913541,51280.0,55767.5,66152.5,67346.7173742442,44188.282625755804,52200.0
2020-04-03,53200,53200,51200,52200,70802,-0.009487666034155628,-0.009487666034155628,291.9629218748123,41.244438410202164,51440.0,55117.5,65770.83333333333,65940.58990076302,44294.41009923698,54400.0
2020-04-06,53000,54500,52300,54400,81984,0.04214559386973171,0.04214559386973171,554.5690246906743,45.7703262046657,52120.0,54672.5,65425.833333333336,64824.321265172,44520.678734828,59800.0
2020-04-07,55300,60700,54900,59800,192569,0.09926470588235303,0.09926470588235303,1070.1694319100998,54.944349310052594,54020.0,54437.5,65210.833333333336,63859.860373069925,45015.139626930075,61500.0
2020-04-08,62800,65000,61100,61500,210094,0.028428093645485042,0.028428093645485042,1478.7486537460927,57.388295231788284,56120.0,54387.5,64979.166666666664,63647.406856982874,45127.593143017126,62500.0
2020-04-09,62300,62700,60300,62500,125905,0.016260162601626105,0.016260162601626105,1750.787940000515,58.803875340317326,58080.0,54602.5,64765.833333333336,64391.08901987403,44813.91098012597,60800.0
2020-04-10,61600,62300,60400,60800,87812,-0.027200000000000002,-0.027200000000000002,1746.6877987705316,55.432525564376235,59800.0,54827.5,64469.166666666664,64962.56166730121,44692.43833269879,59900.0
2020-04-13,60700,61300,59700,59900,72461,-0.014802631578947345,-0.014802631578947345,1616.7968265235786,53.677950075830346,60900.0,54922.5,64185.833333333336,65209.21351793168,44635.78648206832,61200.0
2020-04-14,59500,62000,59500,61200,74113,0.02170283806343898,0.02170283806343898,1551.5855511552327,55.85168723179175,61180.0,54762.5,63944.166666666664,64541.603997810766,44983.396002189234,62100.0
2020-04-16,61500,62500,60700,62100,60484,0.014705882352941124,0.014705882352941124,1501.2692966961447,57.34407759761763,61300.0,54782.5,63709.166666666664,64619.73919603455,44945.26080396545,63800.0
2020-04-17,62500,64100,62300,63800,113284,0.027375201288244666,0.027375201288244666,1510.5590486322856,60.08853852693395,61560.0,55402.5,63537.5,65852.78588125696,44952.21411874304,67500.0
2020-04-20,64700,68600,63800,67500,193921,0.057993730407523536,0.057993730407523536,1680.91416447845,65.31865261453683,62900.0,56087.5,63415.833333333336,67753.1707908289,44421.829209171105,71300.0
2020-04-21,68000,72000,67000,71300,356690,0.05629629629629629,0.05629629629629629,1945.8422563845957,69.70895420466547,65180.0,57310.0,63369.166666666664,69932.50371360606,44687.49628639394,70900.0
2020-04-22,70900,71000,68900,70900,106113,-0.005610098176718092,-0.005610098176718092,1983.6897330115894,68.72276533175628,67120.0,58405.0,63364.166666666664,71733.83715858209,45076.162841417914,71200.0
2020-04-23,70000,71200,69500,71200,90571,0.004231311706629048,0.004231311706629048,1917.3745865110654,69.0761205016385,68940.0,59355.0,63339.166666666664,73464.92204089019,45245.07795910981,70100.0
2020-04-24,70200,70700,68100,70100,104937,-0.015449438202247201,-0.015449438202247201,1695.533861487298,66.12618394462304,70200.0,60280.0,63322.5,74658.122269615,45901.877730385,73700.0
2020-04-27,71400,75000,70200,73700,191188,0.051355206847360835,0.051355206847360835,1683.9205295579404,70.55768796417983,71440.0,61395.0,63362.5,76294.86241547213,46495.137584527874,72900.0
2020-04-28,73200,73500,71400,72900,85758,-0.01085481682496603,-0.01085481682496603,1520.046728581926,68.41570984720855,71760.0,62490.0,63394.166666666664,77392.06697072588,47587.93302927413,72800.0
2020-04-29,72300,73800,71900,72800,54968,-0.00137174211248281,-0.00137174211248281,1310.5374215227907,68.13725804218554,72140.0,63615.0,63367.5,78056.22917206146,49173.77082793853,71100.0
2020-05-04,71500,73100,69600,71100,98813,-0.02335164835164838,-0.02335164835164838,978.3122454448235,63.41226603841881,72120.0,64620.0,63289.166666666664,78180.4719681875,51059.52803181249,71500.0
2020-05-06,72500,72600,70700,71500,77875,0.005625879043600568,0.005625879043600568,718.3742552908889,64.0440705145263,72400.0,65560.0,63195.833333333336,78264.39294102631,52855.60705897369,72100.0
2020-05-07,71100,72600,71000,72100,55737,0.008391608391608463,0.008391608391608463,528.4970643332063,65.01983494480322,72080.0,66555.0,63112.5,77969.81055471352,55140.18944528648,75700.0
2020-05-08,72900,75800,72600,75700,157753,0.04993065187239942,0.04993065187239942,582.7347408550913,70.2385591821775,72640.0,67620.0,63119.166666666664,78247.24799748266,56992.75200251734,76900.0
2020-05-11,75100,78200,73400,76900,137871,0.01585204755614278,0.01585204755614278,632.6450948835864,71.75143180294485,73460.0,68475.0,63164.166666666664,79199.15497836539,57750.84502163461,80200.0
2020-05-12,77000,81000,76300,80200,233329,0.042912873862158696,0.042912873862158696,809.8019516511831,75.44765927318514,75280.0,69410.0,63297.5,80779.94283187031,58040.057168129686,86000.0
2020-05-13,79700,86500,79100,86000,286113,0.07231920199501252,0.07231920199501252,1215.126053081905,80.32133491121607,78180.0,70585.0,63545.833333333336,83594.57724140178,57575.42275859822,89000.0
2020-05-14,86100,89300,84900,89000,223802,0.03488372093023262,0.03488372093023262,1560.7542272109013,82.28058974681613,81560.0,71995.0,63874.166666666664,86485.33816030527,57504.66183969473,87000.0
2020-05-15,89700,91100,86800,87000,154050,-0.022471910112359605,-0.022471910112359605,1528.2021569179042,76.79148187606982,83820.0,73350.0,64122.5,88128.29489487874,58571.70510512126,83300.0
2020-05-18,87500,88800,83100,83300,135886,-0.042528735632183956,-0.042528735632183956,1148.347358975384,67.78245145970295,85100.0,74455.0,64320.833333333336,88730.4999912437,60179.500008756295,84500.0
2020-05-19,84300,86900,82800,84500,96532,0.014405762304922076,0.014405762304922076,880.8117926911673,69.0506317482138,85960.0,75575.0,64567.5,89301.7439693468,61848.25603065319,85500.0
2020-05-20,84500,86300,84500,85500,93640,0.01183431952662728,0.01183431952662728,682.9293202824665,70.1066385083094,85860.0,76660.0,64854.166666666664,89914.64446901534,63405.355530984656,86800.0
2020-05-21,86100,88000,84700,86800,104632,0.015204678362572999,0.015204678362572999,556.6661489811868,71.46950182047502,85420.0,77625.0,65195.833333333336,90881.828429153,64368.17157084701,84600.0
2020-05-22,86800,87900,84300,84600,75264,-0.025345622119815614,-0.025345622119815614,257.28091407987904,65.9867533840994,84940.0,78290.0,65554.16666666667,91545.32345889753,65034.676541102475,84400.0
2020-05-25,85000,86000,83000,84400,54133,-0.0023640661938534313,-0.0023640661938534313,-7.870675240445053,65.49485347990037,85160.0,78965.0,65889.16666666667,92019.69647291729,65910.30352708271,87700.0
2020-05-26,84400,88700,83900,87700,127255,0.0390995260663507,0.0390995260663507,-14.285832049387864,69.5308349017973,85800.0,79790.0,66289.16666666667,92863.01036487002,66716.98963512998,82800.0
2020-05-27,87100,87300,82800,82800,132821,-0.05587229190421894,-0.05587229190421894,-381.4659954012759,58.57502286078941,85260.0,80425.0,66580.83333333333,92766.94069018317,68083.05930981683,83300.0
2020-05-28,82800,84900,82400,83300,78737,0.006038647342995196,0.006038647342995196,-610.033661993768,59.28009330586666,84560.0,80905.0,66902.5,92905.41249291036,68904.58750708964,84600.0
2020-05-29,84000,86600,82800,84600,125136,0.015606242496998712,0.015606242496998712,-687.2952850479005,61.1324125907408,84560.0,81490.0,67260.83333333333,93003.27928958552,69976.72071041448,86100.0
2020-06-01,85100,88500,85100,86100,100939,0.01773049645390068,0.01773049645390068,-651.3410116043724,63.211867040622394,84900.0,82155.0,67649.16666666667,93106.43369609656,71203.56630390344,95000.0
2020-06-02,86100,95000,85700,95000,350997,0.10336817653890829,0.10336817653890829,-72.57473984915305,72.58417544308702,86360.0,83350.0,68145.83333333333,94430.52345333915,72269.47654666085,89900.0
2020-06-03,95900,95900,89500,89900,215296,-0.05368421052631578,-0.05368421052631578,-77.20618883422685,62.72296442688422,87780.0,84270.0,68532.5,94264.41844231063,74275.58155768937,91100.0
2020-06-04,90500,92800,90000,91100,147307,0.013348164627363657,0.013348164627363657,-45.02998810554709,63.96354815803322,89340.0,85220.0,68964.16666666667,93937.01783868767,76502.98216131233,90800.0
2020-06-05,90100,92700,89200,90800,86998,-0.003293084522502765,-0.003293084522502765,-87.09405850478834,63.39552245121756,90580.0,85975.0,69422.5,93836.77460882714,78113.22539117286,89200.0
2020-06-08,92300,92400,89100,89200,93912,-0.017621145374449365,-0.017621145374449365,-256.24988248234877,60.31891305348829,91200.0,86590.0,69834.16666666667,93365.21955363802,79814.78044636198,91000.0
2020-06-09,89500,92400,89300,91000,92679,0.020179372197309364,0.020179372197309364,-278.6328253204756,62.52245880974318,90400.0,87130.0,70309.16666666667,93490.84899993696,80769.15100006304,90800.0
2020-06-10,92000,92000,89800,90800,57389,-0.00219780219780219,-0.00219780219780219,-334.8482859387923,62.10975308815124,90580.0,87370.0,70852.5,93902.10532676862,80837.89467323138,89400.0
2020-06-11,90000,90800,88700,89400,130295,-0.01541850220264318,-0.01541850220264318,-485.14041552438084,59.16562551638443,90240.0,87390.0,71404.16666666667,93944.35732928858,80835.64267071142,85300.0
2020-06-12,86000,86900,84200,85300,123824,-0.045861297539149914,-0.045861297539149914,-857.7213760387631,51.47080819833592,89140.0,87305.0,71859.16666666667,93921.18470117023,80688.81529882977,80100.0
2020-06-15,85300,86700,80100,80100,107263,-0.060961313012895646,-0.060961313012895646,-1418.341869402243,43.70685997729414,87320.0,87145.0,72120.83333333333,94275.63110811371,80014.36889188629,87200.0
2020-06-16,81000,88500,81000,87200,108566,0.08863920099875156,0.08863920099875156,-1279.2432934021954,53.92605583641996,86560.0,87280.0,72545.83333333333,94306.6919670638,80253.3080329362,86300.0
2020-06-17,87000,88500,83700,86300,79375,-0.010321100917431214,-0.010321100917431214,-1216.4917940508594,52.621996320483596,85660.0,87320.0,73127.5,94314.740881548,80325.259118452,88900.0
2020-06-18,86600,89900,86100,88900,90035,0.030127462340671984,0.030127462340671984,-978.748246310744,55.937030704225506,85560.0,87425.0,73712.5,94448.35389966924,80401.64610033076,88800.0
2020-06-19,89800,91600,88000,88800,85958,-0.0011248593925758943,-0.0011248593925758943,-813.8629094989501,55.77538461977601,86260.0,87635.0,74411.66666666667,94558.3734551878,80711.6265448122,88100.0
2020-06-22,87300,89900,87200,88100,45020,-0.007882882882882858,-0.007882882882882858,-739.722889707009,54.58624801623654,87860.0,87820.0,75063.33333333333,94583.60850434138,81056.39149565862,87300.0
2020-06-23,88300,89900,86100,87300,52135,-0.009080590238365494,-0.009080590238365494,-731.0426072278119,53.190522367134875,87880.0,87800.0,75648.33333333333,94567.27419276026,81032.72580723974,87000.0
2020-06-24,86800,88600,86100,87000,63283,-0.0034364261168384758,-0.0034364261168384758,-730.2712287960039,52.64688977490057,88020.0,88010.0,76238.33333333333,94393.38468212585,81626.61531787415,84500.0
2020-06-25,86000,88300,84400,84500,72819,-0.028735632183908066,-0.028735632183908066,-873.2318596819896,48.22370350961706,87140.0,88070.0,76790.0,94295.7850910547,81844.2149089453,88200.0
2020-06-26,84700,88300,84100,88200,96382,0.04378698224852062,0.04378698224852062,-701.1269092399336,54.33821533630711,87020.0,88250.0,77410.0,94268.80386787931,82231.19613212069,84500.0
2020-06-29,85500,87400,84000,84500,59619,-0.04195011337868482,-0.04195011337868482,-811.2196843493755,48.20726268457358,86300.0,88170.0,77980.0,94341.58002459654,81998.41997540346,86200.0
2020-06-30,84600,87900,84600,86200,76085,0.020118343195266286,0.020118343195266286,-745.9529631962439,50.945871708683676,86080.0,87730.0,78566.66666666667,93092.87236469403,82367.12763530597,90800.0
2020-07-01,89400,93700,88500,90800,304547,0.05336426914153125,0.05336426914153125,-387.4242936695989,57.49514747754023,86840.0,87775.0,79201.66666666667,93224.35776032359,82325.64223967641,90300.0
2020-07-02,92500,92500,89800,90300,82318,-0.005506607929515406,-0.005506607929515406,-188.4664487645523,56.6104171269364,88000.0,87735.0,79836.66666666667,93097.19171608018,82372.80828391982,95700.0
2020-07-03,91300,96900,90500,95700,338005,0.05980066445182719,0.05980066445182719,276.9995653599012,63.19714451038109,89500.0,87980.0,80525.0,94250.7575299958,81709.2424700042,92700.0
2020-07-06,96400,96400,92100,92700,187876,-0.031347962382445194,-0.031347962382445194,348.4075251142476,57.935281763027675,91140.0,88155.0,81073.33333333333,94739.67159393686,81570.32840606314,92800.0
2020-07-07,93500,95100,91500,92800,121239,0.0010787486515642097,0.0010787486515642097,366.1248739255693,58.060632636233265,92460.0,88245.0,81595.0,95028.94428043147,81461.05571956853,94600.0
2020-07-08,93000,95300,92800,94600,134161,0.0193965517241379,0.0193965517241379,456.91677109949615,60.350968388326685,93220.0,88435.0,82130.0,95690.96995583629,81179.03004416371,111000.0
2020-07-09,106000,116500,101000,111000,1265273,0.17336152219873147,0.17336152219873147,1519.4474042132733,74.1841013464746,97360.0,89515.0,82966.66666666667,101747.46091348748,77282.53908651252,111000.0
2020-07-10,111000,115000,108500,111000,262532,0.0,0.0,2085.2726251734844,74.1841013464746,100420.0,90800.0,83818.33333333333,106024.84811090078,75575.15188909922,112500.0
2020-07-13,113000,113500,110000,112500,100491,0.013513513513513598,0.013513513513513598,2401.0847611206336,75.10541935315612,104380.0,92420.0,84673.33333333333,109524.92326787814,75315.07673212186,117500.0
2020-07-14,112000,118000,110500,117500,270433,0.04444444444444451,0.04444444444444451,2761.52741042049,77.93250391320477,109320.0,93935.0,85596.66666666667,114028.50890213053,73841.49109786947,113500.0
2020-07-15,118500,123500,113000,113500,292407,-0.03404255319148941,-0.03404255319148941,2550.3955476466817,70.9872372022225,113100.0,95295.0,86425.0,116771.72926681339,73818.27073318661,111000.0
2020-07-16,112000,115500,109500,111000,118758,-0.022026431718061623,-0.022026431718061623,2081.9933634504105,66.97010627213609,113100.0,96400.0,87150.0,118705.06668898344,74094.93331101656,110500.0
2020-07-17,111500,113000,109000,110500,103398,-0.0045045045045044585,-0.0045045045045044585,1599.783586050452,66.16367013663438,113000.0,97485.0,87803.33333333333,120310.79900025405,74659.20099974595,110000.0
2020-07-20,109500,111500,107000,110000,104133,-0.004524886877828038,-0.004524886877828038,1130.5514796775842,65.31664260235597,112500.0,98580.0,88455.0,121600.21720140796,75559.78279859204,110500.0
2020-07-21,110000,112000,108500,110500,130047,0.00454545454545463,0.00454545454545463,755.2923567790194,65.78831138589796,111100.0,99740.0,89110.0,122707.75130481865,76772.24869518135,106000.0
2020-07-22,109500,109500,105500,106000,123217,-0.040723981900452455,-0.040723981900452455,137.79559952220188,58.12671958066818,109600.0,100690.0,89708.33333333333,123034.65484181841,78345.34515818159,107500.0
2020-07-23,105500,109000,104500,107500,134012,0.014150943396226356,0.014150943396226356,-216.56889478561789,59.80700874884684,108900.0,101840.0,90271.66666666667,123073.12506438934,80606.87493561066,104000.0
2020-07-24,106000,110000,103000,104000,97897,-0.032558139534883734,-0.032558139534883734,-706.0255268146229,54.328799469671054,107600.0,102630.0,90790.0,122929.56649783436,82330.43350216564,105500.0
2020-07-27,104000,107500,104000,105500,91581,0.014423076923076872,0.014423076923076872,-933.7996740797262,56.1812819254838,106700.0,103680.0,91335.0,122215.652133119,85144.347866881,105000.0
2020-07-28,106000,108000,104500,105000,116931,-0.004739336492891044,-0.004739336492891044,-1111.1230216382792,55.37499648762054,105600.0,104620.0,91900.0,121331.50501899811,87908.49498100189,102000.0
2020-07-29,103500,104000,100000,102000,130415,-0.02857142857142858,-0.02857142857142858,-1404.5408878639773,50.67569984682768,104800.0,105180.0,92408.33333333333,120710.43463654508,89649.56536345492,102500.0
2020-07-30,102000,104500,101000,102500,57840,0.004901960784313708,0.004901960784313708,-1528.7800437134274,51.41572806591098,103800.0,105790.0,92915.0,119820.66641325346,91759.33358674654,102000.0
2020-07-31,102000,103500,99900,102000,102907,-0.004878048780487809,-0.004878048780487809,-1600.8017044478092,50.598191796047146,103400.0,106105.0,93353.33333333333,119483.1127219051,92726.8872780949,98300.0
2020-08-03,100500,101000,92500,98300,328849,-0.03627450980392155,-0.03627450980392155,-1836.886929722426,44.90771798473587,101960.0,106385.0,93710.0,118831.08773872332,93938.91226127668,104500.0
2020-08-04,99300,105000,98400,104500,132479,0.06307222787385558,0.06307222787385558,-1527.4465325184838,54.202333531788675,101860.0,106970.0,94115.0,117802.19276047093,96137.80723952907,103500.0
2020-08-05,104000,105500,101000,103500,125850,-0.009569377990430672,-0.009569377990430672,-1348.308440548878,52.65918477212793,102160.0,107415.0,94406.66666666667,116814.4201948843,98015.5798051157,105500.0
