Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,35700,36100,34900,35650,124165,-0.0014005602240896309,-0.0014005602240896309,292.76222803698715,66.64131445781753,35390.0,32845.0,31561.666666666668,37206.63959996697,28483.360400033034,0
2024-01-03,35350,35500,34100,34200,106840,-0.0406732117812062,-0.0406732117812062,152.0961682645343,55.55539977349074,35130.0,33025.0,31610.833333333332,37297.41149703537,28752.58850296463,0
2024-01-04,34000,34300,33250,33450,139039,-0.021929824561403466,-0.021929824561403466,0.016921676228548677,50.84404293829466,34730.0,33155.0,31646.666666666668,37311.42875555446,28998.57124444554,0
2024-01-05,33500,34050,33100,33200,82296,-0.007473841554558991,-0.007473841554558991,-119.334850551969,49.34194108945842,34440.0,33285.0,31688.333333333332,37272.86910517384,29297.13089482616,0
2024-01-08,33350,33900,32750,32800,110298,-0.012048192771084376,-0.012048192771084376,-221.2177200774147,46.95183834216732,33860.0,33400.0,31713.333333333332,37187.61138450079,29612.388615499207,0
2024-01-09,33400,33450,32100,32300,132500,-0.015243902439024404,-0.015243902439024404,-312.68811789364975,44.07766090032189,33190.0,33490.0,31721.666666666668,37077.97993305425,29902.020066945748,0
2024-01-10,32200,32900,32150,32800,81398,0.015479876160990669,0.015479876160990669,-328.3068074758023,47.53629497732374,32910.0,33582.5,31760.833333333332,36994.870876677975,30170.129123322025,1
2024-01-11,33000,33650,32850,32850,90946,0.0015243902439023849,0.0015243902439023849,-323.5340294061384,47.883415203035646,32790.0,33675.0,31807.5,36897.34386743563,30452.65613256437,1
2024-01-12,32850,33100,32300,32900,62196,0.0015220700152207556,0.0015220700152207556,-305.49307187652414,48.25213637063607,32730.0,33755.0,31857.5,36812.760618491906,30697.239381508094,1
2024-01-15,32600,33750,32600,33200,50862,0.00911854103343468,0.00911854103343468,-263.4309168536155,50.51436853047204,32810.0,33875.0,31903.333333333332,36633.16968296006,31116.830317039938,1
2024-01-16,33000,33300,32500,32700,37831,-0.015060240963855387,-0.015060240963855387,-258.9714269885756,46.83911847390879,32890.0,33975.0,31950.0,36389.02154091466,31560.978459085338,0
2024-01-17,32750,32900,31700,31800,55113,-0.02752293577981646,-0.02752293577981646,-303.251150247922,41.04965095464518,32690.0,33922.5,31995.833333333332,36473.86728049883,31371.13271950117,0
2024-01-18,31700,31800,30800,31000,101446,-0.02515723270440251,-0.02515723270440251,-368.6855147015515,36.70649891392507,32320.0,33780.0,32010.0,36632.2622600315,30927.7377399685,0
2024-01-19,31350,31700,31000,31150,68801,0.004838709677419395,0.004838709677419395,-382.48193142024047,38.03041395079861,31970.0,33635.0,32028.333333333332,36704.21814148164,30565.78185851836,1
2024-01-22,31300,31300,30550,30800,82358,-0.011235955056179803,-0.011235955056179803,-394.22653014904716,36.13132065705389,31490.0,33395.0,32056.666666666668,36561.21224809709,30228.787751902913,0
2024-01-23,30800,31250,30550,31250,98650,0.014610389610389518,0.014610389610389518,-352.1167647795513,40.26176511411151,31200.0,33167.5,32098.333333333332,36262.86346815685,30072.13653184315,1
2024-01-24,31450,31450,30750,31150,58577,-0.0031999999999999806,-0.0031999999999999806,-312.75676057629704,39.648139008784064,31070.0,32950.0,32115.0,35969.60262286282,29930.397377137182,0
2024-01-25,31200,32200,30900,32200,113388,0.03370786516853941,0.03370786516853941,-203.08042054811744,48.520153495957075,31310.0,32787.5,32164.166666666668,35593.720768221916,29981.279231778084,1
2024-01-26,32500,32650,31450,31450,91764,-0.02329192546583847,-0.02329192546583847,-169.4895119689312,43.59087036512443,31370.0,32627.5,32193.333333333332,35354.490098991926,29900.509901008074,0
2024-01-29,31400,32250,31250,31950,75176,0.015898251192368873,0.015898251192368873,-105.18998808221903,47.42555554140689,31600.0,32440.0,32237.5,34785.122598074566,30094.877401925434,1
2024-01-30,32250,32800,31250,31350,82397,-0.018779342723004744,-0.018779342723004744,-94.9732672764095,43.595639140764675,31620.0,32225.0,32259.166666666668,34093.555591894445,30356.444408105555,0
2024-01-31,31550,32800,31350,32100,161554,0.02392344497607657,0.02392344497607657,-32.81986762958263,49.12616056143243,31810.0,32120.0,32299.166666666668,33754.13585726524,30485.864142734757,1
2024-02-01,32200,34550,31900,33750,335669,0.051401869158878455,0.051401869158878455,116.13895277401076,58.71655897878493,32120.0,32135.0,32339.166666666668,33822.33517713583,30447.664822864168,1
2024-02-02,34450,36450,33750,35800,560405,0.06074074074074076,0.06074074074074076,336.9594230603547,67.03206190700107,32990.0,32265.0,32435.0,34553.908036597364,29976.091963402636,1
2024-02-05,37400,37450,34450,36000,523472,0.005586592178770999,0.005586592178770999,472.4149326130431,67.71529712376511,33800.0,32425.0,32538.333333333332,35230.26291102991,29619.73708897009,1
2024-02-06,35500,36750,33650,33800,417318,-0.061111111111111116,-0.061111111111111116,393.0254145780814,54.36785552659726,34290.0,32500.0,32600.833333333332,35367.403006206136,29632.59699379386,0
2024-02-07,34500,35300,33800,34500,248065,0.020710059171597628,0.020710059171597628,367.3123658619206,57.25492582260456,34770.0,32585.0,32688.333333333332,35580.84712560571,29589.152874394287,1
2024-02-08,34500,34850,33800,34050,155104,-0.013043478260869601,-0.013043478260869601,302.363116159504,54.852330003972206,34830.0,32645.0,32769.166666666664,35707.00914433644,29582.990855663556,0
2024-02-13,34500,35350,34200,34300,200451,0.007342143906020615,0.007342143906020615,260.2093407722365,55.95805351400367,34530.0,32715.0,32840.0,35860.01192366579,29569.988076334208,1
2024-02-14,33800,35100,33500,34750,122232,0.013119533527696792,0.013119533527696792,246.72356066657346,57.95419386498004,34280.0,32792.5,32883.333333333336,36055.669471541434,29529.330528458566,1
2024-02-15,35200,35200,33750,33750,119513,-0.02877697841726623,-0.02877697841726623,158.81532605198072,52.283203277130966,34270.0,32845.0,32889.166666666664,36134.20963150724,29555.79036849276,0
2024-02-16,34100,34300,33650,34050,178518,0.008888888888888946,0.008888888888888946,111.4698243835457,53.745495036767586,34180.0,32957.5,32901.666666666664,36249.95728901682,29665.042710983176,1
2024-02-19,35000,35950,34350,34550,272213,0.014684287812041008,0.014684287812041008,104.53965781295642,56.157043620243044,34280.0,33135.0,32934.166666666664,36368.434706314634,29901.565293685366,1
2024-02-20,34250,34700,33600,33750,126696,-0.02315484804630974,-0.02315484804630974,40.10310110042752,51.52801313119405,34170.0,33265.0,32940.0,36375.48227771836,30154.51772228164,0
2024-02-21,33900,34450,33600,33650,108235,-0.002962962962962945,-0.002962962962962945,-12.418514496998569,50.96251476879036,33950.0,33407.5,32958.333333333336,36307.202570954476,30507.797429045524,0
2024-02-22,33800,34500,33300,34200,151300,0.01634472511144125,0.01634472511144125,-13.209020168749532,53.9555551016524,34040.0,33555.0,32985.0,36296.51418015666,30813.485819843347,1
2024-02-23,34300,34400,33600,33600,106601,-0.01754385964912286,-0.01754385964912286,-54.894236085101056,50.34546547851356,33950.0,33677.5,32990.833333333336,36187.375494920016,31167.62450507998,0
2024-02-26,33850,34800,33400,34000,146718,0.011904761904761862,0.011904761904761862,-56.08347733502268,52.6213885158035,33840.0,33767.5,33001.666666666664,36186.44088394074,31348.55911605926,1
2024-02-27,34100,34400,33250,33250,104840,-0.022058823529411797,-0.022058823529411797,-105.09077201092236,48.16374945049227,33740.0,33857.5,33009.166666666664,36047.99651905681,31667.00348094319,0
2024-02-28,33250,34000,33100,33700,87974,0.013533834586466176,0.013533834586466176,-104.67973310868092,50.85384717867056,33750.0,33945.0,33025.0,35956.19367540772,31933.806324592282,1
2024-02-29,33600,34000,33350,33750,116312,0.0014836795252226587,0.0014836795252226587,-98.60426669111695,51.157150831786325,33660.0,34065.0,33045.0,35692.29837460744,32437.70162539256,1
2024-03-04,34100,34200,33600,33900,103901,0.004444444444444473,0.004444444444444473,-82.69042738283815,52.111969773814565,33720.0,34155.0,33100.0,35514.742622704754,32795.257377295246,1
2024-03-05,33650,33700,32550,32750,140194,-0.03392330383480824,-0.03392330383480824,-144.21881105293104,44.86984690629731,33470.0,34105.0,33131.666666666664,35588.543056335075,32621.45694366493,0
2024-03-06,32600,33150,32450,32800,90804,0.0015267175572519776,0.0015267175572519776,-174.15115981382522,45.226263255046476,33380.0,33955.0,33168.333333333336,35325.00000000001,32584.999999999996,1
2024-03-07,32900,32950,32150,32450,116194,-0.010670731707317027,-0.010670731707317027,-207.840762634326,43.12453959540083,33130.0,33777.5,33200.833333333336,34946.89086707568,32608.10913292432,0
2024-03-08,32750,32750,32050,32400,130924,-0.0015408320493066618,-0.0015408320493066618,-222.50026457480345,42.81841226127443,32860.0,33707.5,33232.5,35021.75834598834,32393.241654011657,0
2024-03-11,32400,32950,32000,32100,109409,-0.0092592592592593,-0.0092592592592593,-239.91088548687463,40.94053548724639,32500.0,33587.5,33251.666666666664,35023.07479777266,32151.92520222734,0
2024-03-12,32300,32300,31600,31950,95319,-0.004672897196261627,-0.004672897196261627,-248.01370594475233,39.996022310838654,32340.0,33482.5,33267.5,35066.884738628854,31898.11526137115,0
2024-03-13,31950,32250,31500,31900,124541,-0.0015649452269170805,-0.0015649452269170805,-242.91077437669216,39.66750908360477,32160.0,33362.5,33277.5,35041.74834375384,31683.25165624616,0
2024-03-14,32150,33100,32000,32700,136001,0.02507836990595602,0.02507836990595602,-174.99958034608676,47.14757829390312,32210.0,33260.0,33309.166666666664,34834.99206347207,31685.00793652793,1
2024-03-15,32700,33200,32450,32700,76321,0.0,0.0,-121.93667282295846,47.14757829390312,32270.0,33207.5,33342.5,34783.658304232165,31631.341695767835,0
2024-03-18,33000,33000,32450,32550,65413,-0.004587155963302725,-0.004587155963302725,-90.25676014829995,45.90983458708168,32360.0,33132.5,33337.5,34683.71726395757,31581.28273604243,0
2024-03-19,32550,32950,32050,32150,81706,-0.01228878648233489,-0.01228878648233489,-89.38871029916427,42.69125898617796,32400.0,33012.5,33309.166666666664,34475.33115908843,31549.668840911567,0
2024-03-20,32400,32900,32300,32800,75600,0.02021772939346822,0.02021772939346822,-40.66616179077201,48.95391392921606,32580.0,32965.0,33288.333333333336,34390.166656921225,31539.83334307878,1
2024-03-21,33200,33500,32850,33250,151930,0.013719512195121908,0.013719512195121908,22.82569652364336,52.79954519365255,32690.0,32945.0,33249.166666666664,34342.10414787159,31547.895852128408,1
2024-03-22,33300,33350,32350,32600,117342,-0.019548872180451093,-0.019548872180451093,21.994869388261634,47.261023737425866,32670.0,32865.0,33195.833333333336,34143.71028775091,31586.28971224909,0
2024-03-25,32600,32900,32000,32050,69048,-0.016871165644171793,-0.016871165644171793,-12.776981892908168,43.137637355545046,32570.0,32787.5,33138.333333333336,34066.51329156503,31508.48670843497,0
2024-03-26,32150,32650,32100,32300,55166,0.007800312012480548,0.007800312012480548,-15.91635927945893,45.466666668789706,32600.0,32702.5,33085.833333333336,33868.89401575969,31536.105984240312,1
2024-03-27,32050,33000,32000,32650,78180,0.010835913312693402,0.010835913312693402,7.353499482573909,48.63843199187452,32570.0,32672.5,33052.5,33811.567601154566,31533.432398845434,1
2024-03-28,32750,32750,31650,31800,137842,-0.026033690658499253,-0.026033690658499253,-30.641645311285657,42.21661436141191,32280.0,32577.5,32987.5,33674.07421089501,31480.92578910499,0
