Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,137100,145300,137100,141500,235142,0.08015267175572527,0.08015267175572527,861.5940261200776,68.22281760506337,132100.0,126365.0,117835.0,138331.83333217286,114398.16666782716,1
2024-01-03,141700,145000,140000,140600,143147,-0.00636042402826853,-0.00636042402826853,1126.8286392695645,66.77342071247442,133940.0,127120.0,118481.66666666667,140584.85796434566,113655.14203565432,0
2024-01-04,141000,141100,134800,137200,70051,-0.024182076813655806,-0.024182076813655806,988.6185590383407,61.46115845965408,135640.0,127825.0,119070.0,141839.40330517155,113810.59669482845,0
2024-01-05,137200,139400,135200,137200,43478,0.0,0.0,819.5091571126959,61.46115845965408,137500.0,128570.0,119726.66666666667,142910.725225734,114229.274774266,0
2024-01-08,137200,137200,132300,133000,81717,-0.030612244897959218,-0.030612244897959218,369.99563808439825,55.172756371312104,137900.0,129230.0,120276.66666666667,143102.86560159808,115357.13439840192,0
2024-01-09,134300,135000,133100,133400,39724,0.003007518796992459,0.003007518796992459,61.012450899617306,55.6382816893711,136280.0,129945.0,120741.66666666667,143111.848521951,116778.151478049,1
2024-01-10,133400,135000,130500,133800,53320,0.0029985007496251548,0.0029985007496251548,-143.83069728499277,56.12892315388498,134920.0,130625.0,121238.33333333333,143094.78347847323,118155.21652152679,1
2024-01-11,133600,137400,131300,134800,57647,0.007473841554558991,0.007473841554558991,-234.0442526933939,57.39749683701459,134440.0,131125.0,121791.66666666667,143421.1579365265,118828.84206347351,1
2024-01-12,134800,136500,130200,132600,54142,-0.016320474777448024,-0.016320474777448024,-451.3641464708976,53.717395999045785,133520.0,131525.0,122313.33333333333,143461.3101501261,119588.68984987389,0
2024-01-15,133000,133300,128300,130100,65399,-0.018853695324283604,-0.018853695324283604,-755.0761116972121,49.809183244915936,132940.0,132015.0,122810.0,142818.75397720642,121211.24602279358,0
2024-01-16,130000,132400,127600,128000,31963,-0.016141429669485063,-0.016141429669485063,-1069.7678338158285,46.733407528231,131860.0,132285.0,123321.66666666667,142380.7961548361,122189.2038451639,0
2024-01-17,127000,128000,122300,123000,69049,-0.0390625,-0.0390625,-1557.4778025506407,40.34528263117062,129700.0,132460.0,123770.0,141752.66377310638,123167.33622689363,0
2024-01-18,122000,124500,121800,122300,44637,-0.005691056910569148,-0.005691056910569148,-1850.0999325071011,39.53059334995056,127200.0,132370.0,124125.0,142013.0493102547,122726.95068974531,0
2024-01-19,123000,127200,122000,122600,41978,0.002452984464431651,0.002452984464431651,-1937.070633208739,40.088953027053144,125200.0,131855.0,124481.66666666667,142388.8454516859,121321.15454831411,1
2024-01-22,124000,124000,121400,122600,48869,0.0,0.0,-1905.3141776837729,40.088953027053144,123700.0,131340.0,124783.33333333333,142601.15447012443,120078.84552987557,0
2024-01-23,123500,126300,121900,123200,27276,0.004893964110929794,0.004893964110929794,-1758.17337192992,41.34521765080542,122740.0,130745.0,125046.66666666667,142399.2653136096,119090.73468639041,1
2024-01-24,123300,123300,120500,120900,26907,-0.018668831168831224,-0.018668831168831224,-1727.4892473098798,38.051354086593065,122320.0,130220.0,125141.66666666667,142630.4149809748,117809.58501902521,0
2024-01-25,120100,120900,115300,116400,85505,-0.037220843672456594,-0.037220843672456594,-1907.8679897684772,32.58209291396108,121140.0,129605.0,125191.66666666667,143397.82059623787,115812.17940376213,0
2024-01-26,116400,116800,110100,110500,132885,-0.05068728522336774,-0.05068728522336774,-2296.0774088773637,27.085226323687422,118720.0,128735.0,125215.0,144848.13439402787,112621.86560597214,0
2024-01-29,111300,112900,110100,110500,57504,0.0,0.0,-2412.443049138251,27.085226323687408,116300.0,127710.0,125160.0,145623.89404903367,109796.10595096633,0
2024-01-30,112000,121000,111300,117200,132887,0.060633484162895934,0.060633484162895934,-1919.2454028844127,40.34098166077724,115100.0,126495.0,125203.33333333333,143788.4062578777,109201.59374212229,1
2024-01-31,117100,118000,113500,113500,36712,-0.03156996587030714,-0.03156996587030714,-1729.1688886406055,36.404930305110675,113620.0,125140.0,125203.33333333333,142042.709841916,108237.29015808401,0
2024-02-01,111600,114500,110500,112500,75669,-0.008810572687224627,-0.008810572687224627,-1562.7981344919076,35.399629635808125,112840.0,123905.0,125150.0,140711.7218695379,107098.2781304621,0
2024-02-02,113700,119300,112000,113000,77570,0.004444444444444473,0.004444444444444473,-1320.718692564485,36.34611815223592,113340.0,122695.0,125143.33333333333,138975.10749350273,106414.89250649727,1
2024-02-05,112500,112700,110000,110900,71633,-0.018584070796460184,-0.018584070796460184,-1206.792457093164,34.0871748854166,113420.0,121590.0,125055.0,137922.287041318,105257.71295868201,0
2024-02-06,111000,112100,107900,111400,58045,0.004508566275924331,0.004508566275924331,-1010.4859201612876,35.121093147990564,112260.0,120490.0,124900.0,136451.6916396729,104528.30836032711,1
2024-02-07,112900,112900,109800,109900,47597,-0.013464991023339312,-0.013464991023339312,-898.1679451157006,33.427065587703694,111540.0,119295.0,124700.0,134659.30603704584,103930.69396295414,0
2024-02-08,110000,110400,108800,109000,53508,-0.008189262966333044,-0.008189262966333044,-804.0425626619635,32.416748198304546,110840.0,118005.0,124535.0,132236.01893751827,103773.98106248173,0
2024-02-13,108400,111000,108300,110000,54574,0.00917431192660545,0.00917431192660545,-603.1680159837774,34.775658629260064,110240.0,116875.0,124235.0,129822.10392327193,103927.89607672807,1
2024-02-14,108500,108800,103000,108300,97476,-0.015454545454545499,-0.015454545454545499,-516.8482873019348,32.686938657625916,109720.0,115785.0,123928.33333333333,127726.570248506,103843.429751494,0
2024-02-15,109000,112300,108400,110500,86984,0.02031394275161591,0.02031394275161591,-256.78743137534184,37.8863077048746,109540.0,114910.0,123625.0,125647.02007076467,104172.97992923533,1
2024-02-16,112200,118400,111000,117700,121085,0.06515837104072397,0.06515837104072397,418.2117669725794,51.17754507425234,111100.0,114645.0,123495.0,124817.01553282356,104472.98446717644,1
2024-02-19,117600,117600,112400,113200,73087,-0.03823279524214107,-0.03823279524214107,570.2818504188285,44.7345753873354,111940.0,114190.0,123315.0,123747.17531491412,104632.82468508588,0
