Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,8420,8490,8300,8410,589136,-0.009422850412249661,-0.009422850412249661,-1.0546278696985567,52.83323764910118,8446.0,8399.5,8260.0,8544.203144402602,8254.796855597398
2024-01-03,8360,8430,8350,8410,353303,0.0,0.0,-2.8229438044219535,52.83323764910118,8440.0,8396.0,8271.833333333334,8536.057131200092,8255.942868799908
2024-01-04,8410,8410,8280,8290,488774,-0.014268727705113005,-0.014268727705113005,-11.787101609987552,45.41447366093445,8400.0,8387.5,8277.5,8531.56595711687,8243.43404288313
2024-01-05,8270,8270,8110,8140,518115,-0.018094089264173663,-0.018094089264173663,-26.679222454512292,38.19472031821375,8348.0,8373.5,8276.0,8552.4161814929,8194.5838185071
2024-01-08,8150,8150,8060,8080,287153,-0.0073710073710073765,-0.0073710073710073765,-38.701809017181816,35.746733301557015,8266.0,8354.0,8274.5,8568.140141029186,8139.859858970814
2024-01-09,8180,8200,8100,8150,285091,0.00866336633663356,0.00866336633663356,-39.91107768248582,40.53520755079766,8214.0,8340.5,8272.5,8569.801112077546,8111.198887922453
2024-01-10,8190,8250,8130,8240,308343,0.01104294478527601,0.01104294478527601,-32.91205762126946,46.0973396234792,8180.0,8332.5,8272.5,8564.092314207532,8100.907685792469
2024-01-11,8280,8350,8240,8240,429398,0.0,0.0,-26.803717911037886,46.09733962347921,8170.0,8324.5,8271.833333333334,8557.263828805078,8091.736171194922
2024-01-12,8300,8330,8220,8260,288098,0.0024271844660195274,0.0024271844660195274,-20.23640427931386,47.36616899752436,8194.0,8319.0,8271.833333333334,8552.400942585928,8085.5990574140715
2024-01-15,8260,8460,8260,8380,389025,0.014527845036319542,0.014527845036319542,-7.2977948774246,54.31487274881421,8254.0,8320.0,8271.0,8554.264807429541,8085.735192570459
2024-01-16,8350,8410,8320,8380,313168,0.0,0.0,1.3144694884071377,54.31487274881422,8300.0,8320.5,8273.333333333334,8555.231761804831,8085.768238195169
2024-01-17,8420,8420,8320,8340,347262,-0.004773269689737458,-0.004773269689737458,4.2078929771599505,51.677402305301214,8320.0,8319.5,8275.0,8553.71998206814,8085.28001793186
2024-01-18,8380,8380,8220,8220,352260,-0.014388489208633115,-0.014388489208633115,-1.7498239885954998,44.66953032845605,8316.0,8317.0,8276.5,8554.32677893571,8079.6732210642895
2024-01-19,8240,8340,8240,8300,278446,0.009732360097323589,0.009732360097323589,-0.17542998178842417,49.57854451379009,8324.0,8323.0,8279.333333333334,8552.093867224768,8093.9061327752315
2024-01-22,8360,8360,8210,8270,219009,-0.0036144578313253017,-0.0036144578313253017,-0.9821302535455487,47.86359554492774,8302.0,8317.5,8279.666666666666,8546.137267303473,8088.862732696527
2024-01-23,8350,8410,8300,8360,372960,0.010882708585247869,0.010882708585247869,4.421392403238919,53.10437294778664,8298.0,8314.5,8283.666666666666,8539.219825560629,8089.78017443937
2024-01-24,8380,8470,8330,8460,530550,0.011961722488038173,0.011961722488038173,14.062200283592148,58.13940467057422,8322.0,8315.5,8289.833333333334,8542.610105455482,8088.389894544519
2024-01-25,8460,8590,8400,8580,417391,0.014184397163120588,0.014184397163120588,27.097772049870787,63.23990127058127,8394.0,8320.0,8300.0,8563.721152139078,8076.278847860922
2024-01-26,8580,8660,8530,8600,371993,0.002331002331002363,0.002331002331002363,35.13424215450681,64.02662398990432,8454.0,8330.0,8312.333333333334,8600.92434368288,8059.075656317119
2024-01-29,8640,8920,8580,8830,840544,0.02674418604651163,0.02674418604651163,52.937718500710574,71.56366898158105,8566.0,8347.0,8327.5,8689.2338381867,8004.766161813301
2024-01-30,8900,8900,8760,8830,590117,0.0,0.0,61.1309590451317,71.56366898158105,8660.0,8368.0,8344.166666666666,8769.527085014199,7966.472914985801
2024-01-31,8850,9020,8800,9010,843727,0.020385050962627327,0.020385050962627327,74.21903642816814,76.10726589999047,8770.0,8398.0,8361.333333333334,8887.595751615554,7908.404248384445
2024-02-01,8990,9890,8990,9800,3368843,0.0876803551609322,0.0876803551609322,128.44861880124762,86.38750530156757,9014.0,8473.5,8388.0,9253.045380333948,7693.954619666051
2024-02-02,9820,9980,9400,9640,2476850,-0.01632653061224487,-0.01632653061224487,144.7025541290384,78.97594284612568,9222.0,8548.5,8414.666666666666,9462.333135752911,7634.666864247088
2024-02-05,9480,9550,9180,9470,1230489,-0.01763485477178428,-0.01763485477178428,135.3340484217928,71.9160473598239,9350.0,8618.0,8438.833333333334,9588.414344494146,7647.585655505855
2024-02-06,9330,9500,9200,9240,888843,-0.02428722280887008,-0.02428722280887008,106.25949211217622,63.628623040689604,9432.0,8672.5,8457.333333333334,9654.026871766637,7690.973128233363
2024-02-07,9290,9580,9200,9540,683387,0.032467532467532534,0.032467532467532534,99.93887628656367,68.6958844152456,9538.0,8737.5,8481.833333333334,9766.866309920817,7708.133690079182
2024-02-08,9400,9650,9360,9570,1152808,0.003144654088050425,0.003144654088050425,90.75277651976347,69.15861910828052,9492.0,8804.0,8505.666666666666,9867.4923601042,7740.5076398958
2024-02-13,9650,9790,9320,9340,979266,-0.024033437826541326,-0.024033437826541326,63.452760933679144,61.63619664819908,9432.0,8858.0,8523.166666666666,9915.17737395387,7800.82262604613
2024-02-14,9320,9390,9120,9150,893102,-0.020342612419700257,-0.020342612419700257,28.63849064046002,56.198139205961084,9368.0,8896.5,8537.833333333334,9937.197362348921,7855.802637651079
2024-02-15,9260,9310,9100,9190,484377,0.004371584699453646,0.004371584699453646,5.552242413656444,57.05713308164814,9358.0,8937.0,8551.333333333334,9956.982352788518,7917.017647211482
2024-02-16,9280,9360,9170,9350,509170,0.017410228509249226,0.017410228509249226,-1.327424536637892,60.40225986632213,9320.0,8987.5,8569.333333333334,9983.991344668884,7991.008655331116
2024-02-19,9350,9490,9310,9380,546638,0.0032085561497325887,0.0032085561497325887,-5.981747634092301,61.01545676991846,9282.0,9045.5,8587.0,9990.242822147911,8100.757177852088
2024-02-20,9390,9460,9210,9210,656394,-0.018123667377398678,-0.018123667377398678,-21.74718015968108,55.747221865265594,9256.0,9091.0,8601.0,9973.335537083258,8208.664462916742
2024-02-21,9300,9380,9150,9190,525991,-0.0021715526601520097,-0.0021715526601520097,-34.02817499749574,55.143983220475434,9264.0,9137.0,8614.833333333334,9935.250587221833,8338.749412778167
2024-02-22,9280,9290,9130,9210,412366,0.0021762785636560977,0.0021762785636560977,-40.851138107889824,55.660684566866266,9268.0,9179.5,8629.5,9893.85215405289,8465.14784594711
2024-02-23,9220,9380,9220,9350,746221,0.015200868621064068,0.015200868621064068,-36.14421400532166,59.203319781998054,9268.0,9224.0,8646.166666666666,9860.125773727179,8587.874226272821
2024-02-26,9330,9330,8970,9140,1318213,-0.022459893048128343,-0.022459893048128343,-46.711127069223835,52.43563771241731,9220.0,9252.0,8658.0,9817.671282636835,8686.328717363165
2024-02-27,9130,9390,9120,9230,1563287,0.009846827133479286,0.009846827133479286,-47.045687069286856,54.81935221980033,9224.0,9283.5,8671.166666666666,9764.219252786907,8802.780747213093
2024-02-28,8760,8930,8680,8920,1718802,-0.03358613217768147,-0.03358613217768147,-66.36910710438963,46.2259978113409,9170.0,9288.0,8679.666666666666,9753.084938478985,8822.915061521015
2024-02-29,8890,9020,8840,8860,1180414,-0.006726457399103158,-0.006726457399103158,-80.47572655082703,44.76339605168271,9100.0,9289.5,8685.666666666666,9748.824504027383,8830.175495972617
2024-03-04,8940,8970,8800,8950,857146,0.010158013544018019,0.010158013544018019,-80.81699412102469,47.44932216668377,9020.0,9286.5,8693.5,9753.801829656166,8819.198170343834
2024-03-05,8890,9140,8890,8930,816773,-0.0022346368715083775,-0.0022346368715083775,-79.34826074717078,46.903508268442856,8978.0,9243.0,8701.333333333334,9671.350323917237,8814.649676082763
2024-03-06,8920,9000,8850,8960,569521,0.0033594624860022737,0.0033594624860022737,-73.4503133499269,47.87214377485669,8924.0,9209.0,8710.333333333334,9613.173230187256,8804.826769812744
2024-03-07,8990,9150,8900,9130,840683,0.01897321428571419,0.01897321428571419,-55.983519503347196,53.09411248945637,8966.0,9192.0,8721.333333333334,9579.071052908896,8804.928947091104
2024-03-08,9150,9190,9020,9110,775884,-0.0021905805038334725,-0.0021905805038334725,-44.17899338417972,52.4286874428386,9016.0,9185.5,8732.833333333334,9573.49355664753,8797.50644335247
2024-03-11,9010,9110,8990,9020,381492,-0.009879253567508184,-0.009879253567508184,-40.908823350239686,49.426682278395155,9030.0,9159.5,8743.166666666666,9517.520949107731,8801.479050892269
2024-03-12,9060,9060,8920,8990,470784,-0.003325942350332567,-0.003325942350332567,-39.23695077696676,48.431205446105174,9042.0,9130.5,8753.0,9441.721785869822,8819.278214130178
2024-03-13,9000,9150,8960,9070,465573,0.008898776418242438,0.008898776418242438,-31.545130443221936,51.25082419996818,9064.0,9117.0,8764.666666666666,9413.789487684455,8820.210512315545
2024-03-14,9140,9380,9070,9300,1407480,0.025358324145534628,0.025358324145534628,-10.838794105151614,58.30866343133814,9098.0,9124.5,8780.333333333334,9431.646544828362,8817.353455171638
