Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,23200,23550,22700,23450,327288,0.010775862068965525,0.010775862068965525,-16.30535318142779,63.15208338984718,22820.0,22355.0,20157.333333333332,23440.311015331496,21269.688984668504
2024-01-03,23200,25000,23000,24500,1050874,0.04477611940298498,0.04477611940298498,72.09119759569126,69.10412486055783,23290.0,22432.5,20254.833333333332,23847.87097610481,21017.12902389519
2024-01-04,24300,24400,23350,23450,465066,-0.042857142857142816,-0.042857142857142816,51.16786749926666,58.864357254077774,23480.0,22470.0,20340.5,23949.99999999996,20990.00000000004
2024-01-05,23350,23600,22800,22900,249668,-0.023454157782516027,-0.023454157782516027,-5.38600052423908,54.32355696508583,23500.0,22515.0,20422.5,23989.82202316072,21040.17797683928
2024-01-08,22250,22600,22100,22150,360952,-0.03275109170305679,-0.03275109170305679,-94.05900920844329,48.79583710524474,23290.0,22527.5,20484.166666666668,23985.400888263626,21069.599111736374
2024-01-09,22300,23000,22300,22600,223752,0.020316027088036037,0.020316027088036037,-121.41971127782404,51.95479482120244,23120.0,22577.5,20543.833333333332,23971.94433377596,21183.05566622404
2024-01-10,22900,23750,22800,23000,328981,0.017699115044247815,0.017699115044247815,-111.83089727210768,54.63397214204389,22820.0,22652.5,20622.333333333332,23966.073370619193,21338.926629380807
2024-01-11,23350,23600,22450,22600,287537,-0.017391304347826098,-0.017391304347826098,-130.3847497147259,51.53889692054425,22650.0,22720.0,20693.166666666668,23866.472851837265,21573.527148162735
2024-01-12,22400,22850,22150,22550,162923,-0.0022123893805309214,-0.0022123893805309214,-142.97190111437283,51.14883025839038,22580.0,22727.5,20757.0,23867.445174120174,21587.554825879826
2024-01-15,22450,23450,22200,22550,257809,0.0,0.0,-147.6426555450812,51.14883025839038,22660.0,22752.5,20827.166666666668,23853.170250347426,21651.829749652574
2024-01-16,22300,22650,22100,22150,143987,-0.0177383592017738,-0.0177383592017738,-172.29727510648047,47.792802341562826,22570.0,22725.0,20896.833333333332,23856.591799192567,21593.408200807433
2024-01-17,22000,22200,21100,21150,343121,-0.04514672686230248,-0.04514672686230248,-246.08285623123493,40.617675030170304,22200.0,22655.0,20954.5,23978.21577983331,21331.78422016669
