Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,123800,124800,122100,122600,15909,-0.009693053311793265,-0.009693053311793265,-1009.689061366378,40.95445476085754,124020.0,127185.0,121743.33333333333,132853.6065307093,121516.3934692907,0
2024-01-03,122400,126900,120800,125000,14605,0.019575856443719397,0.019575856443719397,-838.6188793845998,47.82089308289347,124020.0,127280.0,122025.0,132731.09163379227,121828.90836620773,1
2024-01-04,125000,130700,124300,128200,17608,0.025600000000000067,0.025600000000000067,-488.2388185902778,55.28710917260068,124760.0,127465.0,122360.0,132775.4707889226,122154.5292110774,1
2024-01-05,127200,128900,124000,124800,8035,-0.026521060842433664,-0.026521060842433664,-463.9220874967603,47.50870157417356,124880.0,127320.0,122596.66666666667,132753.8200191026,121886.1799808974,0
2024-01-08,126400,129400,124900,127600,11705,0.022435897435897356,0.022435897435897356,-248.52336984001073,53.331770577536865,125640.0,127095.0,122886.66666666667,132071.93680892175,122118.06319107825,1
2024-01-09,129800,129800,127900,128200,4781,0.004702194357366851,0.004702194357366851,-64.4821469556068,54.49666286932091,126760.0,127005.0,123195.0,131831.37545162,122178.62454838,1
2024-01-10,129800,135600,128200,134200,29904,0.046801872074883066,0.046801872074883066,435.01941315547845,64.1370616707591,128600.0,127280.0,123595.0,133004.54364993403,121555.45635006596,1
2024-01-11,133800,134900,132200,132200,8639,-0.014903129657228065,-0.014903129657228065,594.5278962104496,59.604010097350184,129400.0,127570.0,123910.0,133662.6513112109,121477.34868878908,0
2024-01-12,132800,134000,131000,132200,8042,0.0,0.0,658.8538853693639,59.60401009735018,130880.0,127735.0,124235.0,134133.83583161814,121336.16416838186,0
2024-01-15,132400,134300,131000,131900,8477,-0.0022692889561271024,-0.0022692889561271024,639.5022962776852,58.8800569710665,131740.0,127745.0,124578.33333333333,134169.16531543204,121320.83468456795,0
2024-01-16,131100,133300,127100,131500,14526,-0.0030326004548900665,-0.0030326004548900665,560.8783430467937,57.87076318823064,132400.0,127750.0,124935.0,134185.68178206476,121314.31821793524,0
2024-01-17,132900,132900,128400,128600,6589,-0.02205323193916353,-0.02205323193916353,288.4027030762443,51.03981268721218,131280.0,127765.0,125261.66666666667,134207.13473935466,121322.86526064534,0
2024-01-18,129700,130700,126400,126800,4633,-0.013996889580093264,-0.013996889580093264,-21.749693218310426,47.307236363848865,130200.0,127695.0,125516.66666666667,134147.1236813936,121242.8763186064,0
2024-01-19,126800,128100,124200,126500,8942,-0.0023659305993690705,-0.0023659305993690705,-243.4823816635277,46.69432571576559,129060.0,127580.0,125786.66666666667,134031.23244039464,121128.76755960536,0
2024-01-22,127700,131300,124100,129100,10339,0.02055335968379457,0.02055335968379457,-212.5455456085465,52.44480841159119,128500.0,127640.0,126056.66666666667,134124.25786038773,121155.74213961227,1
2024-01-23,128000,130400,124900,125200,9365,-0.030209140201394313,-0.030209140201394313,-439.19248720848634,44.66186830004688,127240.0,127605.0,126270.0,134133.8513537988,121076.14864620123,0
2024-01-24,125900,125900,121600,122600,7226,-0.02076677316293929,-0.02076677316293929,-731.4427717397054,40.361533503506266,126040.0,127485.0,126425.0,134283.61015208258,120686.38984791744,0
2024-01-25,123600,126600,122800,125200,7634,0.021207177814029254,0.021207177814029254,-715.9727599521523,45.96463108391758,125720.0,127520.0,126630.0,134263.76749302645,120776.23250697355,1
2024-01-26,124100,127400,123800,124100,4609,-0.00878594249201281,-0.00878594249201281,-742.9341009246958,44.077830719644446,125240.0,127515.0,126798.33333333333,134268.7471080875,120761.2528919125,0
2024-01-29,125300,128300,124100,126700,10123,0.020950846091861486,0.020950846091861486,-557.2585805086269,49.368254022118585,124760.0,127660.0,126956.66666666667,134209.93129734963,121110.06870265037,1
2024-01-30,126800,129100,125900,127800,4996,0.008681925808997626,0.008681925808997626,-342.4962031289,51.46046762511459,125280.0,127920.0,127141.66666666667,134044.89999918366,121795.10000081632,1
2024-01-31,127800,129300,125200,127100,7460,-0.005477308294209671,-0.005477308294209671,-234.85212275564874,50.04330674621728,126180.0,128025.0,127303.33333333333,134016.61914677496,122033.38085322506,0
2024-02-01,127100,132000,126100,128400,13048,0.010228166797797034,0.010228166797797034,-71.81999315756862,52.6511691994279,126820.0,128035.0,127460.0,134028.4213934947,122041.57860650528,1
2024-02-02,128100,131800,127700,128900,6759,0.003894080996884819,0.003894080996884819,66.49144025640311,53.65329263596351,127780.0,128240.0,127546.66666666667,134054.60230798292,122425.3976920171,1
2024-02-05,127900,131400,125300,130200,13012,0.010085337470907785,0.010085337470907785,232.96048994524205,56.24619305166192,128480.0,128370.0,127625.0,134237.57189985775,122502.42810014226,1
2024-02-06,129900,131000,127300,129300,7791,-0.00691244239631339,-0.00691244239631339,267.4217808712183,53.99404639635921,128780.0,128425.0,127643.33333333333,134305.77375861377,122544.22624138625,0
2024-02-07,129900,129900,124100,124300,15883,-0.03866976024748647,-0.03866976024748647,-44.925281779906044,43.55901494124804,128220.0,127930.0,127571.66666666667,133437.8489449149,122422.15105508511,0
2024-02-08,124700,124800,119600,123000,21315,-0.01045856798069189,-0.01045856798069189,-322.0436025756353,41.322887362339465,127140.0,127470.0,127515.0,133011.15511423387,121928.84488576613,0
2024-02-13,123000,125700,121500,122800,8067,-0.001626016260162566,-0.001626016260162566,-491.6207974657067,40.97438772742318,125920.0,127000.0,127505.0,132450.5045637996,121549.4954362004,0
