Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2024-01-02,51800,51900,51000,51500,64474,-0.00579150579150578,-0.00579150579150578,107.34783534824086,47.64499986177522,51900.0,51490.0,52671.666666666664,52630.0,50350.0
2024-01-03,51400,51400,50700,50800,70236,-0.013592233009708687,-0.013592233009708687,34.792307287144894,43.448665835260364,51640.0,51495.0,52551.666666666664,52621.89839825958,50368.10160174042
2024-01-04,50600,50900,50000,50100,80782,-0.013779527559055094,-0.013779527559055094,-55.25349868060766,39.684582582030245,51100.0,51435.0,52440.0,52714.49208672817,50155.50791327183
2024-01-05,50000,50400,49750,49800,72181,-0.005988023952095856,-0.005988023952095856,-125.88852262760776,38.158824561438706,50800.0,51335.0,52340.0,52785.89627472125,49884.10372527875
2024-01-08,50000,50000,49000,49050,110487,-0.015060240963855387,-0.015060240963855387,-209.085463089447,34.579453949404936,50250.0,51187.5,52232.5,52911.99267902187,49463.00732097813
2024-01-09,49550,49650,49050,49300,47482,0.0050968399592252744,0.0050968399592252744,-231.50043648089093,36.71056616774845,49810.0,51112.5,52134.166666666664,53018.77254085034,49206.22745914966
2024-01-10,49500,49550,48700,49100,111213,-0.0040567951318458695,-0.0040567951318458695,-242.83373290631482,35.70840565988421,49470.0,51027.5,52029.166666666664,53124.03881433185,48930.96118566815
2024-01-11,49300,49950,48950,48950,90784,-0.003054989816700604,-0.003054989816700604,-242.8827883828028,34.93805081031577,49240.0,50930.0,51926.666666666664,53214.162866347324,48645.837133652676
2024-01-12,48900,49200,48650,49100,62778,0.003064351378958108,0.003064351378958108,-216.1576505252781,36.41531299975595,49100.0,50835.0,51826.666666666664,53253.69799685699,48416.30200314301
2024-01-15,49350,49400,48650,48650,40900,-0.009164969450101812,-0.009164969450101812,-211.84987415685623,33.926589470675225,49020.0,50737.5,51734.166666666664,53336.706609717665,48138.293390282335
2024-01-16,48600,48700,48100,48150,50531,-0.010277492291880796,-0.010277492291880796,-224.52672090369288,31.361887131001097,48790.0,50570.0,51646.666666666664,53374.710323723295,47765.289676276705
2024-01-17,48400,48400,45950,46000,194195,-0.044652128764278265,-0.044652128764278265,-351.97206260349117,23.22989222099909,48170.0,50270.0,51541.666666666664,53627.7373333839,46912.2626666161
2024-01-18,46000,46300,45800,46200,56943,0.004347826086956497,0.004347826086956497,-393.8974526004231,25.173578224732864,47620.0,50005.0,51430.0,53747.178509905694,46262.821490094306
2024-01-19,46350,46650,45700,45800,77284,-0.008658008658008698,-0.008658008658008698,-417.41562176358934,23.871809093954255,46960.0,49720.0,51298.333333333336,53814.92368671261,45625.07631328739
2024-01-22,46150,46300,45600,46250,58554,0.009825327510917026,0.009825327510917026,-372.96725134429244,28.360101909946906,46480.0,49417.5,51159.166666666664,53598.32228754106,45236.67771245894
2024-01-23,46350,47250,46200,47200,56046,0.020540540540540553,0.020540540540540553,-255.48992795206095,36.82766390919994,46290.0,49197.5,51055.833333333336,53358.80688606356,45036.19311393644
2024-01-24,47150,47150,46450,46950,32605,-0.005296610169491567,-0.005296610169491567,-174.39671041170322,35.634034505005374,46480.0,48940.0,50940.0,52986.80120589089,44893.19879410911
2024-01-25,47000,47450,46600,47350,40613,0.008519701810436597,0.008519701810436597,-78.48041914435998,39.03854982893092,46710.0,48667.5,50842.5,52356.032906183704,44978.967093816296
2024-01-26,47000,47800,46850,47600,36421,0.0052798310454065245,0.0052798310454065245,12.304820259551434,41.13423713364334,47070.0,48482.5,50745.833333333336,51991.10014820726,44973.89985179274
2024-01-29,47800,51600,47400,51200,367786,0.07563025210084029,0.07563025210084029,308.8760321102036,61.60373990643104,48060.0,48452.5,50697.5,51855.803542148424,45049.196457851576
2024-01-30,51900,53500,51200,52400,430893,0.0234375,0.0234375,565.0167676490106,65.86473665686532,49100.0,48497.5,50680.833333333336,52079.88398276902,44915.11601723098
2024-01-31,52600,54200,52300,53800,285484,0.026717557251908497,0.026717557251908497,793.8648885535147,70.04178654243961,50470.0,48647.5,50682.5,52807.605166939895,44487.394833060105
2024-02-01,53700,58400,53500,58100,544022,0.07992565055762091,0.07992565055762091,1176.8717771075023,78.67369921160417,52620.0,49047.5,50732.5,54888.25979646484,43206.74020353516
2024-02-02,57600,59400,56100,58500,394136,0.0068846815834766595,0.0068846815834766595,1384.8533229600812,79.27200692388652,54800.0,49482.5,50807.5,56631.92480203827,42333.07519796173
2024-02-05,59300,60000,57500,59900,223069,0.023931623931623847,0.023931623931623847,1532.8909414725913,81.2542818244738,56540.0,50025.0,50937.5,58486.94422104046,41563.05577895954
2024-02-06,59400,60100,57900,58500,159349,-0.023372287145242088,-0.023372287145242088,1453.4132638351743,73.66734720633053,57760.0,50485.0,51052.5,59705.526015363765,41264.473984636235
2024-02-07,58800,61900,57000,59100,429524,0.01025641025641022,0.01025641025641022,1359.8224622788907,74.75527153121544,58820.0,50985.0,51187.5,60908.61325324602,41061.38674675398
2024-02-08,59400,59400,56100,56700,430144,-0.040609137055837574,-0.040609137055837574,1067.739710627618,63.461056609522466,58540.0,51372.5,51299.166666666664,61549.99846475056,41195.00153524944
2024-02-13,56700,57300,54400,55000,243030,-0.029982363315696703,-0.029982363315696703,708.7962804606414,56.90304617225334,57840.0,51667.5,51372.5,61906.26335306174,41428.73664693826
2024-02-14,54300,55400,53700,54000,112546,-0.018181818181818188,-0.018181818181818188,369.8191546163041,53.40683687328843,56660.0,51935.0,51414.166666666664,62123.871380089164,41746.128619910836
2024-02-15,54500,54600,52700,52800,157377,-0.022222222222222254,-0.022222222222222254,47.519837156081394,49.47820133855778,55520.0,52167.5,51432.5,62211.46709472906,42123.53290527094
2024-02-16,53300,55200,53100,55000,108294,0.04166666666666674,0.04166666666666674,-30.55894065728262,55.88520880212482,54700.0,52617.5,51495.833333333336,62316.380089989776,42918.619910010224
2024-02-19,55400,57400,55000,57400,192146,0.043636363636363695,0.043636363636363695,61.36118576468516,61.6055062941584,54840.0,53177.5,51585.833333333336,62619.50587799012,43735.49412200988
2024-02-20,57200,57200,55100,55200,91677,-0.0383275261324042,-0.0383275261324042,-38.68638109825383,54.61451742672221,54880.0,53647.5,51619.166666666664,62490.60324490221,44804.39675509779
2024-02-21,55100,56200,54300,54500,78932,-0.0126811594202898,-0.0126811594202898,-157.99625048975554,52.57033402094091,54980.0,54060.0,51649.166666666664,62228.2678702403,45891.7321297597
2024-02-22,55000,55300,54100,54500,65605,0.0,0.0,-238.0924673430386,52.57033402094091,55320.0,54425.0,51677.5,61962.53938629842,46887.46061370158
2024-02-23,54700,55600,54300,55200,76905,0.012844036697247763,0.012844036697247763,-244.19652487329176,54.54355878143901,55360.0,54837.5,51724.166666666664,61551.580354002326,48123.419645997674
2024-02-26,55000,55000,52000,52300,177296,-0.05253623188405798,-0.05253623188405798,-432.7907620915296,46.00447606462486,54340.0,55085.0,51727.5,60993.392336329736,49176.607663670264
2024-02-27,52100,52300,51600,51700,64216,-0.01147227533460804,-0.01147227533460804,-578.1128424917124,44.453822448778915,53640.0,55290.0,51729.166666666664,60372.086185809916,50207.913814190084
2024-02-28,51700,53000,51500,53000,73152,0.025145067698259194,0.025145067698259194,-566.1235523695949,48.503921551801604,53340.0,55380.0,51762.5,60227.51482720785,50532.48517279215
2024-02-29,52700,53000,52000,52400,64220,-0.01132075471698113,-0.01132075471698113,-576.1262923940499,46.80755383422829,52920.0,55380.0,51789.166666666664,60227.51482720785,50532.48517279215
2024-03-04,52400,53000,51800,51900,62902,-0.009541984732824416,-0.009541984732824416,-591.6939759566255,45.383124285908465,52260.0,55285.0,51809.166666666664,60323.36282933256,50246.63717066744
2024-03-05,51500,52600,51500,51600,35403,-0.005780346820809301,-0.005780346820809301,-595.8214515991646,44.507942084881684,52120.0,54960.0,51814.166666666664,60068.18950314101,49851.81049685899
