Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,86700,87200,85000,87000,98560,0.0023041474654377225,0.0023041474654377225,-9.149096417132341,51.72720824779546,88000.0,86130.0,83955.0,89588.95938108559,82671.04061891441,1
2024-01-03,86100,86600,83700,84500,118499,-0.028735632183908066,-0.028735632183908066,-212.9377245343121,43.44237228232192,87040.0,86105.0,83988.33333333333,89603.27100150917,82606.72899849083,0
2024-01-04,84500,85000,83300,84100,66138,-0.004733727810650845,-0.004733727810650845,-359.9515020676357,42.2756700209876,85920.0,86055.0,84023.33333333333,89636.88497861111,82473.11502138889,0
2024-01-05,83800,84000,80800,81500,175712,-0.030915576694411362,-0.030915576694411362,-603.2516561345099,35.585753315619385,84780.0,85955.0,84030.0,89908.97268579336,82001.02731420664,0
2024-01-08,81000,82900,81000,82800,94132,0.01595092024539868,0.01595092024539868,-643.8842280864008,40.643458247118325,83980.0,85875.0,84035.0,90012.08834810184,81737.91165189816,1
2024-01-09,83900,84400,82200,83000,95908,0.0024154589371980784,0.0024154589371980784,-624.090547127553,41.40570956313452,83180.0,85860.0,84010.0,90036.31416442776,81683.68583557224,1
2024-01-10,83100,83500,81700,83000,59724,0.0,0.0,-578.8015831247599,41.40570956313453,82880.0,85820.0,84075.0,90088.77031473936,81551.22968526064,0
2024-01-11,83000,83000,81600,82400,67799,-0.0072289156626506035,-0.0072289156626506035,-556.8781843683555,39.63479804000228,82540.0,85730.0,84126.66666666667,90202.62786290118,81257.37213709882,0
2024-01-12,82000,82300,80200,80600,74586,-0.021844660194174748,-0.021844660194174748,-626.0610885858084,34.82298673771675,82360.0,85495.0,84126.66666666667,90495.9899020094,80494.0100979906,0
2024-01-15,80300,81100,80300,80700,58660,0.001240694789081953,0.001240694789081953,-626.0404952128918,35.29298417294059,81940.0,85200.0,84140.0,90586.65016499122,79813.34983500878,1
2024-01-16,80300,81000,78700,79400,63282,-0.01610904584882278,-0.01610904584882278,-670.5634262046804,32.05669165956928,81220.0,84815.0,84161.66666666667,90682.63154944139,78947.36845055861,0
2024-01-17,79400,80000,77900,78300,68863,-0.013853904282115859,-0.013853904282115859,-726.3795272506654,29.584628704614232,80280.0,84390.0,84180.0,90824.87373613499,77955.12626386501,0
2024-01-18,77900,80900,77900,80500,58638,0.02809706257982114,0.02809706257982114,-574.0941397806255,39.61435764588863,79900.0,84105.0,84245.0,90696.95722073497,77513.04277926503,1
2024-01-19,81600,81700,79400,79700,89015,-0.009937888198757738,-0.009937888198757738,-489.5023373365125,37.521435116816896,79720.0,83740.0,84280.0,90457.5590804994,77022.4409195006,0
2024-01-22,80700,81300,79800,80700,95058,0.012547051442910906,0.012547051442910906,-335.78653489470116,41.66990476221352,79720.0,83405.0,84345.0,90026.62366795335,76783.37633204665,1
2024-01-23,80000,80700,78700,79600,96359,-0.013630731102850069,-0.013630731102850069,-280.0549533574897,38.63130422428158,79760.0,83040.0,84416.66666666667,89655.55742171436,76424.44257828564,0
2024-01-24,80000,80100,78600,79100,58949,-0.006281407035175879,-0.006281407035175879,-249.73062463114707,37.29986790713851,79920.0,82530.0,84476.66666666667,88693.79753074353,76366.20246925647,0
2024-01-25,79800,80400,76500,78800,169367,-0.0037926675094817064,-0.0037926675094817064,-223.5880017944014,36.48730178635083,79580.0,81985.0,84530.0,87398.41851328715,76571.58148671285,0
2024-01-26,83100,85800,82100,82500,373508,0.04695431472081224,0.04695431472081224,54.34342687005301,50.74035349469202,80140.0,81750.0,84711.66666666667,86618.05916151396,76881.94083848604,1
2024-01-29,81200,82300,79500,79900,115936,-0.031515151515151496,-0.031515151515151496,73.34643460338862,43.37428238212584,79980.0,81405.0,84838.33333333333,85741.57699113022,77068.42300886978,0
2024-01-30,80700,81100,79100,79800,89708,-0.0012515644555695093,-0.0012515644555695093,88.43894349106245,43.115030183241096,80020.0,81045.0,84921.66666666667,84586.45450344912,77503.54549655088,0
2024-01-31,79100,79800,77500,78100,96469,-0.02130325814536338,-0.02130325814536338,-2.020579143689247,38.86243750195745,79820.0,80725.0,84963.33333333333,84113.14108324905,77336.85891675095,0
2024-02-01,77600,78800,77100,78700,87058,0.007682458386683688,0.007682458386683688,-7.11080051101726,41.07164458133691,79800.0,80455.0,84976.66666666667,83574.27876279117,77335.72123720883,1
2024-02-02,79400,79600,78400,79400,75353,0.008894536213468918,0.008894536213468918,47.97161342762206,43.630828122891145,79180.0,80350.0,84995.0,83462.87648325467,77237.12351674533,1
2024-02-05,78800,80100,77100,77100,111786,-0.028967254408060472,-0.028967254408060472,-53.68077018328631,37.81912908467594,78620.0,80065.0,84955.0,83270.79163390261,76859.20836609739,0
2024-02-06,77400,78700,77000,78000,72140,0.011673151750972721,0.011673151750972721,-43.90382896890969,41.123948210998,78260.0,79815.0,84785.0,82841.07005867346,76788.92994132654,1
2024-02-07,78000,78400,77300,78000,39582,0.0,0.0,-22.13350084170588,41.123948210998,78240.0,79565.0,84631.66666666667,82310.37793391001,76819.62206608999,0
2024-02-08,78200,80000,78100,78100,80472,0.0012820512820512775,0.0012820512820512775,12.445026385076062,41.524438649310966,78120.0,79350.0,84400.0,81834.75350890183,76865.24649109817,1
2024-02-13,78400,79600,78400,79200,118591,0.014084507042253502,0.014084507042253502,117.02812022105945,45.88505671121217,78080.0,79280.0,84213.33333333333,81697.93300155319,76862.06699844681,1
2024-02-14,78200,79500,77700,79300,55119,0.0012626262626262985,0.0012626262626262985,195.92190702359562,46.27727127100864,78520.0,79210.0,84025.0,81538.86238322491,76881.13761677509,1
2024-02-15,80000,80900,79200,80300,70920,0.01261034047919285,0.01261034047919285,311.56774297103675,50.16690782970442,78980.0,79255.0,83836.66666666667,81631.11026680161,76878.88973319839,1
2024-02-16,81000,81900,80000,81200,85426,0.011207970112079746,0.011207970112079746,437.09481320925056,53.43460248245549,79620.0,79400.0,83676.66666666667,81877.09507286258,76922.90492713742,1
2024-02-19,81000,81800,80100,81600,85677,0.0049261083743843415,0.0049261083743843415,529.32985382077,54.85159706169966,80320.0,79455.0,83481.66666666667,82072.23136157276,76837.76863842724,1
2024-02-20,81900,81900,80200,80600,57321,-0.01225490196078427,-0.01225490196078427,505.31180284201037,50.69803509718724,80600.0,79500.0,83276.66666666667,82163.08092254066,76836.91907745934,0
2024-02-21,80400,80700,79600,79800,55766,-0.00992555831265507,-0.00992555831265507,421.29945712214976,47.593116413900084,80700.0,79455.0,83060.0,82065.34480481027,76844.65519518973,0
2024-02-22,80500,81400,79800,81300,83563,0.018796992481203034,0.018796992481203034,449.9083158253809,53.36073763963206,80900.0,79540.0,82920.0,82271.59294185646,76808.40705814354,1
2024-02-23,82100,82100,79500,79600,107441,-0.02091020910209107,-0.02091020910209107,342.36428370321175,47.04192052008864,80580.0,79565.0,82730.0,82289.16959824458,76840.83040175542,0
2024-02-26,79700,79800,78100,78100,74249,-0.018844221105527637,-0.018844221105527637,167.10310851121517,42.28400134068781,79880.0,79530.0,82536.66666666667,82310.0,76750.0,0
2024-02-27,77800,78300,76500,76700,96584,-0.017925736235595346,-0.017925736235595346,-35.413475052945614,38.382051676631825,79100.0,79240.0,82340.0,81928.79155012062,76551.20844987938,0
2024-02-28,76700,77400,76000,76100,92533,-0.007822685788787531,-0.007822685788787531,-193.2621210793826,36.81411732599778,78360.0,79050.0,82178.33333333333,82044.99582637439,76055.00417362561,0
2024-02-29,76500,76500,75200,75200,92524,-0.01182654402102501,-0.01182654402102501,-333.5438980401452,34.53515551616307,77140.0,78820.0,81998.33333333333,82227.4037037017,75412.5962962983,0
2024-03-04,75500,75900,73800,74100,229679,-0.0146276595744681,-0.0146276595744681,-467.46461799532995,31.93319951226006,76040.0,78620.0,81816.66666666667,82595.2232641702,74644.7767358298,0
2024-03-05,74300,78500,74300,77700,224959,0.04858299595141702,0.04858299595141702,-289.3695388542395,46.21529215153073,75960.0,78570.0,81693.33333333333,82565.0469333914,74574.9530666086,1
2024-03-06,78600,78600,76900,77900,87133,0.002574002574002643,0.002574002574002643,-141.36556519439864,46.882113467157104,76200.0,78495.0,81600.0,82481.21374238764,74508.78625761236,1
2024-03-07,77500,78700,76600,77300,57691,-0.007702182284980763,-0.007702182284980763,-70.71265668860826,45.07657195085701,76440.0,78505.0,81481.66666666667,82478.14736701272,74531.85263298728,0
2024-03-08,77800,78500,77300,77500,66390,0.002587322121604174,0.002587322121604174,-1.0303399920645688,45.8255315388197,76900.0,78480.0,81385.0,82471.79157772547,74488.20842227453,1
2024-03-11,77000,78000,76100,78000,55419,0.006451612903225712,0.006451612903225712,83.53841387470197,47.74402957182532,77680.0,78480.0,81288.33333333333,82471.79157772547,74488.20842227453,1
2024-03-12,78000,78100,77000,77800,51168,-0.002564102564102555,-0.002564102564102555,128.14169872492698,47.02663956928586,77700.0,78465.0,81181.66666666667,82464.63748357273,74465.36251642727,0
2024-03-13,77900,78500,77100,78400,63681,0.007712082262210762,0.007712082262210762,196.1192941624572,49.479160628306836,77800.0,78425.0,81066.66666666667,82410.41089475101,74439.58910524899,1
2024-03-14,77700,79100,76900,79000,103765,0.007653061224489832,0.007653061224489832,274.73696121772196,51.8784335932666,78140.0,78410.0,80940.0,82384.3678742663,74435.6321257337,1
2024-03-15,77100,79400,77100,78200,86903,-0.010126582278481067,-0.010126582278481067,265.9314405610387,48.566587744112255,78280.0,78305.0,80791.66666666667,82183.90448451621,74426.09551548379,0
2024-03-18,78400,79800,78000,79500,65164,0.01662404092071612,0.01662404092071612,336.2033419300251,53.73517906405723,78580.0,78220.0,80670.0,81911.39540011634,74528.60459988366,1
2024-03-19,79100,80400,79000,80300,75193,0.010062893081761004,0.010062893081761004,419.6805629198418,56.623919249342876,79080.0,78155.0,80571.66666666667,81646.4037291611,74663.5962708389,1
2024-03-20,80600,81000,80100,80700,67765,0.00498132004981322,0.00498132004981322,480.5750061319728,58.03483543487395,79540.0,78160.0,80466.66666666667,81665.65257833689,74654.34742166311,1
2024-03-21,81200,81500,79500,79500,138848,-0.014869888475836479,-0.014869888475836479,420.91922464013527,52.51598803553336,79640.0,78145.0,80335.0,81624.92816017802,74665.07183982198,0
