Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2024-01-02,53500,54000,52400,53500,57977,-0.001865671641791078,-0.001865671641791078,57.45994223532011,58.430497359579405,52920.0,51940.0,50886.666666666664,55912.48033349443,47967.51966650557,0
2024-01-03,53000,54100,53000,53000,71088,-0.009345794392523366,-0.009345794392523366,6.076963471533645,55.71777626830375,52940.0,52222.5,50957.5,55609.60422042193,48835.39577957807,0
2024-01-04,52900,54500,52400,53500,81529,0.009433962264151052,0.009433962264151052,-2.5917644379651392,57.826362216669054,53100.0,52487.5,51050.0,55365.32469931718,49609.67530068282,1
2024-01-05,54100,55700,53600,54100,104402,0.01121495327102795,0.01121495327102795,22.354075154039947,60.27111098595696,53540.0,52715.0,51161.666666666664,55335.89679308439,50094.10320691561,1
2024-01-08,54400,55000,53600,53700,64444,-0.007393715341959317,-0.007393715341959317,3.192559024439447,57.86294120622481,53560.0,52900.0,51257.5,55234.9518196314,50565.0481803686,0
2024-01-09,54700,55600,53700,55400,95094,0.03165735567970196,0.03165735567970196,91.39970269772186,64.37738467505736,53940.0,53115.0,51371.666666666664,55537.62254592002,50692.37745407998,1
2024-01-10,55600,55900,54100,55500,85716,0.0018050541516245744,0.0018050541516245744,139.96289751313634,64.72287985096249,54440.0,53345.0,51473.333333333336,55756.20301924164,50933.79698075836,1
2024-01-11,55700,55700,54500,54500,80823,-0.018018018018018056,-0.018018018018018056,90.61383634180675,58.602006974456074,54640.0,53490.0,51555.833333333336,55811.12041910798,51168.87958089202,0
2024-01-12,54500,55300,53800,54300,59370,-0.003669724770642202,-0.003669724770642202,33.329833117476596,57.432169767978024,54680.0,53670.0,51590.833333333336,55627.65165440637,51712.34834559363,0
2024-01-15,54300,54500,52200,52300,82214,-0.036832412523020275,-0.036832412523020275,-140.87247625736404,47.27006201578159,54400.0,53710.0,51585.833333333336,55515.43623537361,51904.56376462639,0
2024-01-16,51900,52900,51700,52600,38450,0.005736137667303964,0.005736137667303964,-232.12323828065587,48.735348432966646,53840.0,53625.0,51595.833333333336,55470.941494197476,51779.058505802524,1
2024-01-17,53100,54200,51800,52100,107254,-0.009505703422053258,-0.009505703422053258,-317.12313697290983,46.420063596855506,53160.0,53560.0,51604.166666666664,55521.02014268085,51598.97985731915,0
2024-01-18,52600,53600,52100,52100,42744,0.0,0.0,-361.11766079809433,46.420063596855506,52680.0,53460.0,51594.166666666664,55502.93905929668,51417.06094070332,0
2024-01-19,52400,53400,51900,52000,47508,-0.0019193857965451588,-0.0019193857965451588,-382.6632506125128,45.914115534401624,52220.0,53330.0,51599.166666666664,55396.97847110221,51263.02152889779,0
2024-01-22,52900,53200,52400,52700,48908,0.013461538461538414,0.013461538461538414,-337.08253006954,50.0206330565793,52300.0,53285.0,51564.166666666664,55365.648937230886,51204.351062769114,1
