Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2024-01-02,5740,5750,5510,5600,496012,-0.02608695652173909,-0.02608695652173909,-7.869137443977983,43.86776795243343,5736.0,5713.5,5744.166666666667,5871.648664237169,5555.351335762831,5540.0
2024-01-03,5610,5720,5530,5540,489881,-0.010714285714285676,-0.010714285714285676,-17.91442591491381,41.461391952183135,5672.0,5708.0,5742.0,5881.505043154374,5534.494956845626,5510.0
2024-01-04,5520,5590,5490,5510,355877,-0.005415162454873612,-0.005415162454873612,-25.195298827695254,40.271864751502434,5606.0,5698.0,5737.0,5891.762741516529,5504.237258483471,5420.0
2024-01-05,5500,5510,5370,5420,523689,-0.016333938294010864,-0.016333938294010864,-34.133448881642074,36.855683484827665,5564.0,5689.0,5731.166666666667,5914.290923030648,5463.709076969352,5200.0
2024-01-08,5410,5420,5200,5200,650736,-0.040590405904059046,-0.040590405904059046,-51.860294807265134,30.127888898964528,5454.0,5667.0,5722.0,5977.103208625776,5356.896791374224,5320.0
2024-01-09,5270,5330,5210,5320,413405,0.023076923076922995,0.023076923076922995,-52.35024868414645,36.89460550126008,5398.0,5654.5,5712.166666666667,5997.631170254178,5311.368829745822,5290.0
2024-01-10,5330,5340,5240,5290,326977,-0.005639097744360888,-0.005639097744360888,-51.46410113366165,35.95707970180074,5348.0,5630.5,5699.833333333333,6003.781395196709,5257.218604803291,5260.0
2024-01-11,5290,5330,5240,5260,279665,-0.005671077504725952,-0.005671077504725952,-49.64459609030456,34.99930264093277,5298.0,5608.0,5688.5,6012.356278546534,5203.643721453466,5260.0
2024-01-12,5260,5310,5200,5260,408215,0.0,0.0,-45.30778212242717,34.99930264093277,5266.0,5581.5,5677.0,6003.745189433819,5159.254810566181,5480.0
2024-01-15,5300,5580,5290,5480,893878,0.041825095057034245,0.041825095057034245,-25.47735900331554,47.00496205680442,5322.0,5570.5,5667.833333333333,5991.283792463543,5149.716207536457,5450.0
